sample_index,peer_replicas,network_latency_ms,network_latency_jitter_ms,process_start_us,logging_initialized_us,config_loaded_us,replica_with_config_completed_us,replica_task_spawned_us,crdt_pid_set_us,http_server_ready_us,network_manager_ready_us,metric_writer_ready_us,object_storage_client_start_us,object_storage_client_ready_us,replica_run_start_us,replica_init_start_us,persistent_state_fetch_completed_us,membership_descriptor_write_completed_us,membership_directory_read_completed_us,replica_init_completed_us,logging_initialized_delta_us,config_loaded_delta_us,replica_with_config_completed_delta_us,replica_task_spawned_delta_us,crdt_pid_set_delta_us,http_server_ready_delta_us,network_manager_ready_delta_us,metric_writer_ready_delta_us,object_storage_client_start_delta_us,object_storage_client_ready_delta_us,replica_run_start_delta_us,replica_init_start_delta_us,persistent_state_fetch_completed_delta_us,membership_descriptor_write_completed_delta_us,membership_directory_read_completed_delta_us,replica_init_completed_delta_us,sample_dir,persistent_path,membership_path
1,1,0,0,1778233367322299,1778233367322335,1778233367322358,1778233367666301,1778233367666312,1778233367322363,1778233367322427,1778233367322462,1778233367322630,1778233367322630,1778233367666295,1778233367666388,1778233367666409,1778233367717933,1778233367740985,1778233367763966,1778233367764020,36,59,344002,344013,64,128,163,331,331,343996,344089,344110,395634,418686,441667,441721,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_001,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
2,1,0,0,1778233370099595,1778233370099622,1778233370099647,1778233370456510,1778233370456521,1778233370099652,1778233370099718,1778233370099758,1778233370099940,1778233370099940,1778233370456505,1778233370456556,1778233370456577,1778233370513207,1778233370522129,1778233370539238,1778233370539290,27,52,356915,356926,57,123,163,345,345,356910,356961,356982,413612,422534,439643,439695,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_002,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
3,1,0,0,1778233372897546,1778233372897569,1778233372897592,1778233373251400,1778233373251413,1778233372897596,1778233372897675,1778233372897722,1778233372897900,1778233372897900,1778233373251394,1778233373251449,1778233373251470,1778233373311249,1778233373322600,1778233373342895,1778233373342943,23,46,353854,353867,50,129,176,354,354,353848,353903,353924,413703,425054,445349,445397,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_003,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
4,1,0,0,1778233375770038,1778233375770062,1778233375770084,1778233376089027,1778233376089037,1778233375770089,1778233375770154,1778233375770181,1778233375770342,1778233375770342,1778233376089022,1778233376089063,1778233376089082,1778233376149168,1778233376168407,1778233376195939,1778233376195984,24,46,318989,318999,51,116,143,304,304,318984,319025,319044,379130,398369,425901,425946,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_004,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
5,1,0,0,1778233378671086,1778233378671110,1778233378671131,1778233379030897,1778233379030910,1778233378671135,1778233378671205,1778233378671235,1778233378683328,1778233378683328,1778233379030892,1778233379030939,1778233379030960,1778233379085481,1778233379099335,1778233379124346,1778233379124398,24,45,359811,359824,49,119,149,12242,12242,359806,359853,359874,414395,428249,453260,453312,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_005,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
6,1,0,0,1778233381530042,1778233381530068,1778233381530091,1778233381886602,1778233381886616,1778233381530096,1778233381530159,1778233381530190,1778233381530378,1778233381530378,1778233381886596,1778233381886652,1778233381886677,1778233381940051,1778233381959294,1778233381982939,1778233381982992,26,49,356560,356574,54,117,148,336,336,356554,356610,356635,410009,429252,452897,452950,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_006,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
7,1,0,0,1778233384320653,1778233384320679,1778233384320710,1778233384676750,1778233384676762,1778233384320715,1778233384320799,1778233384320851,1778233384321071,1778233384321071,1778233384676744,1778233384676791,1778233384676810,1778233384734660,1778233384753720,1778233384780703,1778233384780752,26,57,356097,356109,62,146,198,418,418,356091,356138,356157,414007,433067,460050,460099,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_007,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
8,1,0,0,1778233387183037,1778233387183067,1778233387183089,1778233387528859,1778233387528869,1778233387183094,1778233387183161,1778233387183199,1778233387183369,1778233387183369,1778233387528854,1778233387528898,1778233387528918,1778233387582003,1778233387592114,1778233387611708,1778233387611757,30,52,345822,345832,57,124,162,332,332,345817,345861,345881,398966,409077,428671,428720,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_008,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
9,1,0,0,1778233389924260,1778233389924285,1778233389924309,1778233390282365,1778233390282376,1778233389924314,1778233389924384,1778233389924420,1778233389924601,1778233389924601,1778233390282359,1778233390282436,1778233390282457,1778233390333095,1778233390355075,1778233390378271,1778233390378325,25,49,358105,358116,54,124,160,341,341,358099,358176,358197,408835,430815,454011,454065,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_009,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
10,1,0,0,1778233392823439,1778233392823462,1778233392823482,1778233393169009,1778233393169021,1778233392823486,1778233392823545,1778233392823571,1778233392823717,1778233392823718,1778233393169003,1778233393169051,1778233393169072,1778233393244338,1778233393248652,1778233393270678,1778233393270731,23,43,345570,345582,47,106,132,278,279,345564,345612,345633,420899,425213,447239,447292,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_010,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
