source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1778233389067232,1,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1778233389127375,1,,,,,1778233389067254,1778233389127375,,,restored_existing_snapshot,,,,,60121
server,membership_descriptor_write,completed,1778233389146449,1,,,,,1778233389067610,1778233389146449,,,"1,127.0.0.1:19081,0",,,,,78839
server,membership_directory_read,completed,1778233389168559,1,,,,,1778233389146455,1778233389168559,,,init:1 descriptors,,,,,22104
server,replica_init,completed,1778233389168675,1,,,,,,,,,,,,,,
server,gc_init,start,1778233389834762,1,,1,,,,,,,previous_gc_marker=0,,,,,
server,gc_membership_descriptor_write,completed,1778233389872234,1,,1,,,,,,,"1,127.0.0.1:19081,1",,,,,
server,membership_directory_read,completed,1778233389899033,1,,1,,,1778233389872239,1778233389899033,,,gc_validation:2 descriptors,,,,,26794
server,gc_local_collect,completed,1778233389899097,1,,1,,,1778233389899039,1778233389899097,,,departed_pids=None,,,,,58
server,gc_persistent_state_write,completed,1778233389932233,1,,1,,,1778233389899103,1778233389932233,,,,,,,,33130
server,gc_finalize,completed,1778233389971282,1,,1,,,,,,,"1,127.0.0.1:19081,0",,,,,
server,membership_directory_read,completed,1778233390096008,1,,,,,1778233390068092,1778233390096008,,,poll:1 descriptors,,,,,27916
