source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786959396036296,178695929047432850,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786959396527477,178695929047432850,,,,,1786959396036332,1786959396527477,,,restored_existing_snapshot,,,,,491145
server,membership_descriptor_write,completed,1786959396542595,178695929047432850,,,,,1786959396036539,1786959396542595,,,"178695929047432850,54.201.80.134:19084,0",,,,,506056
server,membership_directory_read,completed,1786959396713605,178695929047432850,,,,,1786959396542598,1786959396713605,,,init:20 descriptors,,,,,171007
server,replica_init,completed,1786959396716058,178695929047432850,,,,,,,,,,,,,,
server,membership_directory_read,completed,1786959401208170,178695929047432850,,,,,1786959401037055,1786959401208170,,,poll:20 descriptors,,,,,171115
server,membership_directory_read,completed,1786959406211055,178695929047432850,,,,,1786959406037242,1786959406211055,,,poll:21 descriptors,,,,,173813
server,gc_init,start,1786959409318683,178695929047432850,,1,,,,,,,previous_gc_marker=0,,,,,
server,gc_membership_descriptor_write,completed,1786959409504353,178695929047432850,,1,,,,,,,"178695929047432850,54.201.80.134:19084,1",,,,,
server,membership_directory_read,completed,1786959409683107,178695929047432850,,1,,,1786959409504378,1786959409683107,,,gc_validation:28 descriptors,,,,,178729
server,gc_init,aborted,1786959409869464,178695929047432850,,1,,,,,,,membership_changed,,,,,
server,membership_directory_read,completed,1786959410353471,178695929047432850,,1,,,1786959409869492,1786959410353471,,,gc_abort_refresh:26 descriptors,,,,,483979
server,membership_directory_read,completed,1786959411208125,178695929047432850,,,,,1786959411037468,1786959411208125,,,poll:28 descriptors,,,,,170657
server,membership_directory_read,completed,1786959416209581,178695929047432850,,,,,1786959416036793,1786959416209581,,,poll:31 descriptors,,,,,172788
