source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786962833579700,178696280264305136,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786962833687807,178696280264305136,,,,,1786962833579726,1786962833687807,,,restored_existing_snapshot,,,,,108081
server,membership_descriptor_write,completed,1786962833692119,178696280264305136,,,,,1786962833579970,1786962833692119,,,"178696280264305136,3.76.45.179:19080,0",,,,,112149
server,membership_directory_read,completed,1786962833734323,178696280264305136,,,,,1786962833692123,1786962833734323,,,init:6 descriptors,,,,,42200
server,replica_init,completed,1786962833737117,178696280264305136,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786962833782096,178696280264305136,178696280264305131,,,,,,,,,,,,,
server,peer_replication_connection,established,1786962833829770,178696280264305136,178696280264305132,,,,,,,,,,,,,
server,peer_replication_connection,established,1786962833877440,178696280264305136,178696280264305133,,,,,,,,,,,,,
server,peer_replication_connection,established,1786962833925212,178696280264305136,178696280264305134,,,,,,,,,,,,,
server,peer_replication_connection,established,1786962833972413,178696280264305136,178696280264305135,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786962834738278,178696280264305136,,,,,,,,,connected_peers=5,,,,,
server,peer_replication_merge_delta,completed,1786962834855015,178696280264305136,,,,1786962834852667,1786962834855013,1786962834855015,,,"delta_len=0,sent_us=1786962834817002",,,,,2
server,peer_replication_connection,established,1786962834957888,178696280264305136,178696280264305137,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786962835004737,178696280264305136,178696280264305134,,,1786962835004733,1786962835004735,1786962835004737,,,"delta_len=0,sent_us=1786962834969016",,,,,2
server,peer_replication_get_delta,completed,1786962835703351,178696280264305136,178696280264305132,,,1786962835703348,1786962835703350,1786962835703351,,,"delta_len=0,sent_us=1786962835667449",,,,,1
server,peer_replication_pull_request,sent,1786962835738638,178696280264305136,,,,,,,,,connected_peers=6,,,,,
server,peer_replication_merge_delta,completed,1786962835854814,178696280264305136,,,,1786962835852596,1786962835854811,1786962835854814,,,"delta_len=0,sent_us=1786962835816921",,,,,3
server,peer_replication_connection,established,1786962835982563,178696280264305136,178696280264305138,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786962836738414,178696280264305136,,,,,,,,,connected_peers=7,,,,,
