source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786962862721039,178696280264305147,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786962863208390,178696280264305147,,,,,1786962862721073,1786962863208390,,,restored_existing_snapshot,,,,,487317
server,membership_descriptor_write,completed,1786962863217924,178696280264305147,,,,,1786962862721288,1786962863217924,,,"178696280264305147,54.201.80.134:19081,0",,,,,496636
server,membership_directory_read,completed,1786962863384079,178696280264305147,,,,,1786962863217928,1786962863384079,,,init:17 descriptors,,,,,166151
server,replica_init,completed,1786962863386878,178696280264305147,,,,,,,,,,,,,,
server,membership_directory_read,completed,1786962867889215,178696280264305147,,,,,1786962867722291,1786962867889215,,,poll:17 descriptors,,,,,166924
server,membership_directory_read,completed,1786962872891235,178696280264305147,,,,,1786962872721799,1786962872891235,,,poll:18 descriptors,,,,,169436
server,membership_directory_read,completed,1786962877892960,178696280264305147,,,,,1786962877721995,1786962877892960,,,poll:19 descriptors,,,,,170965
server,membership_directory_read,completed,1786962882892597,178696280264305147,,,,,1786962882721847,1786962882892597,,,poll:20 descriptors,,,,,170750
server,membership_directory_read,completed,1786962887890023,178696280264305147,,,,,1786962887722329,1786962887890023,,,poll:20 descriptors,,,,,167694
server,client_mutation,completed,1786963431519426,178696280264305147,,,,1786963431517379,1786963431519421,1786963431519426,,,,,,,,5
