source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786968172489119,178696810657723248,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786968172979206,178696810657723248,,,,,1786968172489148,1786968172979206,,,restored_existing_snapshot,,,,,490058
server,membership_descriptor_write,completed,1786968172988863,178696810657723248,,,,,1786968172489369,1786968172988863,,,"178696810657723248,54.201.80.134:19082,0",,,,,499494
server,membership_directory_read,completed,1786968173160437,178696810657723248,,,,,1786968172988867,1786968173160437,,,init:19 descriptors,,,,,171570
server,replica_init,completed,1786968173162728,178696810657723248,,,,,,,,,,,,,,
server,membership_directory_read,completed,1786968177658133,178696810657723248,,,,,1786968177489714,1786968177658133,,,poll:18 descriptors,,,,,168419
server,membership_directory_read,completed,1786968182657790,178696810657723248,,,,,1786968182489975,1786968182657790,,,poll:19 descriptors,,,,,167815
server,membership_directory_read,completed,1786968187657869,178696810657723248,,,,,1786968187490330,1786968187657869,,,poll:20 descriptors,,,,,167539
server,membership_directory_read,completed,1786968192660266,178696810657723248,,,,,1786968192490530,1786968192660266,,,poll:21 descriptors,,,,,169736
server,membership_directory_read,completed,1786968197661330,178696810657723248,,,,,1786968197490147,1786968197661330,,,poll:21 descriptors,,,,,171183
server,client_mutation,completed,1786968889555951,178696810657723248,,,,1786968889553736,1786968889555947,1786968889555951,,,,,,,,4
server,gc_init,start,1786968889556207,178696810657723248,,1,,,,,,,previous_gc_marker=0,,,,,
server,gc_membership_descriptor_write,completed,1786968890051295,178696810657723248,,1,,,,,,,"178696810657723248,54.201.80.134:19082,1",,,,,
server,membership_directory_read,completed,1786968890222617,178696810657723248,,1,,,1786968890051323,1786968890222617,,,gc_validation:44 descriptors,,,,,171294
server,gc_init,aborted,1786968890406129,178696810657723248,,1,,,,,,,membership_changed,,,,,
server,membership_directory_read,completed,1786968890902519,178696810657723248,,1,,,1786968890406155,1786968890902519,,,gc_abort_refresh:46 descriptors,,,,,496364
server,gc_init,start,1786968890902564,178696810657723248,,1,,,,,,,previous_gc_marker=0,,,,,
server,gc_membership_descriptor_write,completed,1786968891079518,178696810657723248,,1,,,,,,,"178696810657723248,54.201.80.134:19082,1",,,,,
server,membership_directory_read,completed,1786968891252401,178696810657723248,,1,,,1786968891079542,1786968891252401,,,gc_validation:44 descriptors,,,,,172859
server,gc_local_collect,completed,1786968891252452,178696810657723248,,1,,,1786968891252434,1786968891252452,,,departed_pids=None,,,,,18
server,gc_persistent_state_write,completed,1786968891438422,178696810657723248,,1,,,1786968891252456,1786968891438422,,,,,,,,185966
server,gc_finalize,completed,1786968891624216,178696810657723248,,1,,,,,,,"178696810657723248,54.201.80.134:19082,0",,,,,
server,membership_directory_read,completed,1786968892113838,178696810657723248,,,,,1786968891624265,1786968892113838,,,poll:43 descriptors,,,,,489573
