[2026-08-17T12:03:34.813Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-17T12:03:34.814Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18083
[2026-08-17T12:03:34.843Z INFO  gresse::replica] replica 178696810657723254 initiating runtime at bind_http=0.0.0.0:18083 bind_internal=0.0.0.0:19083 advertised_internal=54.251.165.199:19083
[2026-08-17T12:03:35.413Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260817080652-e8d881, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-smoke-20260817T120146Z-06e66d94/persistent.json
[2026-08-17T12:03:35.616Z INFO  gresse::replica] replica 178696810657723254 discovered 33 membership descriptors during init
[2026-08-17T12:03:35.616Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723231, address: 16.192.148.144:19080, final_counter: None }
[2026-08-17T12:03:35.619Z INFO  gresse::replica] replica 178696810657723254 startup completed
[2026-08-17T12:05:44.360Z WARN  gresse::network] replica 178696810657723254 ignored failed handshake with peer 178696810657723231 at 16.192.148.144:19080: Connection reset by peer (os error 104)
[2026-08-17T12:05:44.360Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723231, address: 16.192.148.144:19080, final_counter: None }
[2026-08-17T12:05:44.538Z WARN  gresse::network] replica 178696810657723254 could not connect to discovered peer 178696810657723231 at 16.192.148.144:19080: Connection refused (os error 111)
[2026-08-17T12:05:44.538Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723232, address: 16.192.148.144:19081, final_counter: None }
[2026-08-17T12:07:35.522Z ERROR gresse::http_server] http server connection error for 193.12.118.239:9427
[2026-08-17T12:11:51.387Z WARN  gresse::network] replica 178696810657723254 ignored failed handshake with peer 178696810657723232 at 16.192.148.144:19081: Connection reset by peer (os error 104)
[2026-08-17T12:11:51.388Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723232, address: 16.192.148.144:19081, final_counter: None }
[2026-08-17T12:11:51.563Z WARN  gresse::network] replica 178696810657723254 could not connect to discovered peer 178696810657723232 at 16.192.148.144:19081: Connection refused (os error 111)
[2026-08-17T12:11:51.563Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723233, address: 16.192.148.144:19082, final_counter: None }
[2026-08-17T12:12:13.122Z WARN  gresse::network] replica 178696810657723254 ignored failed handshake with peer 178696810657723233 at 16.192.148.144:19082: Connection reset by peer (os error 104)
[2026-08-17T12:12:13.122Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723233, address: 16.192.148.144:19082, final_counter: None }
[2026-08-17T12:12:13.298Z WARN  gresse::network] replica 178696810657723254 could not connect to discovered peer 178696810657723233 at 16.192.148.144:19082: Connection refused (os error 111)
[2026-08-17T12:12:13.298Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723234, address: 16.192.148.144:19083, final_counter: None }
[2026-08-17T12:12:34.497Z WARN  gresse::network] replica 178696810657723254 ignored failed handshake with peer 178696810657723234 at 16.192.148.144:19083: Connection reset by peer (os error 104)
[2026-08-17T12:12:34.497Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723234, address: 16.192.148.144:19083, final_counter: None }
[2026-08-17T12:12:34.686Z WARN  gresse::network] replica 178696810657723254 could not connect to discovered peer 178696810657723234 at 16.192.148.144:19083: Connection refused (os error 111)
[2026-08-17T12:12:34.686Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723235, address: 16.192.148.144:19084, final_counter: None }
[2026-08-17T12:12:55.958Z WARN  gresse::network] replica 178696810657723254 ignored failed handshake with peer 178696810657723235 at 16.192.148.144:19084: Connection reset by peer (os error 104)
[2026-08-17T12:12:55.958Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723236, address: 3.76.45.179:19080, final_counter: None }
[2026-08-17T12:13:18.296Z WARN  gresse::network] replica 178696810657723254 ignored failed handshake with peer 178696810657723236 at 3.76.45.179:19080: Connection reset by peer (os error 104)
[2026-08-17T12:13:18.296Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723236, address: 3.76.45.179:19080, final_counter: None }
[2026-08-17T12:13:18.454Z WARN  gresse::network] replica 178696810657723254 could not connect to discovered peer 178696810657723236 at 3.76.45.179:19080: Connection refused (os error 111)
[2026-08-17T12:13:18.454Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723237, address: 3.76.45.179:19081, final_counter: None }
[2026-08-17T12:13:40.989Z WARN  gresse::network] replica 178696810657723254 ignored failed handshake with peer 178696810657723237 at 3.76.45.179:19081: Connection reset by peer (os error 104)
[2026-08-17T12:13:40.989Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723237, address: 3.76.45.179:19081, final_counter: None }
[2026-08-17T12:13:41.147Z WARN  gresse::network] replica 178696810657723254 could not connect to discovered peer 178696810657723237 at 3.76.45.179:19081: Connection refused (os error 111)
[2026-08-17T12:13:41.147Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723238, address: 3.76.45.179:19082, final_counter: None }
[2026-08-17T12:14:03.697Z WARN  gresse::network] replica 178696810657723254 ignored failed handshake with peer 178696810657723238 at 3.76.45.179:19082: Connection reset by peer (os error 104)
[2026-08-17T12:14:03.697Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723238, address: 3.76.45.179:19082, final_counter: None }
[2026-08-17T12:14:03.855Z WARN  gresse::network] replica 178696810657723254 could not connect to discovered peer 178696810657723238 at 3.76.45.179:19082: Connection refused (os error 111)
[2026-08-17T12:14:03.855Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723239, address: 3.76.45.179:19083, final_counter: None }
[2026-08-17T12:14:26.429Z WARN  gresse::network] replica 178696810657723254 ignored failed handshake with peer 178696810657723239 at 3.76.45.179:19083: Connection reset by peer (os error 104)
[2026-08-17T12:14:26.429Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723239, address: 3.76.45.179:19083, final_counter: None }
[2026-08-17T12:14:26.587Z WARN  gresse::network] replica 178696810657723254 could not connect to discovered peer 178696810657723239 at 3.76.45.179:19083: Connection refused (os error 111)
[2026-08-17T12:14:26.587Z INFO  gresse::network] replica 178696810657723254 discovered network member NetworkMember { pid: 178696810657723240, address: 3.76.45.179:19084, final_counter: None }
