source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786968135445094,178696810657723232,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786968135480676,178696810657723232,,,,,1786968135445160,1786968135480676,,,restored_existing_snapshot,,,,,35516
server,membership_descriptor_write,completed,1786968135488954,178696810657723232,,,,,1786968135445397,1786968135488954,,,"178696810657723232,16.192.148.144:19081,0",,,,,43557
server,membership_directory_read,completed,1786968135507358,178696810657723232,,,,,1786968135488958,1786968135507358,,,init:2 descriptors,,,,,18400
server,replica_init,completed,1786968135509682,178696810657723232,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786968135509725,178696810657723232,178696810657723231,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786968135510822,178696810657723232,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_merge_delta,completed,1786968135605594,178696810657723232,,,,1786968135603481,1786968135605591,1786968135605594,,,"delta_len=0,sent_us=1786968135553440",,,,,3
server,peer_replication_get_delta,completed,1786968135854708,178696810657723232,178696810657723231,,,1786968135854706,1786968135854707,1786968135854708,,,"delta_len=0,sent_us=1786968135854023",,,,,1
server,peer_replication_connection,established,1786968136193687,178696810657723232,178696810657723233,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786968136243324,178696810657723232,178696810657723233,,,1786968136243322,1786968136243323,1786968136243324,,,"delta_len=0,sent_us=1786968136196511",,,,,1
server,peer_replication_pull_request,sent,1786968136510799,178696810657723232,,,,,,,,,connected_peers=2,,,,,
server,peer_replication_merge_delta,completed,1786968136555882,178696810657723232,,,,1786968136553559,1786968136555880,1786968136555882,,,"delta_len=0,sent_us=1786968136511529",,,,,2
server,peer_replication_connection,established,1786968136816885,178696810657723232,178696810657723234,,,,,,,,,,,,,
server,peer_replication_connection,established,1786968137507775,178696810657723232,178696810657723235,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786968137510723,178696810657723232,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_get_delta,completed,1786968137553376,178696810657723232,178696810657723235,,,1786968137553373,1786968137553375,1786968137553376,,,"delta_len=0,sent_us=1786968137510567",,,,,1
server,peer_replication_merge_delta,completed,1786968137565818,178696810657723232,,,,1786968137563603,1786968137565817,1786968137565818,,,"delta_len=0,sent_us=1786968137563347",,,,,1
server,peer_replication_connection,established,1786968138455664,178696810657723232,178696810657723236,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786968138510836,178696810657723232,,,,,,,,,connected_peers=5,,,,,
server,peer_replication_merge_delta,completed,1786968138555534,178696810657723232,,,,1786968138553388,1786968138555532,1786968138555534,,,"delta_len=0,sent_us=1786968138511165",,,,,2
server,peer_replication_get_delta,completed,1786968138854991,178696810657723232,178696810657723231,,,1786968138854988,1786968138854990,1786968138854991,,,"delta_len=0,sent_us=1786968138854665",,,,,1
