source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786968157515051,178696810657723245,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786968157881555,178696810657723245,,,,,1786968157515073,1786968157881555,,,restored_existing_snapshot,,,,,366482
server,membership_descriptor_write,completed,1786968157890977,178696810657723245,,,,,1786968157515291,1786968157890977,,,"178696810657723245,3.231.214.148:19084,0",,,,,375686
server,membership_directory_read,completed,1786968158018525,178696810657723245,,,,,1786968157890983,1786968158018525,,,init:15 descriptors,,,,,127542
server,replica_init,completed,1786968158020778,178696810657723245,,,,,,,,,,,,,,
server,membership_directory_read,completed,1786968162643432,178696810657723245,,,,,1786968162515825,1786968162643432,,,poll:16 descriptors,,,,,127607
server,membership_directory_read,completed,1786968167643956,178696810657723245,,,,,1786968167515655,1786968167643956,,,poll:16 descriptors,,,,,128301
server,membership_directory_read,completed,1786968172644838,178696810657723245,,,,,1786968172515747,1786968172644838,,,poll:17 descriptors,,,,,129091
server,membership_directory_read,completed,1786968177643008,178696810657723245,,,,,1786968177515591,1786968177643008,,,poll:18 descriptors,,,,,127417
server,membership_directory_read,completed,1786968182645074,178696810657723245,,,,,1786968182516484,1786968182645074,,,poll:19 descriptors,,,,,128590
server,membership_directory_read,completed,1786968187647108,178696810657723245,,,,,1786968187515940,1786968187647108,,,poll:20 descriptors,,,,,131168
server,client_mutation,completed,1786968966430973,178696810657723245,,,,1786968966428581,1786968966430967,1786968966430973,,,,,,,,6
server,client_mutation,completed,1786968966432977,178696810657723245,,,,1786968966430991,1786968966432972,1786968966432977,,,,,,,,5
server,gc_init,start,1786968966433276,178696810657723245,,1,,,,,,,previous_gc_marker=0,,,,,
server,gc_membership_descriptor_write,completed,1786968966821135,178696810657723245,,1,,,,,,,"178696810657723245,3.231.214.148:19084,1",,,,,
server,membership_directory_read,completed,1786968966953980,178696810657723245,,1,,,1786968966821160,1786968966953980,,,gc_validation:44 descriptors,,,,,132820
server,gc_init,aborted,1786968967098671,178696810657723245,,1,,,,,,,membership_changed,,,,,
server,membership_directory_read,completed,1786968967464888,178696810657723245,,1,,,1786968967098749,1786968967464888,,,gc_abort_refresh:43 descriptors,,,,,366139
server,gc_init,start,1786968967464929,178696810657723245,,1,,,,,,,previous_gc_marker=0,,,,,
server,gc_membership_descriptor_write,completed,1786968967602439,178696810657723245,,1,,,,,,,"178696810657723245,3.231.214.148:19084,1",,,,,
server,membership_directory_read,completed,1786968967732375,178696810657723245,,1,,,1786968967602505,1786968967732375,,,gc_validation:44 descriptors,,,,,129870
server,gc_local_collect,completed,1786968967732439,178696810657723245,,1,,,1786968967732420,1786968967732439,,,departed_pids=None,,,,,19
server,gc_persistent_state_write,completed,1786968967874900,178696810657723245,,1,,,1786968967732442,1786968967874900,,,,,,,,142458
server,gc_finalize,completed,1786968968024355,178696810657723245,,1,,,,,,,"178696810657723245,3.231.214.148:19084,0",,,,,
server,membership_directory_read,completed,1786968968388535,178696810657723245,,,,,1786968968024416,1786968968388535,,,poll:43 descriptors,,,,,364119
