source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786973448407861,178697341754591636,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786973448516958,178697341754591636,,,,,1786973448407883,1786973448516958,,,restored_existing_snapshot,,,,,109075
server,membership_descriptor_write,completed,1786973448527074,178697341754591636,,,,,1786973448408139,1786973448527074,,,"178697341754591636,3.76.45.179:19080,0",,,,,118935
server,membership_directory_read,completed,1786973448563528,178697341754591636,,,,,1786973448527078,1786973448563528,,,init:6 descriptors,,,,,36450
server,replica_init,completed,1786973448566177,178697341754591636,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973448611326,178697341754591636,178697341754591631,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973448659238,178697341754591636,178697341754591632,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973448706608,178697341754591636,178697341754591633,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973448754222,178697341754591636,178697341754591634,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973448801802,178697341754591636,178697341754591635,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786973448897944,178697341754591636,178697341754591634,,,1786973448897939,1786973448897942,1786973448897944,,,"delta_len=0,sent_us=1786973448862268",,,,,2
server,peer_replication_get_delta,completed,1786973448944636,178697341754591636,178697341754591631,,,1786973448944632,1786973448944634,1786973448944636,,,"delta_len=0,sent_us=1786973448908876",,,,,2
server,peer_replication_pull_request,sent,1786973449567384,178697341754591636,,,,,,,,,connected_peers=5,,,,,
server,peer_replication_merge_delta,completed,1786973449694672,178697341754591636,,,,1786973449692284,1786973449694670,1786973449694672,,,"delta_len=0,sent_us=1786973449656777",,,,,2
server,peer_replication_connection,established,1786973449800534,178697341754591636,178697341754591637,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973450567669,178697341754591636,,,,,,,,,connected_peers=6,,,,,
server,peer_replication_get_delta,completed,1786973450612548,178697341754591636,178697341754591637,,,1786973450612545,1786973450612547,1786973450612548,,,"delta_len=0,sent_us=1786973450565411",,,,,1
