[2026-08-17T13:30:48.373Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-17T13:30:48.374Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18080
[2026-08-17T13:30:48.407Z INFO  gresse::replica] replica 178697341754591636 initiating runtime at bind_http=0.0.0.0:18080 bind_internal=0.0.0.0:19080 advertised_internal=3.76.45.179:19080
[2026-08-17T13:30:48.516Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260817080652-e8d881, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-smoke-20260817T133017Z-83041cbf/persistent.json
[2026-08-17T13:30:48.563Z INFO  gresse::replica] replica 178697341754591636 discovered 6 membership descriptors during init
[2026-08-17T13:30:48.563Z INFO  gresse::network] replica 178697341754591636 discovered network member NetworkMember { pid: 178697341754591631, address: 16.192.148.144:19080, final_counter: None }
[2026-08-17T13:30:48.566Z INFO  gresse::replica] replica 178697341754591636 startup completed
[2026-08-17T13:30:48.611Z INFO  gresse::network] replica 178697341754591636 completed network handshake with replica 178697341754591631
[2026-08-17T13:30:48.611Z INFO  gresse::network] replica 178697341754591636 registered bidirectional network channel for replica 178697341754591631
[2026-08-17T13:30:48.611Z INFO  gresse::network] replica 178697341754591636 discovered network member NetworkMember { pid: 178697341754591632, address: 16.192.148.144:19081, final_counter: None }
[2026-08-17T13:30:48.611Z INFO  gresse::replica] replica 178697341754591636 established peer replication connection with replica 178697341754591631
[2026-08-17T13:30:48.659Z INFO  gresse::network] replica 178697341754591636 completed network handshake with replica 178697341754591632
[2026-08-17T13:30:48.659Z INFO  gresse::network] replica 178697341754591636 registered bidirectional network channel for replica 178697341754591632
[2026-08-17T13:30:48.659Z INFO  gresse::network] replica 178697341754591636 discovered network member NetworkMember { pid: 178697341754591633, address: 16.192.148.144:19082, final_counter: None }
[2026-08-17T13:30:48.659Z INFO  gresse::replica] replica 178697341754591636 established peer replication connection with replica 178697341754591632
[2026-08-17T13:30:48.706Z INFO  gresse::network] replica 178697341754591636 completed network handshake with replica 178697341754591633
[2026-08-17T13:30:48.706Z INFO  gresse::network] replica 178697341754591636 registered bidirectional network channel for replica 178697341754591633
[2026-08-17T13:30:48.706Z INFO  gresse::network] replica 178697341754591636 discovered network member NetworkMember { pid: 178697341754591634, address: 16.192.148.144:19083, final_counter: None }
[2026-08-17T13:30:48.706Z INFO  gresse::replica] replica 178697341754591636 established peer replication connection with replica 178697341754591633
[2026-08-17T13:30:48.753Z INFO  gresse::network] replica 178697341754591636 completed network handshake with replica 178697341754591634
[2026-08-17T13:30:48.754Z INFO  gresse::network] replica 178697341754591636 registered bidirectional network channel for replica 178697341754591634
[2026-08-17T13:30:48.754Z INFO  gresse::network] replica 178697341754591636 discovered network member NetworkMember { pid: 178697341754591635, address: 16.192.148.144:19084, final_counter: None }
[2026-08-17T13:30:48.754Z INFO  gresse::replica] replica 178697341754591636 established peer replication connection with replica 178697341754591634
[2026-08-17T13:30:48.801Z INFO  gresse::network] replica 178697341754591636 completed network handshake with replica 178697341754591635
[2026-08-17T13:30:48.801Z INFO  gresse::network] replica 178697341754591636 registered bidirectional network channel for replica 178697341754591635
