source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786973471448567,178697341754591646,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786973471936570,178697341754591646,,,,,1786973471448589,1786973471936570,,,restored_existing_snapshot,,,,,487981
server,membership_descriptor_write,completed,1786973471946777,178697341754591646,,,,,1786973471448849,1786973471946777,,,"178697341754591646,54.201.80.134:19080,0",,,,,497928
server,membership_directory_read,completed,1786973472119013,178697341754591646,,,,,1786973471946782,1786973472119013,,,init:16 descriptors,,,,,172231
server,replica_init,completed,1786973472120361,178697341754591646,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973472424655,178697341754591646,178697341754591631,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973472732949,178697341754591646,178697341754591632,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973473039322,178697341754591646,178697341754591633,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973473121605,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973473625493,178697341754591646,,,,1786973473624518,1786973473625491,1786973473625493,,,"delta_len=0,sent_us=1786973473395802",,,,,2
server,peer_replication_pull_request,sent,1786973474121220,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973474626734,178697341754591646,,,,1786973474625369,1786973474626732,1786973474626734,,,"delta_len=0,sent_us=1786973474396284",,,,,2
server,peer_replication_pull_request,sent,1786973475122029,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973475628348,178697341754591646,,,,1786973475627324,1786973475628346,1786973475628348,,,"delta_len=0,sent_us=1786973475397272",,,,,2
server,peer_replication_pull_request,sent,1786973476121982,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,membership_directory_read,completed,1786973476618867,178697341754591646,,,,,1786973476449471,1786973476618867,,,poll:16 descriptors,,,,,169396
server,peer_replication_merge_delta,completed,1786973476628450,178697341754591646,,,,1786973476627311,1786973476628449,1786973476628450,,,"delta_len=0,sent_us=1786973476397275",,,,,1
server,peer_replication_pull_request,sent,1786973477122001,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973477626528,178697341754591646,,,,1786973477625294,1786973477626526,1786973477626528,,,"delta_len=0,sent_us=1786973477396226",,,,,2
server,peer_replication_pull_request,sent,1786973478121586,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_get_delta,completed,1786973478454348,178697341754591646,178697341754591633,,,1786973478454345,1786973478454347,1786973478454348,,,"delta_len=0,sent_us=1786973478225195",,,,,1
server,peer_replication_merge_delta,completed,1786973478625612,178697341754591646,,,,1786973478624458,1786973478625611,1786973478625612,,,"delta_len=0,sent_us=1786973478395787",,,,,1
server,peer_replication_pull_request,sent,1786973479121148,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973479627221,178697341754591646,,,,1786973479625815,1786973479627220,1786973479627221,,,"delta_len=0,sent_us=1786973479351347",,,,,1
server,peer_replication_get_delta,completed,1786973479751523,178697341754591646,178697341754591632,,,1786973479751520,1786973479751522,1786973479751523,,,"delta_len=0,sent_us=1786973479521418",,,,,1
server,peer_replication_pull_request,sent,1786973480122085,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973480625795,178697341754591646,,,,1786973480624476,1786973480625793,1786973480625795,,,"delta_len=0,sent_us=1786973480395789",,,,,2
server,peer_replication_pull_request,sent,1786973481121139,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,membership_directory_read,completed,1786973481622911,178697341754591646,,,,,1786973481449664,1786973481622911,,,poll:17 descriptors,,,,,173247
server,peer_replication_merge_delta,completed,1786973481626341,178697341754591646,,,,1786973481625375,1786973481626340,1786973481626341,,,"delta_len=0,sent_us=1786973481396216",,,,,1
server,peer_replication_pull_request,sent,1786973482122073,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973482625404,178697341754591646,,,,1786973482624495,1786973482625403,1786973482625404,,,"delta_len=0,sent_us=1786973482395837",,,,,1
server,peer_replication_pull_request,sent,1786973483121129,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973483626472,178697341754591646,,,,1786973483625429,1786973483626471,1786973483626472,,,"delta_len=0,sent_us=1786973483396226",,,,,1
server,peer_replication_pull_request,sent,1786973484121176,178697341754591646,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973484628187,178697341754591646,,,,1786973484626836,1786973484628184,1786973484628187,,,"delta_len=0,sent_us=1786973484353485",,,,,3
server,peer_replication_pull_request,sent,1786973485121520,178697341754591646,,,,,,,,,connected_peers=3,,,,,
