source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786973446793701,178697341754591634,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786973446832424,178697341754591634,,,,,1786973446793731,1786973446832424,,,restored_existing_snapshot,,,,,38693
server,membership_descriptor_write,completed,1786973446841035,178697341754591634,,,,,1786973446793970,1786973446841035,,,"178697341754591634,16.192.148.144:19083,0",,,,,47065
server,membership_directory_read,completed,1786973446857730,178697341754591634,,,,,1786973446841038,1786973446857730,,,init:4 descriptors,,,,,16692
server,replica_init,completed,1786973446860273,178697341754591634,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973446860312,178697341754591634,178697341754591631,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973446860326,178697341754591634,178697341754591632,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973446860340,178697341754591634,178697341754591633,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973446861405,178697341754591634,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973446955627,178697341754591634,,,,1786973446953386,1786973446955626,1786973446955627,,,"delta_len=0,sent_us=1786973446903522",,,,,1
server,peer_replication_connection,established,1786973447499715,178697341754591634,178697341754591635,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973447862211,178697341754591634,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_merge_delta,completed,1786973447905584,178697341754591634,,,,1786973447903388,1786973447905582,1786973447905584,,,"delta_len=0,sent_us=1786973447862512",,,,,2
server,peer_replication_get_delta,completed,1786973448520983,178697341754591634,178697341754591632,,,1786973448520981,1786973448520982,1786973448520983,,,"delta_len=0,sent_us=1786973448520651",,,,,1
server,peer_replication_connection,established,1786973448742061,178697341754591634,178697341754591636,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973448862283,178697341754591634,,,,,,,,,connected_peers=5,,,,,
server,peer_replication_merge_delta,completed,1786973448979102,178697341754591634,,,,1786973448976906,1786973448979101,1786973448979102,,,"delta_len=0,sent_us=1786973448897944",,,,,1
server,peer_replication_get_delta,completed,1786973449224839,178697341754591634,178697341754591633,,,1786973449224837,1786973449224838,1786973449224839,,,"delta_len=0,sent_us=1786973449224430",,,,,1
server,peer_replication_connection,established,1786973449740600,178697341754591634,178697341754591637,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973449861868,178697341754591634,,,,,,,,,connected_peers=6,,,,,
server,peer_replication_merge_delta,completed,1786973449979511,178697341754591634,,,,1786973449977220,1786973449979509,1786973449979511,,,"delta_len=0,sent_us=1786973449897667",,,,,2
server,peer_replication_get_delta,completed,1786973450273518,178697341754591634,178697341754591633,,,1786973450273514,1786973450273517,1786973450273518,,,"delta_len=0,sent_us=1786973450224572",,,,,1
server,peer_replication_connection,established,1786973450749391,178697341754591634,178697341754591638,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973450861641,178697341754591634,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1786973450905794,178697341754591634,,,,1786973450903697,1786973450905793,1786973450905794,,,"delta_len=0,sent_us=1786973450903445",,,,,1
server,peer_replication_connection,established,1786973451764472,178697341754591634,178697341754591639,,,,,,,,,,,,,
server,membership_directory_read,completed,1786973451813928,178697341754591634,,,,,1786973451794539,1786973451813928,,,poll:9 descriptors,,,,,19389
server,peer_replication_pull_request,sent,1786973451861973,178697341754591634,,,,,,,,,connected_peers=8,,,,,
server,peer_replication_merge_delta,completed,1786973451978965,178697341754591634,,,,1786973451976904,1786973451978963,1786973451978965,,,"delta_len=0,sent_us=1786973451897816",,,,,2
server,peer_replication_get_delta,completed,1786973452273495,178697341754591634,178697341754591633,,,1786973452273492,1786973452273494,1786973452273495,,,"delta_len=0,sent_us=1786973452224311",,,,,1
server,peer_replication_connection,established,1786973452805505,178697341754591634,178697341754591640,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973452862199,178697341754591634,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1786973452905581,178697341754591634,,,,1786973452903443,1786973452905580,1786973452905581,,,"delta_len=0,sent_us=1786973452862513",,,,,1
server,peer_replication_get_delta,completed,1786973453603049,178697341754591634,178697341754591636,,,1786973453603046,1786973453603048,1786973453603049,,,"delta_len=0,sent_us=1786973453567749",,,,,1
server,peer_replication_pull_request,sent,1786973453861549,178697341754591634,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1786973453905631,178697341754591634,,,,1786973453903450,1786973453905629,1786973453905631,,,"delta_len=0,sent_us=1786973453861844",,,,,2
server,peer_replication_get_delta,completed,1786973453909287,178697341754591634,178697341754591631,,,1786973453909285,1786973453909286,1786973453909287,,,"delta_len=0,sent_us=1786973453908964",,,,,1
