[2026-08-19T13:51:15.679Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-19T13:51:15.680Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18080
[2026-08-19T13:51:15.710Z INFO  gresse::replica] replica 178714744544926836 initiating runtime at bind_http=0.0.0.0:18080 bind_internal=0.0.0.0:19080 advertised_internal=63.186.69.1:19080
[2026-08-19T13:51:15.814Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260819104151-566c04, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-smoke-20260819T135045Z-25226496/persistent.json
[2026-08-19T13:51:15.855Z INFO  gresse::replica] replica 178714744544926836 discovered 6 membership descriptors during init
[2026-08-19T13:51:15.855Z INFO  gresse::network] replica 178714744544926836 discovered network member NetworkMember { pid: 178714744544926831, address: 16.170.40.83:19080, final_counter: None }
[2026-08-19T13:51:15.855Z INFO  gresse::network] replica 178714744544926836 discovered network member NetworkMember { pid: 178714744544926832, address: 16.170.40.83:19081, final_counter: None }
[2026-08-19T13:51:15.855Z INFO  gresse::network] replica 178714744544926836 discovered network member NetworkMember { pid: 178714744544926833, address: 16.170.40.83:19082, final_counter: None }
[2026-08-19T13:51:15.855Z INFO  gresse::network] replica 178714744544926836 discovered network member NetworkMember { pid: 178714744544926834, address: 16.170.40.83:19083, final_counter: None }
[2026-08-19T13:51:15.855Z INFO  gresse::network] replica 178714744544926836 discovered network member NetworkMember { pid: 178714744544926835, address: 16.170.40.83:19084, final_counter: None }
[2026-08-19T13:51:15.857Z INFO  gresse::replica] replica 178714744544926836 startup completed
[2026-08-19T13:51:15.902Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926834
[2026-08-19T13:51:15.902Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926835
[2026-08-19T13:51:15.902Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926834
[2026-08-19T13:51:15.902Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926835
[2026-08-19T13:51:15.903Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926831
[2026-08-19T13:51:15.903Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926831
[2026-08-19T13:51:15.903Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926832
[2026-08-19T13:51:15.903Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926832
[2026-08-19T13:51:15.903Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926833
[2026-08-19T13:51:15.903Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926833
[2026-08-19T13:51:16.871Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926837
[2026-08-19T13:51:16.871Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926837
[2026-08-19T13:51:17.920Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926838
[2026-08-19T13:51:17.920Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926838
[2026-08-19T13:51:18.921Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926839
[2026-08-19T13:51:18.921Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926839
[2026-08-19T13:51:19.908Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926840
[2026-08-19T13:51:19.908Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926840
[2026-08-19T13:51:22.429Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926841
[2026-08-19T13:51:22.429Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926841
[2026-08-19T13:51:25.449Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926842
[2026-08-19T13:51:25.449Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926842
[2026-08-19T13:51:28.680Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926843
[2026-08-19T13:51:28.680Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926843
[2026-08-19T13:51:31.656Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926844
[2026-08-19T13:51:31.656Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926844
[2026-08-19T13:51:34.669Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926845
[2026-08-19T13:51:34.669Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926845
[2026-08-19T13:51:39.026Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926846
[2026-08-19T13:51:39.026Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926846
[2026-08-19T13:51:44.205Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926847
[2026-08-19T13:51:44.205Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926847
[2026-08-19T13:51:49.437Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926848
[2026-08-19T13:51:49.437Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926848
[2026-08-19T13:51:54.882Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926849
[2026-08-19T13:51:54.882Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926849
[2026-08-19T13:52:00.516Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926850
[2026-08-19T13:52:00.516Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926850
[2026-08-19T13:52:07.430Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926851
[2026-08-19T13:52:07.430Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926851
[2026-08-19T13:52:15.439Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926852
[2026-08-19T13:52:15.439Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926852
[2026-08-19T13:52:23.691Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926853
[2026-08-19T13:52:23.691Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926853
[2026-08-19T13:52:31.928Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926854
[2026-08-19T13:52:31.928Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926854
[2026-08-19T13:52:40.140Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926855
[2026-08-19T13:52:40.140Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926855
[2026-08-19T13:52:48.581Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926856
[2026-08-19T13:52:48.581Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926856
[2026-08-19T13:52:56.682Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926857
[2026-08-19T13:52:56.682Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926857
[2026-08-19T13:53:05.089Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926858
[2026-08-19T13:53:05.089Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926858
[2026-08-19T13:53:13.348Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926859
[2026-08-19T13:53:13.348Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926859
[2026-08-19T13:53:21.629Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926860
[2026-08-19T13:53:21.629Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926860
[2026-08-19T13:54:46.858Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-19T13:54:47.859Z WARN  gresse::replica] replica 178714744544926836 deferred pull request to peer 178714744544926831: channel closed
[2026-08-19T13:54:56.858Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-19T13:55:25.485Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926861
[2026-08-19T13:55:25.485Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926861
[2026-08-19T13:55:27.339Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926862
[2026-08-19T13:55:27.339Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926862
[2026-08-19T13:55:29.858Z WARN  gresse::replica] replica 178714744544926836 deferred pull request to peer 178714744544926843: channel closed
[2026-08-19T13:56:10.758Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:15.783Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:15.826Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:20.768Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:20.810Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:25.755Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:25.796Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:30.751Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:30.798Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:35.746Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:35.792Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:40.755Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:40.799Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:45.752Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:45.794Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:50.751Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:50.794Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:55.744Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926863
[2026-08-19T13:56:55.744Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926863
[2026-08-19T13:56:55.752Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:55.796Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:58.427Z INFO  gresse::network] replica 178714744544926836 registered bidirectional network channel for replica 178714744544926864
[2026-08-19T13:56:58.427Z INFO  gresse::replica] replica 178714744544926836 established peer replication connection with replica 178714744544926864
[2026-08-19T13:57:00.751Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:57:00.800Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:57:05.754Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:57:05.798Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:57:10.751Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:57:10.792Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:57:15.746Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:57:15.789Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:57:20.752Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:57:20.796Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:57:25.749Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:57:25.794Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:57:30.756Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:57:30.803Z INFO  gresse::replica] replica 178714744544926836 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
