source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787147479759648,178714744544926840,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787147479860402,178714744544926840,,,,,1787147479759674,1787147479860402,,,restored_existing_snapshot,,,,,100728
server,membership_descriptor_write,completed,1787147479868786,178714744544926840,,,,,1787147479759916,1787147479868786,,,"178714744544926840,63.186.69.1:19084,0",,,,,108870
server,membership_directory_read,completed,1787147479907034,178714744544926840,,,,,1787147479868789,1787147479907034,,,init:10 descriptors,,,,,38245
server,replica_init,completed,1787147479909425,178714744544926840,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147479909448,178714744544926840,178714744544926839,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147479909463,178714744544926840,178714744544926838,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147479909471,178714744544926840,178714744544926837,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147479909479,178714744544926840,178714744544926836,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147479910599,178714744544926840,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_connection,established,1787147479954859,178714744544926840,178714744544926834,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147479954880,178714744544926840,178714744544926832,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147479954929,178714744544926840,178714744544926833,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147479954991,178714744544926840,178714744544926831,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147479955184,178714744544926840,178714744544926835,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1787147480003927,178714744544926840,,,,1787147480001809,1787147480003926,1787147480003927,,,"delta_len=0,sent_us=1787147479951779",,,,,1
server,peer_replication_pull_request,sent,1787147480910881,178714744544926840,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1787147481025161,178714744544926840,,,,1787147481023018,1787147481025160,1787147481025161,,,"delta_len=0,sent_us=1787147480987180",,,,,1
server,peer_replication_get_delta,completed,1787147481860396,178714744544926840,178714744544926836,,,1787147481860393,1787147481860395,1787147481860396,,,"delta_len=0,sent_us=1787147481859267",,,,,1
server,peer_replication_get_delta,completed,1787147481875043,178714744544926840,178714744544926837,,,1787147481875041,1787147481875042,1787147481875043,,,"delta_len=0,sent_us=1787147481874487",,,,,1
server,peer_replication_pull_request,sent,1787147481910273,178714744544926840,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1787147481954517,178714744544926840,,,,1787147481952011,1787147481954516,1787147481954517,,,"delta_len=0,sent_us=1787147481951727",,,,,1
server,peer_replication_get_delta,completed,1787147482309962,178714744544926840,178714744544926831,,,1787147482309959,1787147482309961,1787147482309962,,,"delta_len=0,sent_us=1787147482273938",,,,,1
server,peer_replication_connection,established,1787147482429703,178714744544926840,178714744544926841,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147482910331,178714744544926840,,,,,,,,,connected_peers=10,,,,,
server,peer_replication_get_delta,completed,1787147482924419,178714744544926840,178714744544926838,,,1787147482924417,1787147482924418,1787147482924419,,,"delta_len=0,sent_us=1787147482924092",,,,,1
server,peer_replication_merge_delta,completed,1787147483027490,178714744544926840,,,,1787147483025238,1787147483027488,1787147483027490,,,"delta_len=0,sent_us=1787147482945815",,,,,2
server,peer_replication_get_delta,completed,1787147483902230,178714744544926840,178714744544926836,,,1787147483902226,1787147483902228,1787147483902230,,,"delta_len=0,sent_us=1787147483858728",,,,,2
server,peer_replication_pull_request,sent,1787147483910384,178714744544926840,,,,,,,,,connected_peers=10,,,,,
server,peer_replication_merge_delta,completed,1787147484025256,178714744544926840,,,,1787147484023077,1787147484025255,1787147484025256,,,"delta_len=0,sent_us=1787147483987091",,,,,1
server,membership_directory_read,completed,1787147484798159,178714744544926840,,,,,1787147484759992,1787147484798159,,,poll:11 descriptors,,,,,38167
