[2026-08-19T13:51:48.511Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-19T13:51:48.512Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18082
[2026-08-19T13:51:48.539Z INFO  gresse::replica] replica 178714744544926848 initiating runtime at bind_http=0.0.0.0:18082 bind_internal=0.0.0.0:19082 advertised_internal=54.184.138.82:19082
[2026-08-19T13:51:49.054Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260819104151-566c04, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-smoke-20260819T135045Z-25226496/persistent.json
[2026-08-19T13:51:49.228Z INFO  gresse::replica] replica 178714744544926848 discovered 18 membership descriptors during init
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926831, address: 16.170.40.83:19080, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926832, address: 16.170.40.83:19081, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926833, address: 16.170.40.83:19082, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926834, address: 16.170.40.83:19083, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926835, address: 16.170.40.83:19084, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926836, address: 63.186.69.1:19080, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926837, address: 63.186.69.1:19081, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926838, address: 63.186.69.1:19082, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926839, address: 63.186.69.1:19083, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926840, address: 63.186.69.1:19084, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926841, address: 13.219.225.164:19080, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926842, address: 13.219.225.164:19081, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926843, address: 13.219.225.164:19082, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926844, address: 13.219.225.164:19083, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926845, address: 13.219.225.164:19084, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926846, address: 54.184.138.82:19080, final_counter: None }
[2026-08-19T13:51:49.228Z INFO  gresse::network] replica 178714744544926848 discovered network member NetworkMember { pid: 178714744544926847, address: 54.184.138.82:19081, final_counter: None }
[2026-08-19T13:51:49.229Z INFO  gresse::network] replica 178714744544926848 registered bidirectional network channel for replica 178714744544926847
[2026-08-19T13:51:49.229Z INFO  gresse::network] replica 178714744544926848 registered bidirectional network channel for replica 178714744544926846
[2026-08-19T13:51:49.231Z INFO  gresse::replica] replica 178714744544926848 startup completed
[2026-08-19T13:51:49.231Z INFO  gresse::replica] replica 178714744544926848 established peer replication connection with replica 178714744544926847
