source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787147559138130,178714744544926855,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787147559748550,178714744544926855,,,,,1787147559138152,1787147559748550,,,restored_existing_snapshot,,,,,610398
server,membership_descriptor_write,completed,1787147559708821,178714744544926855,,,,,1787147559138349,1787147559708821,,,"178714744544926855,47.129.167.193:19084,0",,,,,570472
server,membership_directory_read,completed,1787147559902983,178714744544926855,,,,,1787147559708824,1787147559902983,,,init:25 descriptors,,,,,194159
server,replica_init,completed,1787147559905593,178714744544926855,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147559905614,178714744544926855,178714744544926854,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147559905625,178714744544926855,178714744544926852,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147559905630,178714744544926855,178714744544926853,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147559905634,178714744544926855,178714744544926851,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147559906734,178714744544926855,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_merge_delta,completed,1787147560008679,178714744544926855,,,,1787147560006407,1787147560008678,1787147560008679,,,"delta_len=0,sent_us=1787147559956409",,,,,1
server,peer_replication_connection,established,1787147560050687,178714744544926855,178714744544926840,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560066354,178714744544926855,178714744544926850,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560077256,178714744544926855,178714744544926835,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560219106,178714744544926855,178714744544926839,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560219170,178714744544926855,178714744544926838,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560219377,178714744544926855,178714744544926836,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560244110,178714744544926855,178714744544926837,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560248506,178714744544926855,178714744544926848,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560249338,178714744544926855,178714744544926849,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560249461,178714744544926855,178714744544926846,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560250253,178714744544926855,178714744544926847,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560257522,178714744544926855,178714744544926832,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560257676,178714744544926855,178714744544926834,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560269392,178714744544926855,178714744544926842,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560283219,178714744544926855,178714744544926833,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560287168,178714744544926855,178714744544926831,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560332223,178714744544926855,178714744544926844,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560334606,178714744544926855,178714744544926841,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560345502,178714744544926855,178714744544926845,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147560346055,178714744544926855,178714744544926843,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147560906835,178714744544926855,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787147561472706,178714744544926855,,,,1787147561470458,1787147561472705,1787147561472706,,,"delta_len=0,sent_us=1787147561210302",,,,,1
server,peer_replication_get_delta,completed,1787147561619257,178714744544926855,178714744544926841,,,1787147561619254,1787147561619256,1787147561619257,,,"delta_len=0,sent_us=1787147561295860",,,,,1
server,peer_replication_pull_request,sent,1787147561906668,178714744544926855,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787147562618869,178714744544926855,,,,1787147562616180,1787147562618868,1787147562618869,,,"delta_len=0,sent_us=1787147562288810",,,,,1
server,peer_replication_pull_request,sent,1787147562906772,178714744544926855,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787147562958844,178714744544926855,,,,1787147562956725,1787147562958842,1787147562958844,,,"delta_len=0,sent_us=1787147562956400",,,,,2
server,peer_replication_get_delta,completed,1787147563159630,178714744544926855,178714744544926839,,,1787147563159627,1787147563159629,1787147563159630,,,"delta_len=0,sent_us=1787147562923177",,,,,1
server,peer_replication_pull_request,sent,1787147563906602,178714744544926855,,,,,,,,,connected_peers=24,,,,,
server,membership_directory_read,completed,1787147564333768,178714744544926855,,,,,1787147564139792,1787147564333768,,,poll:25 descriptors,,,,,193976
server,peer_replication_get_delta,completed,1787147564554412,178714744544926855,178714744544926831,,,1787147564554409,1787147564554411,1787147564554412,,,"delta_len=0,sent_us=1787147564274318",,,,,1
server,peer_replication_pull_request,sent,1787147564905981,178714744544926855,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787147565472535,178714744544926855,,,,1787147565470415,1787147565472533,1787147565472535,,,"delta_len=0,sent_us=1787147565210238",,,,,2
server,peer_replication_pull_request,sent,1787147565906690,178714744544926855,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1787147566175425,178714744544926855,178714744544926852,,,1787147566175422,1787147566175423,1787147566175425,,,"delta_len=0,sent_us=1787147566175031",,,,,2
server,peer_replication_merge_delta,completed,1787147566463041,178714744544926855,,,,1787147566460927,1787147566463040,1787147566463041,,,"delta_len=0,sent_us=1787147566211841",,,,,1
server,peer_replication_pull_request,sent,1787147566906526,178714744544926855,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787147567523078,178714744544926855,,,,1787147567520973,1787147567523076,1787147567523078,,,"delta_len=0,sent_us=1787147567243171",,,,,2
server,peer_replication_pull_request,sent,1787147567906533,178714744544926855,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_connection,established,1787147568347371,178714744544926855,178714744544926856,,,,,,,,,,,,,
