source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787147472189095,178714744544926831,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787147472224039,178714744544926831,,,,,1787147472189118,1787147472224039,,,persistent_snapshot_missing,,,,,34921
server,membership_descriptor_write,completed,1787147472230291,178714744544926831,,,,,1787147472189372,1787147472230291,,,"178714744544926831,16.170.40.83:19080,0",,,,,40919
server,membership_directory_read,completed,1787147472243420,178714744544926831,,,,,1787147472230295,1787147472243420,,,init:1 descriptors,,,,,13125
server,persistent_state_write,completed,1787147472270596,178714744544926831,,,,,1787147472243457,1787147472270596,,,initial_snapshot,,,,,27139
server,persistent_state_fetch,completed,1787147472270621,178714744544926831,,,,,,,,,initialized_new_persistent_snapshot,,,,,
server,replica_init,completed,1787147472273303,178714744544926831,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147472946265,178714744544926831,178714744544926832,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1787147472993605,178714744544926831,178714744544926832,,,1787147472993601,1787147472993604,1787147472993605,,,"delta_len=0,sent_us=1787147472950137",,,,,1
server,peer_replication_pull_request,sent,1787147473274061,178714744544926831,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_merge_delta,completed,1787147473326429,178714744544926831,,,,1787147473323622,1787147473326427,1787147473326429,,,"delta_len=0,sent_us=1787147473274405",,,,,2
server,peer_replication_connection,established,1787147473592785,178714744544926831,178714744544926833,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147474253890,178714744544926831,178714744544926834,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147474273800,178714744544926831,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_get_delta,completed,1787147474303541,178714744544926831,178714744544926834,,,1787147474303538,1787147474303540,1787147474303541,,,"delta_len=0,sent_us=1787147474257351",,,,,1
server,peer_replication_merge_delta,completed,1787147474328702,178714744544926831,,,,1787147474326232,1787147474328701,1787147474328702,,,"delta_len=0,sent_us=1787147474323698",,,,,1
server,peer_replication_connection,established,1787147474841271,178714744544926831,178714744544926835,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147475273868,178714744544926831,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_merge_delta,completed,1787147475326299,178714744544926831,,,,1787147475324032,1787147475326298,1787147475326299,,,"delta_len=0,sent_us=1787147475323584",,,,,1
server,peer_replication_connection,established,1787147475891128,178714744544926831,178714744544926836,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1787147475893574,178714744544926831,178714744544926835,,,1787147475893570,1787147475893573,1787147475893574,,,"delta_len=0,sent_us=1787147475845081",,,,,1
server,peer_replication_get_delta,completed,1787147475950913,178714744544926831,178714744544926832,,,1787147475950909,1787147475950912,1787147475950913,,,"delta_len=0,sent_us=1787147475949753",,,,,1
server,peer_replication_pull_request,sent,1787147476274489,178714744544926831,,,,,,,,,connected_peers=5,,,,,
server,peer_replication_merge_delta,completed,1787147476325909,178714744544926831,,,,1787147476323626,1787147476325908,1787147476325909,,,"delta_len=0,sent_us=1787147476274906",,,,,1
server,peer_replication_connection,established,1787147476906503,178714744544926831,178714744544926837,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1787147476994443,178714744544926831,178714744544926832,,,1787147476994439,1787147476994442,1787147476994443,,,"delta_len=0,sent_us=1787147476949925",,,,,1
server,membership_directory_read,completed,1787147477208504,178714744544926831,,,,,1787147477189863,1787147477208504,,,poll:7 descriptors,,,,,18641
server,peer_replication_pull_request,sent,1787147477273797,178714744544926831,,,,,,,,,connected_peers=6,,,,,
server,peer_replication_merge_delta,completed,1787147477389510,178714744544926831,,,,1787147477387199,1787147477389508,1787147477389510,,,"delta_len=0,sent_us=1787147477309745",,,,,2
server,peer_replication_get_delta,completed,1787147477845021,178714744544926831,178714744544926835,,,1787147477845018,1787147477845020,1787147477845021,,,"delta_len=0,sent_us=1787147477844471",,,,,1
server,peer_replication_get_delta,completed,1787147477894103,178714744544926831,178714744544926836,,,1787147477894100,1787147477894102,1787147477894103,,,"delta_len=0,sent_us=1787147477858485",,,,,1
server,peer_replication_connection,established,1787147477956537,178714744544926831,178714744544926838,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147478274634,178714744544926831,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1787147478390493,178714744544926831,,,,1787147478387747,1787147478390492,1787147478390493,,,"delta_len=0,sent_us=1787147478310855",,,,,1
server,peer_replication_connection,established,1787147478956087,178714744544926831,178714744544926839,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147479274613,178714744544926831,,,,,,,,,connected_peers=8,,,,,
server,peer_replication_merge_delta,completed,1787147479389384,178714744544926831,,,,1787147479387057,1787147479389382,1787147479389384,,,"delta_len=0,sent_us=1787147479310474",,,,,2
server,peer_replication_connection,established,1787147479942960,178714744544926831,178714744544926840,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1787147480006948,178714744544926831,178714744544926839,,,1787147480006946,1787147480006947,1787147480006948,,,"delta_len=0,sent_us=1787147479923803",,,,,1
server,peer_replication_pull_request,sent,1787147480274410,178714744544926831,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1787147480325992,178714744544926831,,,,1787147480323597,1787147480325990,1787147480325992,,,"delta_len=0,sent_us=1787147480274729",,,,,2
