[2026-08-19T13:51:14.757Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-19T13:51:14.758Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18084
[2026-08-19T13:51:14.789Z INFO  gresse::replica] replica 178714744544926835 initiating runtime at bind_http=0.0.0.0:18084 bind_internal=0.0.0.0:19084 advertised_internal=16.170.40.83:19084
[2026-08-19T13:51:14.822Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260819104151-566c04, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-smoke-20260819T135045Z-25226496/membership/178714744544926835,16.170.40.83:19084,0
[2026-08-19T13:51:14.840Z INFO  gresse::replica] replica 178714744544926835 discovered 5 membership descriptors during init
[2026-08-19T13:51:14.840Z INFO  gresse::network] replica 178714744544926835 discovered network member NetworkMember { pid: 178714744544926831, address: 16.170.40.83:19080, final_counter: None }
[2026-08-19T13:51:14.840Z INFO  gresse::network] replica 178714744544926835 discovered network member NetworkMember { pid: 178714744544926832, address: 16.170.40.83:19081, final_counter: None }
[2026-08-19T13:51:14.840Z INFO  gresse::network] replica 178714744544926835 discovered network member NetworkMember { pid: 178714744544926833, address: 16.170.40.83:19082, final_counter: None }
[2026-08-19T13:51:14.840Z INFO  gresse::network] replica 178714744544926835 discovered network member NetworkMember { pid: 178714744544926834, address: 16.170.40.83:19083, final_counter: None }
[2026-08-19T13:51:14.841Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926832
[2026-08-19T13:51:14.841Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926834
[2026-08-19T13:51:14.841Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926833
[2026-08-19T13:51:14.841Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926831
[2026-08-19T13:51:14.843Z INFO  gresse::replica] replica 178714744544926835 startup completed
[2026-08-19T13:51:14.843Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926832
[2026-08-19T13:51:14.843Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926834
[2026-08-19T13:51:14.843Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926833
[2026-08-19T13:51:14.843Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926831
[2026-08-19T13:51:15.890Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926836
[2026-08-19T13:51:15.890Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926836
[2026-08-19T13:51:16.906Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926837
[2026-08-19T13:51:16.906Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926837
[2026-08-19T13:51:17.956Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926838
[2026-08-19T13:51:17.956Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926838
[2026-08-19T13:51:18.956Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926839
[2026-08-19T13:51:18.956Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926839
[2026-08-19T13:51:19.943Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926840
[2026-08-19T13:51:19.943Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926840
[2026-08-19T13:51:22.460Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926841
[2026-08-19T13:51:22.460Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926841
[2026-08-19T13:51:25.478Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926842
[2026-08-19T13:51:25.478Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926842
[2026-08-19T13:51:28.708Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926843
[2026-08-19T13:51:28.708Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926843
[2026-08-19T13:51:31.683Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926844
[2026-08-19T13:51:31.683Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926844
[2026-08-19T13:51:34.696Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926845
[2026-08-19T13:51:34.697Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926845
[2026-08-19T13:51:39.044Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926846
[2026-08-19T13:51:39.044Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926846
[2026-08-19T13:51:44.219Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926847
[2026-08-19T13:51:44.219Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926847
[2026-08-19T13:51:49.456Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926848
[2026-08-19T13:51:49.456Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926848
[2026-08-19T13:51:54.808Z INFO  gresse::network] replica 178714744544926835 discovered network member NetworkMember { pid: 178714744544926849, address: 54.184.138.82:19083, final_counter: None }
[2026-08-19T13:51:54.901Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926849
[2026-08-19T13:51:54.901Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926849
[2026-08-19T13:52:00.532Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926850
[2026-08-19T13:52:00.532Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926850
[2026-08-19T13:52:07.488Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926851
[2026-08-19T13:52:07.488Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926851
[2026-08-19T13:52:15.470Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926852
[2026-08-19T13:52:15.470Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926852
[2026-08-19T13:52:23.746Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926853
[2026-08-19T13:52:23.746Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926853
[2026-08-19T13:52:31.988Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926854
[2026-08-19T13:52:31.988Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926854
[2026-08-19T13:52:39.809Z INFO  gresse::network] replica 178714744544926835 discovered network member NetworkMember { pid: 178714744544926855, address: 47.129.167.193:19084, final_counter: None }
[2026-08-19T13:52:40.166Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926855
[2026-08-19T13:52:40.166Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926855
[2026-08-19T13:52:48.610Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926856
[2026-08-19T13:52:48.610Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926856
[2026-08-19T13:52:56.685Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926857
[2026-08-19T13:52:56.685Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926857
[2026-08-19T13:53:04.808Z INFO  gresse::network] replica 178714744544926835 discovered network member NetworkMember { pid: 178714744544926858, address: 13.193.126.237:19082, final_counter: None }
[2026-08-19T13:53:05.113Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926858
[2026-08-19T13:53:05.113Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926858
[2026-08-19T13:53:13.378Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926859
[2026-08-19T13:53:13.378Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926859
[2026-08-19T13:53:21.660Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926860
[2026-08-19T13:53:21.660Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926860
[2026-08-19T13:54:45.844Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-19T13:55:09.844Z WARN  gresse::replica] replica 178714744544926835 deferred pull request to peer 178714744544926858: channel closed
[2026-08-19T13:55:25.450Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926861
[2026-08-19T13:55:25.450Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926861
[2026-08-19T13:55:27.366Z INFO  gresse::network] replica 178714744544926835 registered bidirectional network channel for replica 178714744544926862
[2026-08-19T13:55:27.366Z INFO  gresse::replica] replica 178714744544926835 established peer replication connection with replica 178714744544926862
[2026-08-19T13:55:41.845Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-19T13:56:06.844Z WARN  gresse::replica] replica 178714744544926835 deferred pull request to peer 178714744544926831: channel closed
[2026-08-19T13:56:14.811Z INFO  gresse::replica] replica 178714744544926835 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
[2026-08-19T13:56:14.834Z INFO  gresse::replica] replica 178714744544926835 observed shutdown descriptor for replica 178714744544926849 with final counter Some(1)
[2026-08-19T13:56:19.807Z INFO  gresse::replica] replica 178714744544926835 observed shutdown descriptor for replica 178714744544926837 with final counter Some(2)
