source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787147591978727,178714744544926859,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787147592744579,178714744544926859,,,,,1787147591978751,1787147592744579,,,restored_existing_snapshot,,,,,765828
server,membership_descriptor_write,completed,1787147592752103,178714744544926859,,,,,1787147591978963,1787147592752103,,,"178714744544926859,13.193.126.237:19083,0",,,,,773140
server,membership_directory_read,completed,1787147593011625,178714744544926859,,,,,1787147592752107,1787147593011625,,,init:29 descriptors,,,,,259518
server,replica_init,completed,1787147593014262,178714744544926859,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593014302,178714744544926859,178714744544926853,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593014314,178714744544926859,178714744544926858,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593014319,178714744544926859,178714744544926857,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593014324,178714744544926859,178714744544926856,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147593015461,178714744544926859,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_merge_delta,completed,1787147593109326,178714744544926859,,,,1787147593107197,1787147593109324,1787147593109326,,,"delta_len=0,sent_us=1787147593057420",,,,,2
server,peer_replication_connection,established,1787147593147661,178714744544926859,178714744544926851,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593148167,178714744544926859,178714744544926838,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593149034,178714744544926859,178714744544926854,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593151413,178714744544926859,178714744544926855,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593152244,178714744544926859,178714744544926852,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593207153,178714744544926859,178714744544926847,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593207523,178714744544926859,178714744544926849,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593208018,178714744544926859,178714744544926848,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593208234,178714744544926859,178714744544926846,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593208958,178714744544926859,178714744544926850,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593266655,178714744544926859,178714744544926832,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593305004,178714744544926859,178714744544926844,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593310538,178714744544926859,178714744544926842,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593311302,178714744544926859,178714744544926845,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593311378,178714744544926859,178714744544926843,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593318333,178714744544926859,178714744544926841,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593459720,178714744544926859,178714744544926840,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593459765,178714744544926859,178714744544926839,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593460399,178714744544926859,178714744544926836,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593490547,178714744544926859,178714744544926837,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593495288,178714744544926859,178714744544926834,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593496591,178714744544926859,178714744544926831,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593499611,178714744544926859,178714744544926835,,,,,,,,,,,,,
server,peer_replication_connection,established,1787147593501162,178714744544926859,178714744544926833,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787147594015120,178714744544926859,,,,,,,,,connected_peers=28,,,,,
server,peer_replication_merge_delta,completed,1787147594456054,178714744544926859,,,,1787147594453303,1787147594456051,1787147594456054,,,"delta_len=0,sent_us=1787147594233874",,,,,3
server,peer_replication_pull_request,sent,1787147595015164,178714744544926859,,,,,,,,,connected_peers=28,,,,,
server,peer_replication_merge_delta,completed,1787147595288272,178714744544926859,,,,1787147595275853,1787147595288257,1787147595288272,,,"delta_len=0,sent_us=1787147595121133",,,,,15
server,peer_replication_get_delta,completed,1787147595455870,178714744544926859,178714744544926850,,,1787147595455866,1787147595455869,1787147595455870,,,"delta_len=0,sent_us=1787147595307451",,,,,1
server,peer_replication_pull_request,sent,1787147596014880,178714744544926859,,,,,,,,,connected_peers=28,,,,,
server,peer_replication_get_delta,completed,1787147596326051,178714744544926859,178714744544926857,,,1787147596326047,1787147596326049,1787147596326051,,,"delta_len=0,sent_us=1787147596324152",,,,,2
