timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787922726775218,agent_start_received,,,,,1787922771.0,,,,,,,,,
1787922771000825,bootstrap_attempt_started,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,attempt 1/3,,,,,,,,,
1787922771003029,spawn_requested,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/frankfurt-slot0-g1,,,,,,,,,
1787922771304239,bootstrap_ready,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,,,,,,,,,
1787922771304625,bootstrap_attempt_started,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,attempt 1/3,,,,,,,,,
1787922771307022,spawn_requested,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/frankfurt-slot1-g1,,,,,,,,,
1787922771507904,bootstrap_ready,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,,,,,,,,,
1787922771508274,bootstrap_attempt_started,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,attempt 1/3,,,,,,,,,
1787922771510378,spawn_requested,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/frankfurt-slot2-g1,,,,,,,,,
1787922771711279,bootstrap_ready,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,,,,,,,,,
1787922771711653,bootstrap_attempt_started,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,attempt 1/3,,,,,,,,,
1787922771713785,spawn_requested,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/frankfurt-slot3-g1,,,,,,,,,
1787922771914709,bootstrap_ready,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,,,,,,,,,
1787922771915065,bootstrap_attempt_started,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,attempt 1/3,,,,,,,,,
1787922771917399,spawn_requested,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/frankfurt-slot4-g1,,,,,,,,,
1787922772118269,bootstrap_ready,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,,,,,,,,,
1787922802122718,state_snapshot,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,,,,,,,,
1787922802123199,state_snapshot,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,,,,,,,,
1787922802123665,state_snapshot,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,,,,,,,,
1787922802124077,state_snapshot,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,,,,,,,,
1787922802124480,state_snapshot,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,,,,,,,,
1787922802124655,client_request,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,5131,Remove,208,True,,,,
1787922802225418,state_snapshot,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,,,,,,,,
1787922802225976,state_snapshot,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,,,,,,,,
1787922802226425,state_snapshot,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,,,,,,,,
1787922802226829,state_snapshot,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,,,,,,,,
1787922802227218,state_snapshot,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,,,,,,,,
1787922803122472,client_request,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,3003,Remove,176,True,,,,
1787922804122340,client_request,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,2868,Remove,635,True,,,,
1787922805122402,client_request,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,2939,Insert,325,True,,,,
1787922806122408,client_request,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,2932,Insert,7,True,,,,
1787922807122566,client_request,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,3082,Remove,542,True,,,,
1787922808122357,client_request,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,2887,Insert,867,True,,,,
1787922809122314,client_request,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,2831,Insert,585,True,,,,
1787922810122300,client_request,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,2804,Insert,546,True,,,,
1787922811122364,client_request,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,2902,Remove,508,True,,,,
1787922812122389,client_request,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,2888,Remove,182,True,,,,
1787922813122369,client_request,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,2881,Remove,279,True,,,,
1787922814122400,client_request,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,2930,Remove,294,True,,,,
1787922815122383,client_request,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,2909,Insert,795,True,,,,
1787922816122264,client_request,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,2791,Remove,798,True,,,,
1787922817122760,client_request,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,3211,Insert,27,True,,,,
1787922818122405,client_request,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,2947,Insert,303,True,,,,
1787922819122341,client_request,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,2871,Remove,978,True,,,,
1787922820123169,client_request,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,3673,Remove,868,True,,,,
1787922821123859,client_request,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,4382,Insert,836,True,,,,
1787922822122077,client_request,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,2588,Remove,801,True,,,,
1787922823122231,client_request,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,2752,Remove,354,True,,,,
1787922824122333,client_request,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,2842,Remove,713,True,,,,
1787922825122306,client_request,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,2833,Insert,499,True,,,,
1787922826122300,client_request,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,2819,Remove,248,True,,,,
1787922827122181,client_request,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,2720,Remove,490,True,,,,
1787922828122224,client_request,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,2761,Remove,445,True,,,,
1787922829122322,client_request,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,2841,Insert,874,True,,,,
1787922830122285,client_request,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,2806,Remove,377,True,,,,
1787922831001582,state_snapshot,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,,,,,,,,
1787922831002255,state_snapshot,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,,,,,,,,
1787922831002720,state_snapshot,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,,,,,,,,
1787922831003138,state_snapshot,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,,,,,,,,
1787922831003543,state_snapshot,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,,,,,,,,
1787922831122248,client_request,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,2795,Insert,49,True,,,,
1787922832122903,client_request,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,3427,Insert,441,True,,,,
1787922833122600,client_request,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,3124,Insert,638,True,,,,
1787922834122302,client_request,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,2828,Remove,836,True,,,,
1787922835122350,client_request,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,2886,Remove,660,True,,,,
1787922836122149,client_request,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,2690,Remove,545,True,,,,
1787922837122280,client_request,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,2802,Insert,964,True,,,,
1787922838122339,client_request,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,2876,Insert,401,True,,,,
1787922839122305,client_request,frankfurt-slot2-g1,eu-central-1,2,178792271633864701,,200,2832,Remove,839,True,,,,
1787922840122383,client_request,frankfurt-slot3-g1,eu-central-1,3,178792271633865701,,200,2895,Remove,511,True,,,,
1787922841122215,client_request,frankfurt-slot4-g1,eu-central-1,4,178792271633866701,,200,2738,Remove,556,True,,,,
1787922842122423,client_request,frankfurt-slot0-g1,eu-central-1,0,178792271633862701,,200,2934,Remove,110,True,,,,
1787922843122371,client_request,frankfurt-slot1-g1,eu-central-1,1,178792271633863701,,200,2863,Remove,513,True,,,,
