source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787922951053014,178792271633863702,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787922951177593,178792271633863702,,,,,1787922951053045,1787922951177593,,,restored_existing_snapshot,,,,,124548
server,membership_descriptor_write,completed,1787922951161701,178792271633863702,,,,,1787922951053290,1787922951161701,,,"178792271633863702,3.121.180.49:19081,0",,,,,108411
server,membership_directory_read,completed,1787922951208685,178792271633863702,,,,,1787922951161705,1787922951208685,,,init:51 descriptors,,,,,46980
server,replica_init,completed,1787922951212235,178792271633863702,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951212912,178792271633863702,178792271633862701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951213193,178792271633863702,178792271633866701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951213235,178792271633863702,178792271633865701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951213387,178792271633863702,178792271633864701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951228364,178792271633863702,178792271903525701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951228422,178792271633863702,178792271903524701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951228633,178792271633863702,178792271903526701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951228783,178792271633863702,178792271903528701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951228930,178792271633863702,178792271903527701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951237533,178792271633863702,178792271814543401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951237558,178792271633863702,178792271814539401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951237565,178792271633863702,178792271814540401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951238624,178792271633863702,178792271814541401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951252104,178792271633863702,178792271704343602,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951252132,178792271633863702,178792271704344601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951252290,178792271633863702,178792271704341601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951252302,178792271633863702,178792271704342601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951252540,178792271633863702,178792271704345601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951260172,178792271633863702,178792271589809101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951260214,178792271633863702,178792271589811101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951260263,178792271633863702,178792271589810101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951260315,178792271633863702,178792271589812101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951260324,178792271633863702,178792271589808102,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922951332116,178792271633863702,178792271814542402,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1787922951538449,178792271633863702,178792271814540401,1,,1787922951538436,1787922951538439,1787922951538449,,,"delta_len=0,sent_us=1787922951520413",,,,,10
server,peer_replication_pull_request,sent,1787922952213313,178792271633863702,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922952294948,178792271633863702,,1,,1787922952263687,1787922952294596,1787922952294948,,,"delta_len=601,sent_us=1787922952232546",,,,,352
