timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787922726823996,agent_start_received,,,,,1787922771.0,,,,,,,,,
1787922771001346,bootstrap_attempt_started,london-slot0-g1,eu-west-2,0,178792271814539401,attempt 1/3,,,,,,,,,
1787922771005588,spawn_requested,london-slot0-g1,eu-west-2,0,178792271814539401,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/london-slot0-g1,,,,,,,,,
1787922771307630,bootstrap_ready,london-slot0-g1,eu-west-2,0,178792271814539401,,,,,,,,,,
1787922771308072,bootstrap_attempt_started,london-slot1-g1,eu-west-2,1,178792271814540401,attempt 1/3,,,,,,,,,
1787922771310583,spawn_requested,london-slot1-g1,eu-west-2,1,178792271814540401,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/london-slot1-g1,,,,,,,,,
1787922771612476,bootstrap_ready,london-slot1-g1,eu-west-2,1,178792271814540401,,,,,,,,,,
1787922771613473,bootstrap_attempt_started,london-slot2-g1,eu-west-2,2,178792271814541401,attempt 1/3,,,,,,,,,
1787922771616038,spawn_requested,london-slot2-g1,eu-west-2,2,178792271814541401,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/london-slot2-g1,,,,,,,,,
1787922771817287,bootstrap_ready,london-slot2-g1,eu-west-2,2,178792271814541401,,,,,,,,,,
1787922771817672,bootstrap_attempt_started,london-slot3-g1,eu-west-2,3,178792271814542401,attempt 1/3,,,,,,,,,
1787922771820345,spawn_requested,london-slot3-g1,eu-west-2,3,178792271814542401,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/london-slot3-g1,,,,,,,,,
1787922772121976,bootstrap_ready,london-slot3-g1,eu-west-2,3,178792271814542401,,,,,,,,,,
1787922772122401,bootstrap_attempt_started,london-slot4-g1,eu-west-2,4,178792271814543401,attempt 1/3,,,,,,,,,
