source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787922771355197,178792271814540401,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787922771462878,178792271814540401,,,,,1787922771355236,1787922771462878,,,restored_existing_snapshot,,,,,107642
server,membership_descriptor_write,completed,1787922771471824,178792271814540401,,,,,1787922771355446,1787922771471824,,,"178792271814540401,3.8.155.72:19081,0",,,,,116378
server,membership_directory_read,completed,1787922771515587,178792271814540401,,,,,1787922771471830,1787922771515587,,,init:11 descriptors,,,,,43757
server,replica_init,completed,1787922771519529,178792271814540401,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771521011,178792271814540401,178792271814539401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771533162,178792271814540401,178792271903525701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771533757,178792271814540401,178792271903524701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771539508,178792271814540401,178792271704341601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771542416,178792271814540401,178792271633862701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771544414,178792271814540401,178792271633863701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771574907,178792271814540401,178792271589809101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771577129,178792271814540401,178792271589808101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771577321,178792271814540401,178792271589810101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771581713,178792271814540401,178792271704342601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771653581,178792271814540401,178792271589811101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771703267,178792271814540401,178792271633864701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771754306,178792271814540401,178792271589812101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771812122,178792271814540401,178792271814541401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771841233,178792271814540401,178792271903526701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771897546,178792271814540401,178792271704343601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771911077,178792271814540401,178792271633865701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772023421,178792271814540401,178792271814542401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772123257,178792271814540401,178792271633866701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772136008,178792271814540401,178792271903527701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772212861,178792271814540401,178792271704344601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772334181,178792271814540401,178792271814543401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772444460,178792271814540401,178792271903528701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772518557,178792271814540401,178792271704345601,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787922772520797,178792271814540401,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922772646729,178792271814540401,,,,1787922772644351,1787922772646726,1787922772646729,,,"delta_len=0,sent_us=1787922772603279",,,,,3
server,peer_replication_get_delta,completed,1787922773136233,178792271814540401,178792271903527701,,,1787922773136228,1787922773136230,1787922773136233,,,"delta_len=0,sent_us=1787922773124573",,,,,3
server,peer_replication_pull_request,sent,1787922773519881,178792271814540401,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1787922774489762,178792271814540401,178792271903528701,,,1787922774489759,1787922774489761,1787922774489762,,,"delta_len=0,sent_us=1787922774433450",,,,,1
server,peer_replication_pull_request,sent,1787922774520094,178792271814540401,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922774573412,178792271814540401,,,,1787922774570655,1787922774573409,1787922774573412,,,"delta_len=0,sent_us=1787922774521080",,,,,3
server,peer_replication_pull_request,sent,1787922775520607,178792271814540401,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1787922775560029,178792271814540401,178792271704345601,,,1787922775560025,1787922775560027,1787922775560029,,,"delta_len=0,sent_us=1787922775503936",,,,,2
server,peer_replication_merge_delta,completed,1787922775574051,178792271814540401,,,,1787922775571952,1787922775574049,1787922775574051,,,"delta_len=0,sent_us=1787922775570912",,,,,2
server,membership_directory_read,completed,1787922776397802,178792271814540401,,,,,1787922776355919,1787922776397802,,,poll:25 descriptors,,,,,41883
server,peer_replication_pull_request,sent,1787922776520128,178792271814540401,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922776651311,178792271814540401,,,,1787922776648963,1787922776651309,1787922776651311,,,"delta_len=0,sent_us=1787922776564551",,,,,2
server,peer_replication_get_delta,completed,1787922776651349,178792271814540401,178792271589811101,,,1787922776651346,1787922776651348,1787922776651349,,,"delta_len=0,sent_us=1787922776612423",,,,,1
server,peer_replication_pull_request,sent,1787922777520628,178792271814540401,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922777609709,178792271814540401,,,,1787922777607023,1787922777609706,1787922777609709,,,"delta_len=0,sent_us=1787922777563884",,,,,3
server,peer_replication_pull_request,sent,1787922778520305,178792271814540401,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922778543593,178792271814540401,,,,1787922778541177,1787922778543590,1787922778543593,,,"delta_len=0,sent_us=1787922778530640",,,,,3
server,peer_replication_pull_request,sent,1787922779520350,178792271814540401,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922779556689,178792271814540401,,,,1787922779554340,1787922779556686,1787922779556689,,,"delta_len=0,sent_us=1787922779537408",,,,,3
server,peer_replication_get_delta,completed,1787922780238904,178792271814540401,178792271903524701,,,1787922780238901,1787922780238903,1787922780238904,,,"delta_len=0,sent_us=1787922780228396",,,,,1
