timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787922726876365,agent_start_received,,,,,1787922771.0,,,,,,,,,
1787922771000735,bootstrap_attempt_started,paris-slot0-g1,eu-west-3,0,178792271903524701,attempt 1/3,,,,,,,,,
1787922771003048,spawn_requested,paris-slot0-g1,eu-west-3,0,178792271903524701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/paris-slot0-g1,,,,,,,,,
1787922771304233,bootstrap_ready,paris-slot0-g1,eu-west-3,0,178792271903524701,,,,,,,,,,
1787922771304613,bootstrap_attempt_started,paris-slot1-g1,eu-west-3,1,178792271903525701,attempt 1/3,,,,,,,,,
1787922771306870,spawn_requested,paris-slot1-g1,eu-west-3,1,178792271903525701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/paris-slot1-g1,,,,,,,,,
1787922771608078,bootstrap_ready,paris-slot1-g1,eu-west-3,1,178792271903525701,,,,,,,,,,
1787922771608453,bootstrap_attempt_started,paris-slot2-g1,eu-west-3,2,178792271903526701,attempt 1/3,,,,,,,,,
1787922771610686,spawn_requested,paris-slot2-g1,eu-west-3,2,178792271903526701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/paris-slot2-g1,,,,,,,,,
1787922771911885,bootstrap_ready,paris-slot2-g1,eu-west-3,2,178792271903526701,,,,,,,,,,
1787922771912273,bootstrap_attempt_started,paris-slot3-g1,eu-west-3,3,178792271903527701,attempt 1/3,,,,,,,,,
1787922771914509,spawn_requested,paris-slot3-g1,eu-west-3,3,178792271903527701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/paris-slot3-g1,,,,,,,,,
1787922772215775,bootstrap_ready,paris-slot3-g1,eu-west-3,3,178792271903527701,,,,,,,,,,
1787922772216169,bootstrap_attempt_started,paris-slot4-g1,eu-west-3,4,178792271903528701,attempt 1/3,,,,,,,,,
1787922772218462,spawn_requested,paris-slot4-g1,eu-west-3,4,178792271903528701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/paris-slot4-g1,,,,,,,,,
1787922772519694,bootstrap_ready,paris-slot4-g1,eu-west-3,4,178792271903528701,,,,,,,,,,
1787922802524445,state_snapshot,paris-slot0-g1,eu-west-3,0,178792271903524701,,200,,,,,,,,
1787922802524999,state_snapshot,paris-slot1-g1,eu-west-3,1,178792271903525701,,200,,,,,,,,
1787922802525479,state_snapshot,paris-slot2-g1,eu-west-3,2,178792271903526701,,200,,,,,,,,
