source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787922771942887,178792271903527701,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787922772074946,178792271903527701,,,,,1787922771942914,1787922772074946,,,restored_existing_snapshot,,,,,132032
server,membership_descriptor_write,completed,1787922772070938,178792271903527701,,,,,1787922771943139,1787922772070938,,,"178792271903527701,13.37.225.238:19083,0",,,,,127799
server,membership_directory_read,completed,1787922772120111,178792271903527701,,,,,1787922772070941,1787922772120111,,,init:21 descriptors,,,,,49170
server,replica_init,completed,1787922772123983,178792271903527701,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772124278,178792271903527701,178792271633866701,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787922772124420,178792271903527701,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_connection,established,1787922772124947,178792271903527701,178792271903524701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772124995,178792271903527701,178792271903526701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772125047,178792271903527701,178792271903525701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772138550,178792271903527701,178792271814541401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772138648,178792271903527701,178792271814542401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772139995,178792271903527701,178792271633863701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772140021,178792271903527701,178792271633865701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772140198,178792271903527701,178792271633864701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772140319,178792271903527701,178792271814539401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772140384,178792271903527701,178792271814540401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772140451,178792271903527701,178792271633862701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772158943,178792271903527701,178792271704343601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772159198,178792271903527701,178792271704341601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772159346,178792271903527701,178792271704342601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772186556,178792271903527701,178792271589811101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772186580,178792271903527701,178792271589812101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772186617,178792271903527701,178792271589808101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772186674,178792271903527701,178792271589810101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772186876,178792271903527701,178792271589809101,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1787922772196190,178792271903527701,,,,1787922772193795,1787922772196188,1787922772196190,,,"delta_len=0,sent_us=1787922772136250",,,,,2
server,peer_replication_connection,established,1787922772222868,178792271903527701,178792271704344601,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1787922772254012,178792271903527701,178792271633862701,,,1787922772254009,1787922772254011,1787922772254012,,,"delta_len=0,sent_us=1787922772242235",,,,,1
server,peer_replication_connection,established,1787922772344083,178792271903527701,178792271814543401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772433246,178792271903527701,178792271903528701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772528819,178792271903527701,178792271704345601,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787922773124590,178792271903527701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922773151287,178792271903527701,,,,1787922773148950,1787922773151286,1787922773151287,,,"delta_len=0,sent_us=1787922773136233",,,,,1
server,peer_replication_get_delta,completed,1787922773488721,178792271903527701,178792271633863701,,,1787922773488718,1787922773488720,1787922773488721,,,"delta_len=0,sent_us=1787922773477022",,,,,1
server,peer_replication_get_delta,completed,1787922773832050,178792271903527701,178792271903526701,,,1787922773832045,1787922773832049,1787922773832050,,,"delta_len=0,sent_us=1787922773831577",,,,,1
server,peer_replication_pull_request,sent,1787922774124560,178792271903527701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922774197972,178792271903527701,,,,1787922774195717,1787922774197971,1787922774197972,,,"delta_len=0,sent_us=1787922774184014",,,,,1
server,peer_replication_get_delta,completed,1787922774821750,178792271903527701,178792271814541401,,,1787922774821747,1787922774821749,1787922774821750,,,"delta_len=0,sent_us=1787922774811187",,,,,1
server,peer_replication_pull_request,sent,1787922775125303,178792271903527701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922775265548,178792271903527701,,,,1787922775263434,1787922775265546,1787922775265548,,,"delta_len=0,sent_us=1787922775216784",,,,,2
server,peer_replication_pull_request,sent,1787922776124533,178792271903527701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922776198304,178792271903527701,,,,1787922776196171,1787922776198303,1787922776198304,,,"delta_len=0,sent_us=1787922776184330",,,,,1
server,peer_replication_get_delta,completed,1787922776392541,178792271903527701,178792271814543401,,,1787922776392538,1787922776392540,1787922776392541,,,"delta_len=0,sent_us=1787922776333763",,,,,1
server,peer_replication_get_delta,completed,1787922776875962,178792271903527701,178792271903526701,,,1787922776875958,1787922776875961,1787922776875962,,,"delta_len=0,sent_us=1787922776830991",,,,,1
server,membership_directory_read,completed,1787922776992271,178792271903527701,,,,,1787922776944275,1787922776992271,,,poll:25 descriptors,,,,,47996
server,peer_replication_pull_request,sent,1787922777124614,178792271903527701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922777265534,178792271903527701,,,,1787922777263294,1787922777265533,1787922777265534,,,"delta_len=0,sent_us=1787922777216779",,,,,1
