timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787922726549232,agent_start_received,,,,,1787922771.0,,,,,,,,,
1787922771004006,bootstrap_attempt_started,stockholm-slot0-g1,eu-north-1,0,178792271589808101,attempt 1/3,,,,,,,,,
1787922771007956,spawn_requested,stockholm-slot0-g1,eu-north-1,0,178792271589808101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/stockholm-slot0-g1,,,,,,,,,
1787922771209398,bootstrap_ready,stockholm-slot0-g1,eu-north-1,0,178792271589808101,,,,,,,,,,
1787922771209814,bootstrap_attempt_started,stockholm-slot1-g1,eu-north-1,1,178792271589809101,attempt 1/3,,,,,,,,,
1787922771212536,spawn_requested,stockholm-slot1-g1,eu-north-1,1,178792271589809101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/stockholm-slot1-g1,,,,,,,,,
1787922771313196,bootstrap_ready,stockholm-slot1-g1,eu-north-1,1,178792271589809101,,,,,,,,,,
1787922771313606,bootstrap_attempt_started,stockholm-slot2-g1,eu-north-1,2,178792271589810101,attempt 1/3,,,,,,,,,
1787922771316136,spawn_requested,stockholm-slot2-g1,eu-north-1,2,178792271589810101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/stockholm-slot2-g1,,,,,,,,,
1787922771517044,bootstrap_ready,stockholm-slot2-g1,eu-north-1,2,178792271589810101,,,,,,,,,,
1787922771517443,bootstrap_attempt_started,stockholm-slot3-g1,eu-north-1,3,178792271589811101,attempt 1/3,,,,,,,,,
1787922771519896,spawn_requested,stockholm-slot3-g1,eu-north-1,3,178792271589811101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/stockholm-slot3-g1,,,,,,,,,
1787922771620495,bootstrap_ready,stockholm-slot3-g1,eu-north-1,3,178792271589811101,,,,,,,,,,
1787922771620880,bootstrap_attempt_started,stockholm-slot4-g1,eu-north-1,4,178792271589812101,attempt 1/3,,,,,,,,,
1787922771623348,spawn_requested,stockholm-slot4-g1,eu-north-1,4,178792271589812101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/stockholm-slot4-g1,,,,,,,,,
1787922771723941,bootstrap_ready,stockholm-slot4-g1,eu-north-1,4,178792271589812101,,,,,,,,,,
1787922801728932,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178792271589808101,,200,,,,,,,,
1787922801729537,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178792271589809101,,200,,,,,,,,
1787922801729999,state_snapshot,stockholm-slot2-g1,eu-north-1,2,178792271589810101,,200,,,,,,,,
1787922801730546,state_snapshot,stockholm-slot3-g1,eu-north-1,3,178792271589811101,,200,,,,,,,,
1787922801730985,state_snapshot,stockholm-slot4-g1,eu-north-1,4,178792271589812101,,200,,,,,,,,
1787922801731599,client_request,stockholm-slot0-g1,eu-north-1,0,178792271589808101,,200,5499,Remove,158,True,,,,
1787922801832123,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178792271589808101,,200,,,,,,,,
1787922801832781,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178792271589809101,,200,,,,,,,,
1787922801833330,state_snapshot,stockholm-slot2-g1,eu-north-1,2,178792271589810101,,200,,,,,,,,
1787922801833773,state_snapshot,stockholm-slot3-g1,eu-north-1,3,178792271589811101,,200,,,,,,,,
1787922801834284,state_snapshot,stockholm-slot4-g1,eu-north-1,4,178792271589812101,,200,,,,,,,,
1787922802731454,client_request,stockholm-slot1-g1,eu-north-1,1,178792271589809101,,200,5467,Insert,110,True,,,,
1787922803729551,client_request,stockholm-slot2-g1,eu-north-1,2,178792271589810101,,200,3319,Remove,510,True,,,,
1787922804733358,client_request,stockholm-slot3-g1,eu-north-1,3,178792271589811101,,200,4571,Insert,417,True,,,,
1787922805735222,client_request,stockholm-slot4-g1,eu-north-1,4,178792271589812101,,200,8108,Insert,609,True,,,,
1787922806733829,client_request,stockholm-slot0-g1,eu-north-1,0,178792271589808101,,200,7577,Remove,808,True,,,,
1787922807728606,client_request,stockholm-slot1-g1,eu-north-1,1,178792271589809101,,200,3240,Insert,724,True,,,,
1787922808728755,client_request,stockholm-slot2-g1,eu-north-1,2,178792271589810101,,200,3372,Remove,642,True,,,,
1787922809728365,client_request,stockholm-slot3-g1,eu-north-1,3,178792271589811101,,200,2996,Insert,921,True,,,,
1787922810728558,client_request,stockholm-slot4-g1,eu-north-1,4,178792271589812101,,200,3176,Remove,309,True,,,,
1787922811728741,client_request,stockholm-slot0-g1,eu-north-1,0,178792271589808101,,200,3345,Remove,443,True,,,,
1787922812728366,client_request,stockholm-slot1-g1,eu-north-1,1,178792271589809101,,200,2964,Insert,129,True,,,,
1787922813729593,client_request,stockholm-slot2-g1,eu-north-1,2,178792271589810101,,200,4197,Remove,248,True,,,,
1787922814728440,client_request,stockholm-slot3-g1,eu-north-1,3,178792271589811101,,200,3098,Insert,325,True,,,,
1787922815728536,client_request,stockholm-slot4-g1,eu-north-1,4,178792271589812101,,200,3147,Insert,489,True,,,,
1787922816003793,scheduled_event_started,stockholm-slot0-g1,eu-north-1,0,178792271589808101,t=45.000s crash,,,,,,,,,
1787922816003866,crash_requested,stockholm-slot0-g1,eu-north-1,0,178792271589808101,,,,,,,,,,
1787922816105191,process_stopped,stockholm-slot0-g1,eu-north-1,0,178792271589808101,,,,,,,,,,
1787922816105282,scheduled_event_completed,stockholm-slot0-g1,eu-north-1,0,178792271589808101,t=45.000s crash,,,,,,,,,
1787922816728560,client_request,stockholm-slot4-g1,eu-north-1,4,178792271589812101,,200,3186,Insert,242,True,,,,
1787922817728363,client_request,stockholm-slot1-g1,eu-north-1,1,178792271589809101,,200,2992,Insert,783,True,,,,
