source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787922771241174,178792271589809101,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787922771283334,178792271589809101,,,,,1787922771241201,1787922771283334,,,restored_existing_snapshot,,,,,42133
server,membership_descriptor_write,completed,1787922771283800,178792271589809101,,,,,1787922771241441,1787922771283800,,,"178792271589809101,16.192.159.169:19081,0",,,,,42359
server,membership_directory_read,completed,1787922771300683,178792271589809101,,,,,1787922771283804,1787922771300683,,,init:6 descriptors,,,,,16879
server,replica_init,completed,1787922771304590,178792271589809101,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771305283,178792271589809101,178792271589808101,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787922771305320,178792271589809101,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_connection,established,1787922771352364,178792271589809101,178792271633862701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771363004,178792271589809101,178792271814539401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771367083,178792271589809101,178792271903524701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771389742,178792271589809101,178792271704341601,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1787922771399161,178792271589809101,,,,1787922771396629,1787922771399159,1787922771399161,,,"delta_len=0,sent_us=1787922771345904",,,,,2
server,peer_replication_connection,established,1787922771419209,178792271589809101,178792271589810101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771512191,178792271589809101,178792271633863701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771561954,178792271589809101,178792271814540401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771568177,178792271589809101,178792271903525701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771612137,178792271589809101,178792271589811101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771639914,178792271589809101,178792271704342601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771712703,178792271589809101,178792271589812101,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771721668,178792271589809101,178792271633864701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771855830,178792271589809101,178792271814541401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771877188,178792271589809101,178792271903526701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771927226,178792271589809101,178792271633865701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922771946434,178792271589809101,178792271704343601,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772066995,178792271589809101,178792271814542401,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772142120,178792271589809101,178792271633866701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772171399,178792271589809101,178792271903527701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772260983,178792271589809101,178792271704344601,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787922772305917,178792271589809101,,,,,,,,,connected_peers=21,,,,,
server,peer_replication_connection,established,1787922772377618,178792271589809101,178792271814543401,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1787922772434883,178792271589809101,,,,1787922772432433,1787922772434881,1787922772434883,,,"delta_len=0,sent_us=1787922772389220",,,,,2
server,peer_replication_connection,established,1787922772480005,178792271589809101,178792271903528701,,,,,,,,,,,,,
server,peer_replication_connection,established,1787922772566378,178792271589809101,178792271704345601,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1787922772603279,178792271589809101,178792271814540401,,,1787922772603275,1787922772603277,1787922772603279,,,"delta_len=0,sent_us=1787922772520785",,,,,2
server,peer_replication_pull_request,sent,1787922773306207,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922773421711,178792271589809101,,,,1787922773419471,1787922773421708,1787922773421711,,,"delta_len=0,sent_us=1787922773342048",,,,,3
server,peer_replication_pull_request,sent,1787922774305811,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922774480271,178792271589809101,,,,1787922774478139,1787922774480269,1787922774480271,,,"delta_len=0,sent_us=1787922774369593",,,,,2
server,peer_replication_pull_request,sent,1787922775306151,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922775480113,178792271589809101,,,,1787922775478036,1787922775480111,1787922775480113,,,"delta_len=0,sent_us=1787922775369866",,,,,2
server,peer_replication_get_delta,completed,1787922776142605,178792271589809101,178792271633866701,,,1787922776142601,1787922776142604,1787922776142605,,,"delta_len=0,sent_us=1787922776106803",,,,,1
server,membership_directory_read,completed,1787922776257433,178792271589809101,,,,,1787922776241937,1787922776257433,,,poll:25 descriptors,,,,,15496
server,peer_replication_pull_request,sent,1787922776305712,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922776434378,178792271589809101,,,,1787922776432160,1787922776434376,1787922776434378,,,"delta_len=0,sent_us=1787922776388926",,,,,2
server,peer_replication_get_delta,completed,1787922776559495,178792271589809101,178792271633863701,,,1787922776559491,1787922776559493,1787922776559495,,,"delta_len=0,sent_us=1787922776477459",,,,,2
server,peer_replication_get_delta,completed,1787922777114430,178792271589809101,178792271814542401,,,1787922777114425,1787922777114429,1787922777114430,,,"delta_len=0,sent_us=1787922777023265",,,,,1
server,peer_replication_pull_request,sent,1787922777305774,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922777421835,178792271589809101,,,,1787922777419484,1787922777421833,1787922777421835,,,"delta_len=0,sent_us=1787922777341538",,,,,2
server,peer_replication_get_delta,completed,1787922778189640,178792271589809101,178792271633866701,,,1787922778189636,1787922778189638,1787922778189640,,,"delta_len=0,sent_us=1787922778107091",,,,,2
server,peer_replication_pull_request,sent,1787922778305951,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922778421782,178792271589809101,,,,1787922778419473,1787922778421781,1787922778421782,,,"delta_len=0,sent_us=1787922778341728",,,,,1
server,peer_replication_pull_request,sent,1787922779305701,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922779477658,178792271589809101,,,,1787922779475089,1787922779477656,1787922779477658,,,"delta_len=0,sent_us=1787922779411441",,,,,2
server,peer_replication_pull_request,sent,1787922780306148,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922780436786,178792271589809101,,,,1787922780434314,1787922780436784,1787922780436786,,,"delta_len=0,sent_us=1787922780347914",,,,,2
server,peer_replication_get_delta,completed,1787922780567637,178792271589809101,178792271704345601,,,1787922780567634,1787922780567636,1787922780567637,,,"delta_len=0,sent_us=1787922780504065",,,,,1
server,membership_directory_read,completed,1787922781260786,178792271589809101,,,,,1787922781241536,1787922781260786,,,poll:25 descriptors,,,,,19250
server,peer_replication_pull_request,sent,1787922781306055,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922781379948,178792271589809101,,,,1787922781377582,1787922781379946,1787922781379948,,,"delta_len=0,sent_us=1787922781341907",,,,,2
server,peer_replication_get_delta,completed,1787922781722188,178792271589809101,178792271633864701,,,1787922781722184,1787922781722186,1787922781722188,,,"delta_len=0,sent_us=1787922781686401",,,,,2
server,peer_replication_get_delta,completed,1787922782266885,178792271589809101,178792271704344601,,,1787922782266873,1787922782266883,1787922782266885,,,"delta_len=0,sent_us=1787922782197880",,,,,2
server,peer_replication_pull_request,sent,1787922782306406,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922782449601,178792271589809101,,,,1787922782447033,1787922782449598,1787922782449601,,,"delta_len=0,sent_us=1787922782353364",,,,,3
server,peer_replication_get_delta,completed,1787922782608073,178792271589809101,178792271704345601,,,1787922782608069,1787922782608072,1787922782608073,,,"delta_len=0,sent_us=1787922782503546",,,,,1
server,peer_replication_pull_request,sent,1787922783306075,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922783445055,178792271589809101,,,,1787922783442845,1787922783445053,1787922783445055,,,"delta_len=0,sent_us=1787922783399547",,,,,2
server,peer_replication_pull_request,sent,1787922784308028,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922784480315,178792271589809101,,,,1787922784478067,1787922784480312,1787922784480315,,,"delta_len=0,sent_us=1787922784372019",,,,,3
server,peer_replication_pull_request,sent,1787922785306131,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922785445762,178792271589809101,,,,1787922785443523,1787922785445761,1787922785445762,,,"delta_len=0,sent_us=1787922785396838",,,,,1
server,membership_directory_read,completed,1787922786257467,178792271589809101,,,,,1787922786242023,1787922786257467,,,poll:25 descriptors,,,,,15444
server,peer_replication_pull_request,sent,1787922786305694,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1787922786308080,178792271589809101,178792271704344601,,,1787922786308076,1787922786308079,1787922786308080,,,"delta_len=0,sent_us=1787922786197666",,,,,1
server,peer_replication_merge_delta,completed,1787922786448980,178792271589809101,,,,1787922786446771,1787922786448978,1787922786448980,,,"delta_len=0,sent_us=1787922786352337",,,,,2
server,peer_replication_get_delta,completed,1787922787267297,178792271589809101,178792271814539401,,,1787922787267293,1787922787267296,1787922787267297,,,"delta_len=0,sent_us=1787922787223859",,,,,1
server,peer_replication_pull_request,sent,1787922787306401,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1787922787340367,178792271589809101,178792271704341601,,,1787922787340363,1787922787340366,1787922787340367,,,"delta_len=0,sent_us=1787922787276858",,,,,1
server,peer_replication_merge_delta,completed,1787922787480129,178792271589809101,,,,1787922787478098,1787922787480126,1787922787480129,,,"delta_len=0,sent_us=1787922787371433",,,,,3
server,peer_replication_get_delta,completed,1787922788277068,178792271589809101,178792271633862701,,,1787922788277064,1787922788277067,1787922788277068,,,"delta_len=0,sent_us=1787922788241399",,,,,1
server,peer_replication_pull_request,sent,1787922788306378,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922788480145,178792271589809101,,,,1787922788478072,1787922788480143,1787922788480145,,,"delta_len=0,sent_us=1787922788370201",,,,,2
server,peer_replication_pull_request,sent,1787922789306099,178792271589809101,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787922789436670,178792271589809101,,,,1787922789434427,1787922789436668,1787922789436670,,,"delta_len=0,sent_us=1787922789347868",,,,,2
server,peer_replication_get_delta,completed,1787922789608106,178792271589809101,178792271704345601,,,1787922789608101,1787922789608103,1787922789608106,,,"delta_len=0,sent_us=1787922789504254",,,,,3
