timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787923443770322,agent_start_received,,,,,1787923488.0,,,,,,,,,
1787923488000938,bootstrap_attempt_started,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,attempt 1/3,,,,,,,,,
1787923488003304,spawn_requested,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/frankfurt-slot0-g1,,,,,,,,,
1787923488304543,bootstrap_ready,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,,,,,,,,,
1787923488304886,bootstrap_attempt_started,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,attempt 1/3,,,,,,,,,
1787923488306929,spawn_requested,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/frankfurt-slot1-g1,,,,,,,,,
1787923488507733,bootstrap_ready,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,,,,,,,,,
1787923488508099,bootstrap_attempt_started,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,attempt 1/3,,,,,,,,,
1787923488510284,spawn_requested,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/frankfurt-slot2-g1,,,,,,,,,
1787923488711119,bootstrap_ready,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,,,,,,,,,
1787923488711486,bootstrap_attempt_started,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,attempt 1/3,,,,,,,,,
1787923488713786,spawn_requested,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/frankfurt-slot3-g1,,,,,,,,,
1787923488914725,bootstrap_ready,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,,,,,,,,,
1787923488915083,bootstrap_attempt_started,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,attempt 1/3,,,,,,,,,
1787923488917068,spawn_requested,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/frankfurt-slot4-g1,,,,,,,,,
1787923489117950,bootstrap_ready,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,,,,,,,,,
1787923519122426,state_snapshot,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,,,,,,,,
1787923519122951,state_snapshot,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,,,,,,,,
1787923519123410,state_snapshot,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,,,,,,,,
1787923519123808,state_snapshot,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,,,,,,,,
1787923519124240,state_snapshot,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,,,,,,,,
1787923519124411,client_request,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,5128,Remove,100,True,,,,
1787923519221929,client_request,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,2763,Remove,175,True,,,,
1787923519225056,state_snapshot,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,,,,,,,,
1787923519225538,state_snapshot,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,,,,,,,,
1787923519226015,state_snapshot,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,,,,,,,,
1787923519226448,state_snapshot,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,,,,,,,,
1787923519226861,state_snapshot,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,,,,,,,,
1787923519321921,client_request,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,2737,Insert,554,True,,,,
1787923519422101,client_request,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,2907,Remove,556,True,,,,
1787923519521992,client_request,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,2791,Remove,325,True,,,,
1787923519622054,client_request,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,2848,Insert,277,True,,,,
1787923519721969,client_request,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,2812,Insert,566,True,,,,
1787923519821969,client_request,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,2782,Insert,904,True,,,,
1787923519922036,client_request,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,2837,Remove,244,True,,,,
1787923520022179,client_request,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,2972,Insert,544,True,,,,
1787923520122153,client_request,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,2942,Insert,960,True,,,,
1787923520221908,client_request,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,2733,Remove,229,True,,,,
1787923520322074,client_request,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,2861,Insert,250,True,,,,
1787923520422116,client_request,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,2926,Insert,301,True,,,,
1787923520522161,client_request,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,2973,Insert,242,True,,,,
1787923520622197,client_request,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,2995,Insert,733,True,,,,
1787923520722186,client_request,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,2998,Remove,882,True,,,,
1787923520822098,client_request,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,2904,Insert,723,True,,,,
1787923520922203,client_request,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,3020,Insert,78,True,,,,
1787923521022072,client_request,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,2885,Insert,344,True,,,,
1787923521121902,client_request,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,2711,Insert,350,True,,,,
1787923521222236,client_request,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,3030,Remove,386,True,,,,
1787923521321960,client_request,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,2804,Insert,739,True,,,,
1787923521421967,client_request,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,2769,Insert,757,True,,,,
1787923521522115,client_request,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,2912,Remove,242,True,,,,
1787923521621957,client_request,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,2759,Remove,118,True,,,,
1787923521722001,client_request,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,2844,Insert,528,True,,,,
1787923521821992,client_request,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,2794,Insert,708,True,,,,
1787923521921901,client_request,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,2742,Insert,636,True,,,,
1787923522021935,client_request,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,2772,Insert,652,True,,,,
1787923522121870,client_request,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,2681,Insert,10,True,,,,
1787923522221944,client_request,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,2763,Insert,747,True,,,,
1787923522322079,client_request,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,2888,Remove,840,True,,,,
1787923522422109,client_request,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,2916,Insert,935,True,,,,
1787923522521887,client_request,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,2700,Insert,37,True,,,,
1787923522622099,client_request,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,2894,Remove,904,True,,,,
1787923522722083,client_request,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,2884,Insert,606,True,,,,
1787923522822133,client_request,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,2929,Insert,391,True,,,,
1787923522922167,client_request,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,2973,Insert,489,True,,,,
1787923523022200,client_request,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,3003,Remove,665,True,,,,
1787923523122144,client_request,frankfurt-slot0-g1,eu-central-1,0,178792343327013801,,200,2939,Remove,466,True,,,,
1787923523221975,client_request,frankfurt-slot1-g1,eu-central-1,1,178792343327014801,,200,2791,Remove,562,True,,,,
1787923523322013,client_request,frankfurt-slot2-g1,eu-central-1,2,178792343327015801,,200,2848,Remove,515,True,,,,
1787923523422080,client_request,frankfurt-slot3-g1,eu-central-1,3,178792343327016801,,200,2906,Remove,349,True,,,,
1787923523521805,client_request,frankfurt-slot4-g1,eu-central-1,4,178792343327017801,,200,2637,Insert,960,True,,,,
