[2026-08-28T13:52:50.142Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-28T13:52:50.143Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18082
[2026-08-28T13:52:50.189Z INFO  gresse::replica] replica 178792343327015805 initiating runtime at bind_http=0.0.0.0:18082 bind_internal=0.0.0.0:19082 advertised_internal=3.121.180.49:19082
[2026-08-28T13:52:50.288Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260828124038-be821e, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260828T132329Z-550e9e91/membership/178792343327015805,3.121.180.49:19082,15
[2026-08-28T13:52:50.488Z INFO  gresse::replica] replica 178792343327015805 restored local state from durability journal before startup
[2026-08-28T13:52:50.488Z INFO  gresse::replica] replica 178792343327015805 discovered 306 membership descriptors during init
[2026-08-28T13:52:50.488Z INFO  gresse::replica] replica 178792343327015805 startup completed
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343266886005, address: 16.192.159.169:19080, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343266887005, address: 16.192.159.169:19081, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343266888005, address: 16.192.159.169:19082, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343266889005, address: 16.192.159.169:19083, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343266890005, address: 16.192.159.169:19084, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343327013805, address: 3.121.180.49:19080, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343327014805, address: 3.121.180.49:19081, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343327015804, address: 3.121.180.49:19082, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343327016804, address: 3.121.180.49:19083, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343327017804, address: 3.121.180.49:19084, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343404851504, address: 52.17.146.22:19080, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343404852504, address: 52.17.146.22:19081, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343404853504, address: 52.17.146.22:19082, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343404854504, address: 52.17.146.22:19083, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343404855504, address: 52.17.146.22:19084, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343513164004, address: 3.8.155.72:19080, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343513165004, address: 3.8.155.72:19081, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343513166004, address: 3.8.155.72:19082, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343513167004, address: 3.8.155.72:19083, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343513168004, address: 3.8.155.72:19084, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343597981004, address: 13.37.225.238:19080, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343597982004, address: 13.37.225.238:19081, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343597983004, address: 13.37.225.238:19082, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343597984004, address: 13.37.225.238:19083, final_counter: None }
[2026-08-28T13:52:50.488Z INFO  gresse::network] replica 178792343327015805 discovered network member NetworkMember { pid: 178792343597985004, address: 13.37.225.238:19084, final_counter: None }
[2026-08-28T13:52:50.489Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343327013805
[2026-08-28T13:52:50.489Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343327014805
[2026-08-28T13:52:50.490Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343327017804
[2026-08-28T13:52:50.490Z WARN  gresse::network] replica 178792343327015805 peer connection attempt failed: could not connect to 3.121.180.49:19083: Connection refused (os error 111)
[2026-08-28T13:52:50.490Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343327013805
[2026-08-28T13:52:50.490Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343327014805
[2026-08-28T13:52:50.490Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343327017804
[2026-08-28T13:52:50.490Z WARN  gresse::network] replica 178792343327015805 rejected peer handshake: expected 178792343327015804, received 178792343327015805
[2026-08-28T13:52:50.490Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343327015805
[2026-08-28T13:52:50.490Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343327015805
[2026-08-28T13:52:50.505Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343597983004
[2026-08-28T13:52:50.505Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343597983004
[2026-08-28T13:52:50.505Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343597984004
[2026-08-28T13:52:50.505Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343597984004
[2026-08-28T13:52:50.505Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343597982004
[2026-08-28T13:52:50.505Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343597982004
[2026-08-28T13:52:50.505Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343597981004
[2026-08-28T13:52:50.505Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343597981004
[2026-08-28T13:52:50.505Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343597985004
[2026-08-28T13:52:50.505Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343597985004
[2026-08-28T13:52:50.511Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513168004
[2026-08-28T13:52:50.511Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513168004
[2026-08-28T13:52:50.512Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513166004
[2026-08-28T13:52:50.512Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513166004
[2026-08-28T13:52:50.512Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513167004
[2026-08-28T13:52:50.512Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513167004
[2026-08-28T13:52:50.513Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513164004
[2026-08-28T13:52:50.513Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513164004
[2026-08-28T13:52:50.514Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513165004
[2026-08-28T13:52:50.514Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513165004
[2026-08-28T13:52:50.529Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404855504
[2026-08-28T13:52:50.529Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404855504
[2026-08-28T13:52:50.529Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404854504
[2026-08-28T13:52:50.529Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404854504
[2026-08-28T13:52:50.529Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404852504
[2026-08-28T13:52:50.529Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404852504
[2026-08-28T13:52:50.529Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404851504
[2026-08-28T13:52:50.529Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404851504
[2026-08-28T13:52:50.529Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404853504
[2026-08-28T13:52:50.529Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404853504
[2026-08-28T13:52:50.536Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343266888005
[2026-08-28T13:52:50.536Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343266888005
[2026-08-28T13:52:50.536Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343266890005
[2026-08-28T13:52:50.536Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343266890005
[2026-08-28T13:52:50.538Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343266886005
[2026-08-28T13:52:50.538Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343266886005
[2026-08-28T13:52:50.538Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343266889005
[2026-08-28T13:52:50.538Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343266889005
[2026-08-28T13:52:50.538Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343266887005
[2026-08-28T13:52:50.538Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343266887005
[2026-08-28T13:52:51.388Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343327016805
[2026-08-28T13:52:51.388Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343327016805
[2026-08-28T13:52:55.292Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343266889004 with final counter Some(1288)
[2026-08-28T13:52:55.627Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343266890004 with final counter Some(1022)
[2026-08-28T13:52:55.856Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343327013804 with final counter Some(847)
[2026-08-28T13:53:34.489Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-28T13:53:50.261Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343327017804 with final counter Some(1554)
[2026-08-28T13:53:50.508Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343404851504 with final counter Some(848)
[2026-08-28T13:53:50.759Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343404852504 with final counter Some(842)
[2026-08-28T13:53:56.489Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-28T13:54:01.489Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-28T13:54:22.489Z WARN  gresse::replica] replica 178792343327015805 deferred pull request to peer 178792343404854504: channel closed
[2026-08-28T13:54:30.489Z WARN  gresse::replica] replica 178792343327015805 deferred pull request to peer 178792343404853504: channel closed
[2026-08-28T13:54:35.489Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-28T13:54:38.489Z WARN  gresse::replica] replica 178792343327015805 deferred pull request to peer 178792343404855504: channel closed
[2026-08-28T13:54:48.650Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343327017805
[2026-08-28T13:54:48.650Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343327017805
[2026-08-28T13:54:49.023Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404851505
[2026-08-28T13:54:49.023Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404851505
[2026-08-28T13:54:49.965Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404852505
[2026-08-28T13:54:49.965Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404852505
[2026-08-28T13:54:51.155Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404853505
[2026-08-28T13:54:51.155Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404853505
[2026-08-28T13:54:52.255Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404854505
[2026-08-28T13:54:52.255Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404854505
[2026-08-28T13:54:53.369Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343404855505
[2026-08-28T13:54:53.369Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343404855505
[2026-08-28T13:55:07.489Z WARN  gresse::replica] replica 178792343327015805 deferred pull request to peer 178792343327015805: channel closed
[2026-08-28T13:55:50.237Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343513164004 with final counter Some(1553)
[2026-08-28T13:55:50.502Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343513165004 with final counter Some(843)
[2026-08-28T13:55:50.766Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343513166004 with final counter Some(840)
[2026-08-28T13:56:39.489Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-28T13:56:48.820Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513164005
[2026-08-28T13:56:48.820Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513164005
[2026-08-28T13:56:49.020Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343597981005
[2026-08-28T13:56:49.020Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343597981005
[2026-08-28T13:56:49.587Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513165005
[2026-08-28T13:56:49.587Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513165005
[2026-08-28T13:56:50.246Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513166005
[2026-08-28T13:56:50.246Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513166005
[2026-08-28T13:56:51.333Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513167005
[2026-08-28T13:56:51.333Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513167005
[2026-08-28T13:56:52.662Z INFO  gresse::network] replica 178792343327015805 registered bidirectional network channel for replica 178792343513168005
[2026-08-28T13:56:52.662Z INFO  gresse::replica] replica 178792343327015805 established peer replication connection with replica 178792343513168005
[2026-08-28T13:57:14.489Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-28T13:57:16.489Z WARN  gresse::replica] replica 178792343327015805 deferred pull request to peer 178792343597981004: channel closed
[2026-08-28T13:57:28.489Z WARN  gresse::replica] replica 178792343327015805 deferred pull request to peer 178792343513167004: channel closed
[2026-08-28T13:57:50.262Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343597982004 with final counter Some(1284)
[2026-08-28T13:57:50.563Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343597983004 with final counter Some(872)
[2026-08-28T13:57:50.843Z INFO  gresse::replica] replica 178792343327015805 observed shutdown descriptor for replica 178792343597984004 with final counter Some(870)
[2026-08-28T13:57:56.489Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-28T13:57:59.464Z WARN  gresse::replica] replica 178792343327015805 deferred pull request to peer 178792343513168004: channel closed
[2026-08-28T13:58:03.489Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-08-28T13:58:17.489Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
