timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787923444020097,agent_start_received,,,,,1787923488.0,,,,,,,,,
1787923488001872,bootstrap_attempt_started,ireland-slot0-g1,eu-west-1,0,178792343404851501,attempt 1/3,,,,,,,,,
1787923488004362,spawn_requested,ireland-slot0-g1,eu-west-1,0,178792343404851501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/ireland-slot0-g1,,,,,,,,,
1787923488406060,bootstrap_ready,ireland-slot0-g1,eu-west-1,0,178792343404851501,,,,,,,,,,
1787923488406444,bootstrap_attempt_started,ireland-slot1-g1,eu-west-1,1,178792343404852501,attempt 1/3,,,,,,,,,
1787923488408732,spawn_requested,ireland-slot1-g1,eu-west-1,1,178792343404852501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/ireland-slot1-g1,,,,,,,,,
1787923488709987,bootstrap_ready,ireland-slot1-g1,eu-west-1,1,178792343404852501,,,,,,,,,,
1787923488710385,bootstrap_attempt_started,ireland-slot2-g1,eu-west-1,2,178792343404853501,attempt 1/3,,,,,,,,,
1787923488712762,spawn_requested,ireland-slot2-g1,eu-west-1,2,178792343404853501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/ireland-slot2-g1,,,,,,,,,
1787923489014196,bootstrap_ready,ireland-slot2-g1,eu-west-1,2,178792343404853501,,,,,,,,,,
1787923489014576,bootstrap_attempt_started,ireland-slot3-g1,eu-west-1,3,178792343404854501,attempt 1/3,,,,,,,,,
1787923489016921,spawn_requested,ireland-slot3-g1,eu-west-1,3,178792343404854501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/ireland-slot3-g1,,,,,,,,,
1787923489318141,bootstrap_ready,ireland-slot3-g1,eu-west-1,3,178792343404854501,,,,,,,,,,
1787923489318543,bootstrap_attempt_started,ireland-slot4-g1,eu-west-1,4,178792343404855501,attempt 1/3,,,,,,,,,
1787923489321009,spawn_requested,ireland-slot4-g1,eu-west-1,4,178792343404855501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/ireland-slot4-g1,,,,,,,,,
1787923489622249,bootstrap_ready,ireland-slot4-g1,eu-west-1,4,178792343404855501,,,,,,,,,,
1787923519627184,state_snapshot,ireland-slot0-g1,eu-west-1,0,178792343404851501,,200,,,,,,,,
1787923519627862,state_snapshot,ireland-slot1-g1,eu-west-1,1,178792343404852501,,200,,,,,,,,
1787923519628347,state_snapshot,ireland-slot2-g1,eu-west-1,2,178792343404853501,,200,,,,,,,,
1787923519628845,state_snapshot,ireland-slot3-g1,eu-west-1,3,178792343404854501,,200,,,,,,,,
1787923519629188,client_request,ireland-slot0-g1,eu-west-1,0,178792343404851501,,200,5434,Insert,888,True,,,,
1787923519629612,state_snapshot,ireland-slot4-g1,eu-west-1,4,178792343404855501,,200,,,,,,,,
1787923519726659,client_request,ireland-slot1-g1,eu-west-1,1,178792343404852501,,200,2985,Remove,934,True,,,,
1787923519730586,state_snapshot,ireland-slot0-g1,eu-west-1,0,178792343404851501,,200,,,,,,,,
1787923519731132,state_snapshot,ireland-slot1-g1,eu-west-1,1,178792343404852501,,200,,,,,,,,
1787923519731572,state_snapshot,ireland-slot2-g1,eu-west-1,2,178792343404853501,,200,,,,,,,,
1787923519732057,state_snapshot,ireland-slot3-g1,eu-west-1,3,178792343404854501,,200,,,,,,,,
1787923519732491,state_snapshot,ireland-slot4-g1,eu-west-1,4,178792343404855501,,200,,,,,,,,
1787923519826702,client_request,ireland-slot2-g1,eu-west-1,2,178792343404853501,,200,3051,Insert,530,True,,,,
1787923519926581,client_request,ireland-slot3-g1,eu-west-1,3,178792343404854501,,200,2921,Remove,847,True,,,,
1787923520026710,client_request,ireland-slot4-g1,eu-west-1,4,178792343404855501,,200,3051,Insert,890,True,,,,
1787923520128187,client_request,ireland-slot0-g1,eu-west-1,0,178792343404851501,,200,4537,Remove,219,True,,,,
1787923520226796,client_request,ireland-slot1-g1,eu-west-1,1,178792343404852501,,200,3129,Remove,368,True,,,,
1787923520326709,client_request,ireland-slot2-g1,eu-west-1,2,178792343404853501,,200,3036,Remove,769,True,,,,
1787923520426745,client_request,ireland-slot3-g1,eu-west-1,3,178792343404854501,,200,3086,Remove,366,True,,,,
1787923520526687,client_request,ireland-slot4-g1,eu-west-1,4,178792343404855501,,200,3032,Remove,234,True,,,,
1787923520626845,client_request,ireland-slot0-g1,eu-west-1,0,178792343404851501,,200,3159,Remove,229,True,,,,
1787923520726753,client_request,ireland-slot1-g1,eu-west-1,1,178792343404852501,,200,3097,Remove,876,True,,,,
1787923520826673,client_request,ireland-slot2-g1,eu-west-1,2,178792343404853501,,200,2972,Insert,495,True,,,,
1787923520926782,client_request,ireland-slot3-g1,eu-west-1,3,178792343404854501,,200,3102,Remove,674,True,,,,
1787923521026863,client_request,ireland-slot4-g1,eu-west-1,4,178792343404855501,,200,3202,Remove,893,True,,,,
1787923521128489,client_request,ireland-slot0-g1,eu-west-1,0,178792343404851501,,200,4824,Insert,620,True,,,,
1787923521226709,client_request,ireland-slot1-g1,eu-west-1,1,178792343404852501,,200,3029,Insert,457,True,,,,
1787923521327027,client_request,ireland-slot2-g1,eu-west-1,2,178792343404853501,,200,3345,Insert,300,True,,,,
1787923521426704,client_request,ireland-slot3-g1,eu-west-1,3,178792343404854501,,200,3035,Remove,838,True,,,,
1787923521526653,client_request,ireland-slot4-g1,eu-west-1,4,178792343404855501,,200,2989,Insert,669,True,,,,
1787923521627098,client_request,ireland-slot0-g1,eu-west-1,0,178792343404851501,,200,3343,Insert,599,True,,,,
1787923521726762,client_request,ireland-slot1-g1,eu-west-1,1,178792343404852501,,200,3083,Remove,50,True,,,,
1787923521826906,client_request,ireland-slot2-g1,eu-west-1,2,178792343404853501,,200,3235,Insert,425,True,,,,
1787923521926731,client_request,ireland-slot3-g1,eu-west-1,3,178792343404854501,,200,2967,Remove,707,True,,,,
1787923522026586,client_request,ireland-slot4-g1,eu-west-1,4,178792343404855501,,200,2929,Insert,562,True,,,,
1787923522126852,client_request,ireland-slot0-g1,eu-west-1,0,178792343404851501,,200,3192,Insert,348,True,,,,
1787923522226654,client_request,ireland-slot1-g1,eu-west-1,1,178792343404852501,,200,2988,Remove,900,True,,,,
1787923522326517,client_request,ireland-slot2-g1,eu-west-1,2,178792343404853501,,200,2866,Remove,505,True,,,,
1787923522426630,client_request,ireland-slot3-g1,eu-west-1,3,178792343404854501,,200,2966,Insert,962,True,,,,
1787923522526595,client_request,ireland-slot4-g1,eu-west-1,4,178792343404855501,,200,2930,Remove,198,True,,,,
1787923522626657,client_request,ireland-slot0-g1,eu-west-1,0,178792343404851501,,200,2994,Insert,169,True,,,,
1787923522726757,client_request,ireland-slot1-g1,eu-west-1,1,178792343404852501,,200,3102,Insert,249,True,,,,
1787923522826566,client_request,ireland-slot2-g1,eu-west-1,2,178792343404853501,,200,2910,Remove,85,True,,,,
1787923522926721,client_request,ireland-slot3-g1,eu-west-1,3,178792343404854501,,200,3010,Remove,887,True,,,,
