source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787923849426900,178792343404855502,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787923849888490,178792343404855502,,,,,1787923849426937,1787923849888490,,,restored_existing_snapshot,,,,,461553
server,membership_descriptor_write,completed,1787923849595689,178792343404855502,,,,,1787923849427191,1787923849595689,,,"178792343404855502,52.17.146.22:19084,0",,,,,168498
server,membership_directory_read,completed,1787923849711243,178792343404855502,,,,,1787923849595694,1787923849711243,,,init:122 descriptors,,,,,115549
server,replica_init,completed,1787923849896873,178792343404855502,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849898038,178792343404855502,178792343404854502,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849898074,178792343404855502,178792343404851502,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849898095,178792343404855502,178792343404852502,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849898126,178792343404855502,178792343404853502,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849916691,178792343404855502,178792343513164002,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849916713,178792343404855502,178792343513165002,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849916779,178792343404855502,178792343513166002,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849916808,178792343404855502,178792343513167001,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849916952,178792343404855502,178792343513168001,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849931988,178792343404855502,178792343597981001,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849932012,178792343404855502,178792343597982001,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849932019,178792343404855502,178792343597983001,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849932027,178792343404855502,178792343597984001,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849933554,178792343404855502,178792343597985001,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849937133,178792343404855502,178792343327016802,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849937150,178792343404855502,178792343327014802,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849937172,178792343404855502,178792343327017802,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849937181,178792343404855502,178792343327013802,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849937339,178792343404855502,178792343327015802,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849982405,178792343404855502,178792343266887002,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849983059,178792343404855502,178792343266886002,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849983074,178792343404855502,178792343266890002,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849983214,178792343404855502,178792343266888002,,,,,,,,,,,,,
server,peer_replication_connection,established,1787923849983378,178792343404855502,178792343266889002,,,,,,,,,,,,,
server,client_mutation,completed,1787923850026429,178792343404855502,,,,1787923850024204,1787923850024204,1787923850026429,,,http_data_plane,,,,,2225
server,peer_replication_get_delta,completed,1787923850143657,178792343404855502,178792343266890002,5,,1787923850143600,1787923850143604,1787923850143657,,,"delta_len=1,sent_us=1787923850078960",,,,,53
server,client_mutation,completed,1787923850526487,178792343404855502,,,,1787923850524173,1787923850524174,1787923850526487,,,http_data_plane,,,,,2313
server,peer_replication_pull_request,sent,1787923850897490,178792343404855502,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1787923851026497,178792343404855502,,,,1787923851024233,1787923851024234,1787923851026497,,,http_data_plane,,,,,2263
server,peer_replication_merge_delta,completed,1787923851264915,178792343404855502,,5,,1787923851078115,1787923851264153,1787923851264915,,,"delta_len=3133,sent_us=1787923851011984",,,,,762
server,client_mutation,completed,1787923851526270,178792343404855502,,,,1787923851524195,1787923851524196,1787923851526270,,,http_data_plane,,,,,2074
server,peer_replication_pull_request,sent,1787923851898341,178792343404855502,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787923851946053,178792343404855502,,5,,1787923851940179,1787923851946013,1787923851946053,,,"delta_len=56,sent_us=1787923851939610",,,,,40
server,client_mutation,completed,1787923852026335,178792343404855502,,,,1787923852024168,1787923852024169,1787923852026335,,,http_data_plane,,,,,2166
server,peer_replication_get_delta,completed,1787923852409519,178792343404855502,178792343327014802,5,,1787923852409458,1787923852409461,1787923852409519,,,"delta_len=46,sent_us=1787923852379320",,,,,58
server,client_mutation,completed,1787923852526370,178792343404855502,,,,1787923852524174,1787923852524175,1787923852526370,,,http_data_plane,,,,,2195
server,peer_replication_pull_request,sent,1787923852898326,178792343404855502,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1787923852918449,178792343404855502,178792343513167001,5,,1787923852918387,1787923852918390,1787923852918449,,,"delta_len=29,sent_us=1787923852904264",,,,,59
server,peer_replication_merge_delta,completed,1787923852988442,178792343404855502,,5,,1787923852981871,1787923852988382,1787923852988442,,,"delta_len=73,sent_us=1787923852973016",,,,,60
server,client_mutation,completed,1787923853026303,178792343404855502,,,,1787923853024166,1787923853024167,1787923853026303,,,http_data_plane,,,,,2136
server,peer_replication_get_delta,completed,1787923853075235,178792343404855502,178792343513165002,5,,1787923853075175,1787923853075177,1787923853075235,,,"delta_len=40,sent_us=1787923853061290",,,,,58
server,client_mutation,completed,1787923853526316,178792343404855502,,,,1787923853524162,1787923853524163,1787923853526316,,,http_data_plane,,,,,2153
server,peer_replication_get_delta,completed,1787923853666159,178792343404855502,178792343266888002,5,,1787923853666099,1787923853666102,1787923853666159,,,"delta_len=16,sent_us=1787923853601725",,,,,57
server,peer_replication_pull_request,sent,1787923853897702,178792343404855502,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787923853987248,178792343404855502,,5,,1787923853981794,1787923853987205,1787923853987248,,,"delta_len=42,sent_us=1787923853972917",,,,,43
server,peer_replication_get_delta,completed,1787923854001612,178792343404855502,178792343404852502,5,,1787923854001535,1787923854001537,1787923854001612,,,"delta_len=89,sent_us=1787923854001067",,,,,75
server,client_mutation,completed,1787923854026329,178792343404855502,,,,1787923854024156,1787923854024157,1787923854026329,,,http_data_plane,,,,,2172
server,membership_directory_read,completed,1787923854487840,178792343404855502,,,,,1787923854428255,1787923854487840,,,poll:123 descriptors,,,,,59585
server,client_mutation,completed,1787923854526308,178792343404855502,,,,1787923854524212,1787923854524213,1787923854526308,,,http_data_plane,,,,,2095
server,peer_replication_get_delta,completed,1787923854795469,178792343404855502,178792343404851502,5,,1787923854795394,1787923854795406,1787923854795469,,,"delta_len=49,sent_us=1787923854493278",,,,,63
server,peer_replication_pull_request,sent,1787923854897709,178792343404855502,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787923854991092,178792343404855502,,5,,1787923854986471,1787923854991051,1787923854991092,,,"delta_len=34,sent_us=1787923854976233",,,,,41
server,client_mutation,completed,1787923855026439,178792343404855502,,,,1787923855024209,1787923855024210,1787923855026439,,,http_data_plane,,,,,2229
server,client_mutation,completed,1787923855526200,178792343404855502,,,,1787923855524177,1787923855524177,1787923855526200,,,http_data_plane,,,,,2023
server,peer_replication_pull_request,sent,1787923855898080,178792343404855502,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1787923856026686,178792343404855502,,,,1787923856024206,1787923856024206,1787923856026686,,,http_data_plane,,,,,2480
server,peer_replication_merge_delta,completed,1787923856075248,178792343404855502,,5,,1787923856071823,1787923856075230,1787923856075248,,,"delta_len=19,sent_us=1787923855963359",,,,,18
server,peer_replication_get_delta,completed,1787923856144597,178792343404855502,178792343597984001,5,,1787923856144527,1787923856144530,1787923856144597,,,"delta_len=53,sent_us=1787923856118595",,,,,67
server,peer_replication_get_delta,completed,1787923856469105,178792343404855502,178792343327014802,5,,1787923856469041,1787923856469045,1787923856469105,,,"delta_len=31,sent_us=1787923856380207",,,,,60
server,client_mutation,completed,1787923856526313,178792343404855502,,,,1787923856524155,1787923856524156,1787923856526313,,,http_data_plane,,,,,2157
server,peer_replication_get_delta,completed,1787923856808801,178792343404855502,178792343327015802,5,,1787923856808739,1787923856808742,1787923856808801,,,"delta_len=20,sent_us=1787923856778604",,,,,59
server,peer_replication_pull_request,sent,1787923856898143,178792343404855502,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787923856990077,178792343404855502,,5,,1787923856983354,1787923856990014,1787923856990077,,,"delta_len=75,sent_us=1787923856961837",,,,,63
server,client_mutation,completed,1787923857026352,178792343404855502,,,,1787923857024149,1787923857024150,1787923857026352,,,http_data_plane,,,,,2202
server,peer_replication_get_delta,completed,1787923857398224,178792343404855502,178792343327013802,5,,1787923857398145,1787923857398148,1787923857398224,,,"delta_len=55,sent_us=1787923857368286",,,,,76
server,client_mutation,completed,1787923857526323,178792343404855502,,,,1787923857524149,1787923857524150,1787923857526323,,,http_data_plane,,,,,2173
server,peer_replication_get_delta,completed,1787923857539729,178792343404855502,178792343327017802,5,,1787923857539658,1787923857539662,1787923857539729,,,"delta_len=56,sent_us=1787923857509821",,,,,67
server,peer_replication_pull_request,sent,1787923857898412,178792343404855502,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1787923857946571,178792343404855502,,5,,1787923857938858,1787923857946481,1787923857946571,,,"delta_len=96,sent_us=1787923857928563",,,,,90
