timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787923443959169,agent_start_received,,,,,1787923488.0,,,,,,,,,
1787923488001302,bootstrap_attempt_started,london-slot0-g1,eu-west-2,0,178792343513164001,attempt 1/3,,,,,,,,,
1787923488004351,spawn_requested,london-slot0-g1,eu-west-2,0,178792343513164001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/london-slot0-g1,,,,,,,,,
1787923488305952,bootstrap_ready,london-slot0-g1,eu-west-2,0,178792343513164001,,,,,,,,,,
1787923488306375,bootstrap_attempt_started,london-slot1-g1,eu-west-2,1,178792343513165001,attempt 1/3,,,,,,,,,
1787923488309571,spawn_requested,london-slot1-g1,eu-west-2,1,178792343513165001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/london-slot1-g1,,,,,,,,,
1787923488510579,bootstrap_ready,london-slot1-g1,eu-west-2,1,178792343513165001,,,,,,,,,,
1787923488510965,bootstrap_attempt_started,london-slot2-g1,eu-west-2,2,178792343513166001,attempt 1/3,,,,,,,,,
1787923488513560,spawn_requested,london-slot2-g1,eu-west-2,2,178792343513166001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/london-slot2-g1,,,,,,,,,
1787923488714454,bootstrap_ready,london-slot2-g1,eu-west-2,2,178792343513166001,,,,,,,,,,
1787923488714835,bootstrap_attempt_started,london-slot3-g1,eu-west-2,3,178792343513167001,attempt 1/3,,,,,,,,,
1787923488717336,spawn_requested,london-slot3-g1,eu-west-2,3,178792343513167001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/london-slot3-g1,,,,,,,,,
1787923488918299,bootstrap_ready,london-slot3-g1,eu-west-2,3,178792343513167001,,,,,,,,,,
1787923488918764,bootstrap_attempt_started,london-slot4-g1,eu-west-2,4,178792343513168001,attempt 1/3,,,,,,,,,
1787923488921223,spawn_requested,london-slot4-g1,eu-west-2,4,178792343513168001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/london-slot4-g1,,,,,,,,,
1787923489122139,bootstrap_ready,london-slot4-g1,eu-west-2,4,178792343513168001,,,,,,,,,,
1787923519127446,state_snapshot,london-slot0-g1,eu-west-2,0,178792343513164001,,200,,,,,,,,
1787923519128040,state_snapshot,london-slot1-g1,eu-west-2,1,178792343513165001,,200,,,,,,,,
1787923519128566,state_snapshot,london-slot2-g1,eu-west-2,2,178792343513166001,,200,,,,,,,,
1787923519129011,state_snapshot,london-slot3-g1,eu-west-2,3,178792343513167001,,200,,,,,,,,
1787923519129599,state_snapshot,london-slot4-g1,eu-west-2,4,178792343513168001,,200,,,,,,,,
1787923519129656,client_request,london-slot0-g1,eu-west-2,0,178792343513164001,,200,6006,Remove,253,True,,,,
1787923519226996,client_request,london-slot1-g1,eu-west-2,1,178792343513165001,,200,3394,Insert,790,True,,,,
1787923519230617,state_snapshot,london-slot0-g1,eu-west-2,0,178792343513164001,,200,,,,,,,,
1787923519231116,state_snapshot,london-slot1-g1,eu-west-2,1,178792343513165001,,200,,,,,,,,
1787923519231557,state_snapshot,london-slot2-g1,eu-west-2,2,178792343513166001,,200,,,,,,,,
1787923519232162,state_snapshot,london-slot3-g1,eu-west-2,3,178792343513167001,,200,,,,,,,,
1787923519232695,state_snapshot,london-slot4-g1,eu-west-2,4,178792343513168001,,200,,,,,,,,
1787923519326722,client_request,london-slot2-g1,eu-west-2,2,178792343513166001,,200,3113,Insert,539,True,,,,
1787923519426797,client_request,london-slot3-g1,eu-west-2,3,178792343513167001,,200,3199,Insert,363,True,,,,
1787923519527993,client_request,london-slot4-g1,eu-west-2,4,178792343513168001,,200,4400,Remove,344,True,,,,
1787923519627039,client_request,london-slot0-g1,eu-west-2,0,178792343513164001,,200,3261,Remove,242,True,,,,
1787923519726709,client_request,london-slot1-g1,eu-west-2,1,178792343513165001,,200,3115,Insert,540,True,,,,
1787923519826976,client_request,london-slot2-g1,eu-west-2,2,178792343513166001,,200,3372,Remove,367,True,,,,
1787923519926672,client_request,london-slot3-g1,eu-west-2,3,178792343513167001,,200,3079,Insert,643,True,,,,
1787923520026367,client_request,london-slot4-g1,eu-west-2,4,178792343513168001,,200,2690,Insert,376,True,,,,
1787923520126028,client_request,london-slot0-g1,eu-west-2,0,178792343513164001,,200,2458,Remove,568,True,,,,
1787923520226618,client_request,london-slot1-g1,eu-west-2,1,178792343513165001,,200,3025,Remove,848,True,,,,
1787923520326480,client_request,london-slot2-g1,eu-west-2,2,178792343513166001,,200,2889,Insert,964,True,,,,
1787923520426461,client_request,london-slot3-g1,eu-west-2,3,178792343513167001,,200,2898,Insert,216,True,,,,
1787923520526535,client_request,london-slot4-g1,eu-west-2,4,178792343513168001,,200,2926,Insert,368,True,,,,
1787923520626578,client_request,london-slot0-g1,eu-west-2,0,178792343513164001,,200,2987,Insert,614,True,,,,
1787923520726405,client_request,london-slot1-g1,eu-west-2,1,178792343513165001,,200,2813,Remove,817,True,,,,
1787923520826824,client_request,london-slot2-g1,eu-west-2,2,178792343513166001,,200,3184,Remove,318,True,,,,
1787923520927073,client_request,london-slot3-g1,eu-west-2,3,178792343513167001,,200,3248,Remove,131,True,,,,
1787923521027488,client_request,london-slot4-g1,eu-west-2,4,178792343513168001,,200,3688,Remove,501,True,,,,
1787923521126605,client_request,london-slot0-g1,eu-west-2,0,178792343513164001,,200,3015,Remove,957,True,,,,
1787923521226868,client_request,london-slot1-g1,eu-west-2,1,178792343513165001,,200,3172,Remove,794,True,,,,
1787923521326638,client_request,london-slot2-g1,eu-west-2,2,178792343513166001,,200,3032,Insert,124,True,,,,
1787923521426775,client_request,london-slot3-g1,eu-west-2,3,178792343513167001,,200,3152,Remove,889,True,,,,
1787923521526824,client_request,london-slot4-g1,eu-west-2,4,178792343513168001,,200,3210,Insert,8,True,,,,
1787923521626712,client_request,london-slot0-g1,eu-west-2,0,178792343513164001,,200,3108,Remove,989,True,,,,
1787923521727108,client_request,london-slot1-g1,eu-west-2,1,178792343513165001,,200,3504,Remove,850,True,,,,
1787923521827542,client_request,london-slot2-g1,eu-west-2,2,178792343513166001,,200,3935,Insert,496,True,,,,
