[2026-08-28T14:04:51.667Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-28T14:04:51.668Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18083
[2026-08-28T14:04:51.704Z INFO  gresse::replica] replica 178792343513167006 initiating runtime at bind_http=0.0.0.0:18083 bind_internal=0.0.0.0:19083 advertised_internal=3.8.155.72:19083
[2026-08-28T14:04:51.816Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260828124038-be821e, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260828T132329Z-550e9e91/membership/178792343513167006,3.8.155.72:19083,20
[2026-08-28T14:04:52.065Z INFO  gresse::replica] replica 178792343513167006 restored local state from durability journal before startup
[2026-08-28T14:04:52.065Z INFO  gresse::replica] replica 178792343513167006 discovered 394 membership descriptors during init
[2026-08-28T14:04:52.065Z INFO  gresse::replica] replica 178792343513167006 startup completed
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343266886006, address: 16.192.159.169:19080, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343266887006, address: 16.192.159.169:19081, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343266888006, address: 16.192.159.169:19082, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343266889006, address: 16.192.159.169:19083, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343266890006, address: 16.192.159.169:19084, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343327013806, address: 3.121.180.49:19080, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343327014806, address: 3.121.180.49:19081, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343327015806, address: 3.121.180.49:19082, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343327016806, address: 3.121.180.49:19083, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343327017806, address: 3.121.180.49:19084, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343404851506, address: 52.17.146.22:19080, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343404852506, address: 52.17.146.22:19081, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343404853506, address: 52.17.146.22:19082, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343404854506, address: 52.17.146.22:19083, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343404855506, address: 52.17.146.22:19084, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343513164006, address: 3.8.155.72:19080, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343513165006, address: 3.8.155.72:19081, final_counter: None }
[2026-08-28T14:04:52.065Z INFO  gresse::network] replica 178792343513167006 discovered network member NetworkMember { pid: 178792343513166006, address: 3.8.155.72:19082, final_counter: None }
