timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787923444023220,agent_start_received,,,,,1787923488.0,,,,,,,,,
1787923488001626,bootstrap_attempt_started,paris-slot0-g1,eu-west-3,0,178792343597981001,attempt 1/3,,,,,,,,,
1787923488003972,spawn_requested,paris-slot0-g1,eu-west-3,0,178792343597981001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/paris-slot0-g1,,,,,,,,,
1787923488305181,bootstrap_ready,paris-slot0-g1,eu-west-3,0,178792343597981001,,,,,,,,,,
1787923488305548,bootstrap_attempt_started,paris-slot1-g1,eu-west-3,1,178792343597982001,attempt 1/3,,,,,,,,,
1787923488307819,spawn_requested,paris-slot1-g1,eu-west-3,1,178792343597982001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/paris-slot1-g1,,,,,,,,,
1787923488608970,bootstrap_ready,paris-slot1-g1,eu-west-3,1,178792343597982001,,,,,,,,,,
1787923488609350,bootstrap_attempt_started,paris-slot2-g1,eu-west-3,2,178792343597983001,attempt 1/3,,,,,,,,,
1787923488611547,spawn_requested,paris-slot2-g1,eu-west-3,2,178792343597983001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/paris-slot2-g1,,,,,,,,,
1787923488912932,bootstrap_ready,paris-slot2-g1,eu-west-3,2,178792343597983001,,,,,,,,,,
1787923488913471,bootstrap_attempt_started,paris-slot3-g1,eu-west-3,3,178792343597984001,attempt 1/3,,,,,,,,,
1787923488915813,spawn_requested,paris-slot3-g1,eu-west-3,3,178792343597984001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/paris-slot3-g1,,,,,,,,,
1787923489217011,bootstrap_ready,paris-slot3-g1,eu-west-3,3,178792343597984001,,,,,,,,,,
1787923489217403,bootstrap_attempt_started,paris-slot4-g1,eu-west-3,4,178792343597985001,attempt 1/3,,,,,,,,,
1787923489219624,spawn_requested,paris-slot4-g1,eu-west-3,4,178792343597985001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/paris-slot4-g1,,,,,,,,,
1787923489520847,bootstrap_ready,paris-slot4-g1,eu-west-3,4,178792343597985001,,,,,,,,,,
1787923519525560,state_snapshot,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,,,,,,,,
1787923519526439,state_snapshot,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,,,,,,,,
1787923519526920,state_snapshot,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,,,,,,,,
1787923519527364,state_snapshot,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,,,,,,,,
1787923519527849,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,5553,Insert,653,True,,,,
1787923519528068,state_snapshot,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,,,,,,,,
1787923519625253,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,3035,Insert,960,True,,,,
1787923519628957,state_snapshot,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,,,,,,,,
1787923519629442,state_snapshot,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,,,,,,,,
1787923519629897,state_snapshot,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,,,,,,,,
1787923519630312,state_snapshot,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,,,,,,,,
1787923519630724,state_snapshot,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,,,,,,,,
1787923519725196,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,2993,Remove,983,True,,,,
1787923519825259,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,3088,Remove,746,True,,,,
1787923519925139,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2947,Insert,485,True,,,,
1787923520025195,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2999,Insert,182,True,,,,
1787923520125036,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2857,Insert,598,True,,,,
1787923520225377,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,3158,Insert,42,True,,,,
1787923520325068,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2889,Remove,327,True,,,,
1787923520425137,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2937,Remove,611,True,,,,
1787923520525238,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,3025,Remove,531,True,,,,
1787923520625343,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,3139,Insert,596,True,,,,
1787923520725434,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,3114,Insert,337,True,,,,
1787923520825564,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,3331,Remove,426,True,,,,
1787923520925103,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2886,Insert,729,True,,,,
1787923521025077,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2861,Remove,823,True,,,,
1787923521125101,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2916,Remove,294,True,,,,
1787923521225496,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,3322,Insert,833,True,,,,
1787923521325203,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2972,Insert,42,True,,,,
1787923521425064,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2872,Remove,356,True,,,,
1787923521525057,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2875,Remove,257,True,,,,
1787923521625147,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2937,Insert,202,True,,,,
1787923521725088,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,2880,Insert,386,True,,,,
1787923521825058,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2856,Insert,936,True,,,,
1787923521925103,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2888,Insert,69,True,,,,
1787923522025079,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2859,Remove,194,True,,,,
1787923522124996,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2805,Insert,27,True,,,,
1787923522225102,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,2895,Remove,4,True,,,,
1787923522325027,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2812,Remove,867,True,,,,
1787923522425182,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2974,Insert,907,True,,,,
1787923522526063,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,3832,Insert,738,True,,,,
1787923522625155,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2947,Remove,145,True,,,,
1787923522725417,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,3233,Remove,633,True,,,,
1787923522825069,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2870,Remove,284,True,,,,
1787923522925145,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2927,Remove,570,True,,,,
1787923523025084,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2872,Insert,135,True,,,,
1787923523124966,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2775,Remove,973,True,,,,
1787923523224955,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,2753,Remove,500,True,,,,
1787923523325204,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2979,Remove,608,True,,,,
1787923523425222,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2988,Remove,997,True,,,,
1787923523525167,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2974,Insert,799,True,,,,
1787923523625188,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,3005,Remove,342,True,,,,
1787923523725277,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,3064,Insert,382,True,,,,
1787923523825068,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2873,Remove,433,True,,,,
1787923523925009,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2814,Insert,353,True,,,,
1787923524025185,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2968,Insert,586,True,,,,
1787923524125246,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,3063,Insert,674,True,,,,
1787923524225216,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,2945,Insert,95,True,,,,
1787923524325249,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,3043,Insert,301,True,,,,
1787923524425207,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,3005,Remove,651,True,,,,
1787923524525245,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,3057,Insert,742,True,,,,
1787923524625143,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2949,Insert,691,True,,,,
1787923524725765,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,3545,Insert,958,True,,,,
1787923524825088,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2911,Insert,217,True,,,,
1787923524924938,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2738,Remove,348,True,,,,
1787923525025142,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2921,Insert,910,True,,,,
1787923525125048,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2860,Remove,290,True,,,,
1787923525224919,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,2713,Remove,298,True,,,,
1787923525325085,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2891,Remove,247,True,,,,
1787923525425197,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,3005,Remove,419,True,,,,
1787923525524948,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2770,Insert,723,True,,,,
1787923525625228,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,3005,Remove,711,True,,,,
1787923525725043,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,2825,Insert,169,True,,,,
1787923525825082,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2875,Remove,663,True,,,,
1787923525925037,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2842,Remove,564,True,,,,
1787923526025196,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2972,Remove,142,True,,,,
1787923526125076,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2880,Remove,671,True,,,,
1787923526224971,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,2748,Remove,664,True,,,,
1787923526325082,client_request,paris-slot3-g1,eu-west-3,3,178792343597984001,,200,2868,Remove,173,True,,,,
1787923526424985,client_request,paris-slot4-g1,eu-west-3,4,178792343597985001,,200,2783,Remove,257,True,,,,
1787923526525059,client_request,paris-slot0-g1,eu-west-3,0,178792343597981001,,200,2860,Remove,277,True,,,,
1787923526625151,client_request,paris-slot1-g1,eu-west-3,1,178792343597982001,,200,2943,Insert,533,True,,,,
1787923526725119,client_request,paris-slot2-g1,eu-west-3,2,178792343597983001,,200,2912,Remove,710,True,,,,
