[2026-08-28T14:06:48.063Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-28T14:06:48.064Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18080
[2026-08-28T14:06:48.091Z INFO  gresse::replica] replica 178792343597981006 initiating runtime at bind_http=0.0.0.0:18080 bind_internal=0.0.0.0:19080 advertised_internal=13.37.225.238:19080
[2026-08-28T14:06:48.225Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260828124038-be821e, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260828T132329Z-550e9e91/membership/178792343597981006,13.37.225.238:19080,0
[2026-08-28T14:06:48.926Z INFO  gresse::replica] replica 178792343597981006 discovered 411 membership descriptors during init
[2026-08-28T14:06:48.926Z INFO  gresse::replica] replica 178792343597981006 startup completed
[2026-08-28T14:06:48.926Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343266886006, address: 16.192.159.169:19080, final_counter: None }
[2026-08-28T14:06:48.926Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343266887006, address: 16.192.159.169:19081, final_counter: None }
[2026-08-28T14:06:48.926Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343266888006, address: 16.192.159.169:19082, final_counter: None }
[2026-08-28T14:06:48.926Z INFO  gresse::network] replica 178792343597981006 registered bidirectional network channel for replica 178792343266889006
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343266890006, address: 16.192.159.169:19084, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343327013806, address: 3.121.180.49:19080, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343327014806, address: 3.121.180.49:19081, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343327015806, address: 3.121.180.49:19082, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343327016806, address: 3.121.180.49:19083, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343327017806, address: 3.121.180.49:19084, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343404851506, address: 52.17.146.22:19080, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343404852506, address: 52.17.146.22:19081, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343404853506, address: 52.17.146.22:19082, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343404854506, address: 52.17.146.22:19083, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343404855506, address: 52.17.146.22:19084, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343513164006, address: 3.8.155.72:19080, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343513165006, address: 3.8.155.72:19081, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343513166006, address: 3.8.155.72:19082, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::replica] replica 178792343597981006 established peer replication connection with replica 178792343266889006
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343513167006, address: 3.8.155.72:19083, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343513168006, address: 3.8.155.72:19084, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343597984005, address: 13.37.225.238:19083, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 discovered network member NetworkMember { pid: 178792343597985005, address: 13.37.225.238:19084, final_counter: None }
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 registered bidirectional network channel for replica 178792343327013806
[2026-08-28T14:06:48.927Z INFO  gresse::network] replica 178792343597981006 registered bidirectional network channel for replica 178792343327017806
[2026-08-28T14:06:48.927Z INFO  gresse::replica] replica 178792343597981006 established peer replication connection with replica 178792343327013806
[2026-08-28T14:06:48.927Z INFO  gresse::replica] replica 178792343597981006 established peer replication connection with replica 178792343327017806
[2026-08-28T14:06:48.927Z WARN  gresse::network] replica 178792343597981006 peer connection attempt failed: could not connect to 13.37.225.238:19084: Connection refused (os error 111)
[2026-08-28T14:06:48.927Z WARN  gresse::network] replica 178792343597981006 peer connection attempt failed: could not connect to 13.37.225.238:19083: Connection refused (os error 111)
[2026-08-28T14:06:48.941Z INFO  gresse::network] replica 178792343597981006 registered bidirectional network channel for replica 178792343513164006
[2026-08-28T14:06:48.941Z INFO  gresse::replica] replica 178792343597981006 established peer replication connection with replica 178792343513164006
[2026-08-28T14:06:48.941Z INFO  gresse::network] replica 178792343597981006 registered bidirectional network channel for replica 178792343513167006
[2026-08-28T14:06:48.941Z INFO  gresse::replica] replica 178792343597981006 established peer replication connection with replica 178792343513167006
[2026-08-28T14:06:48.941Z INFO  gresse::replica] replica 178792343597981006 established peer replication connection with replica 178792343513165006
[2026-08-28T14:06:48.941Z INFO  gresse::network] replica 178792343597981006 registered bidirectional network channel for replica 178792343513165006
[2026-08-28T14:06:48.942Z INFO  gresse::network] replica 178792343597981006 registered bidirectional network channel for replica 178792343327014806
[2026-08-28T14:06:48.942Z INFO  gresse::replica] replica 178792343597981006 established peer replication connection with replica 178792343327014806
[2026-08-28T14:06:48.943Z INFO  gresse::network] replica 178792343597981006 registered bidirectional network channel for replica 178792343327015806
[2026-08-28T14:06:48.943Z INFO  gresse::replica] replica 178792343597981006 established peer replication connection with replica 178792343327015806
