source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787925528842786,178792343597983005,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1787925529608709,178792343597983005,,,,,1787925528842813,1787925529608709,,,restored_existing_snapshot,,,,,765896
server,membership_descriptor_write,completed,1787925528969917,178792343597983005,,,,,1787925528843015,1787925528969917,,,"178792343597983005,13.37.225.238:19082,0",,,,,126902
server,membership_directory_read,completed,1787925529103085,178792343597983005,,,,,1787925528969922,1787925529103085,,,init:335 descriptors,,,,,133163
server,replica_init,completed,1787925529638246,178792343597983005,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529638608,178792343597983005,178792343327014805,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529638629,178792343597983005,178792343404852505,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1787925529639300,178792343597983005,,,,,,,,,connected_peers=2,,,,,
server,peer_replication_connection,established,1787925529639343,178792343597983005,178792343597981005,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529639379,178792343597983005,178792343597982005,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529652597,178792343597983005,178792343513164005,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529652620,178792343597983005,178792343513165005,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529652814,178792343597983005,178792343513166005,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529654154,178792343597983005,178792343327013805,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529654238,178792343597983005,178792343327015805,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529654548,178792343597983005,178792343327017805,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529654559,178792343597983005,178792343513168005,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529654617,178792343597983005,178792343513167005,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529654629,178792343597983005,178792343327016805,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529672983,178792343597983005,178792343404855505,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529673205,178792343597983005,178792343404854505,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529673379,178792343597983005,178792343404853505,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529673625,178792343597983005,178792343404851505,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529700854,178792343597983005,178792343266889005,,,,,,,,,,,,,
server,peer_replication_connection,established,1787925529700876,178792343597983005,178792343266890005,,,,,,,,,,,,,
