timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787923443857638,agent_start_received,,,,,1787923488.0,,,,,,,,,
1787923488001785,bootstrap_attempt_started,stockholm-slot0-g1,eu-north-1,0,178792343266886001,attempt 1/3,,,,,,,,,
1787923488007030,spawn_requested,stockholm-slot0-g1,eu-north-1,0,178792343266886001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/stockholm-slot0-g1,,,,,,,,,
1787923488208428,bootstrap_ready,stockholm-slot0-g1,eu-north-1,0,178792343266886001,,,,,,,,,,
1787923488208804,bootstrap_attempt_started,stockholm-slot1-g1,eu-north-1,1,178792343266887001,attempt 1/3,,,,,,,,,
1787923488212184,spawn_requested,stockholm-slot1-g1,eu-north-1,1,178792343266887001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/stockholm-slot1-g1,,,,,,,,,
1787923488417970,bootstrap_ready,stockholm-slot1-g1,eu-north-1,1,178792343266887001,,,,,,,,,,
1787923488418455,bootstrap_attempt_started,stockholm-slot2-g1,eu-north-1,2,178792343266888001,attempt 1/3,,,,,,,,,
1787923488427373,spawn_requested,stockholm-slot2-g1,eu-north-1,2,178792343266888001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/stockholm-slot2-g1,,,,,,,,,
1787923488628983,bootstrap_ready,stockholm-slot2-g1,eu-north-1,2,178792343266888001,,,,,,,,,,
1787923488629589,bootstrap_attempt_started,stockholm-slot3-g1,eu-north-1,3,178792343266889001,attempt 1/3,,,,,,,,,
1787923488636054,spawn_requested,stockholm-slot3-g1,eu-north-1,3,178792343266889001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/stockholm-slot3-g1,,,,,,,,,
1787923488838992,bootstrap_ready,stockholm-slot3-g1,eu-north-1,3,178792343266889001,,,,,,,,,,
1787923488842171,bootstrap_attempt_started,stockholm-slot4-g1,eu-north-1,4,178792343266890001,attempt 1/3,,,,,,,,,
1787923488850596,spawn_requested,stockholm-slot4-g1,eu-north-1,4,178792343266890001,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260828T132329Z-550e9e91/stockholm-slot4-g1,,,,,,,,,
1787923489052458,bootstrap_ready,stockholm-slot4-g1,eu-north-1,4,178792343266890001,,,,,,,,,,
1787923519065994,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178792343266886001,,200,,,,,,,,
1787923519066984,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178792343266887001,,200,,,,,,,,
