[2026-08-28T14:00:48.102Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-28T14:00:48.103Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18082
[2026-08-28T14:00:48.140Z INFO  gresse::replica] replica 178792343266888006 initiating runtime at bind_http=0.0.0.0:18082 bind_internal=0.0.0.0:19082 advertised_internal=16.192.159.169:19082
[2026-08-28T14:00:48.187Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260828124038-be821e, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260828T132329Z-550e9e91/membership/178792343266888006,16.192.159.169:19082,0
[2026-08-28T14:00:48.498Z INFO  gresse::replica] replica 178792343266888006 discovered 357 membership descriptors during init
[2026-08-28T14:00:48.498Z INFO  gresse::replica] replica 178792343266888006 startup completed
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343266886006, address: 16.192.159.169:19080, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343266887006, address: 16.192.159.169:19081, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343327013805, address: 3.121.180.49:19080, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343327014805, address: 3.121.180.49:19081, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343327015805, address: 3.121.180.49:19082, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343327016805, address: 3.121.180.49:19083, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343327017805, address: 3.121.180.49:19084, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343404851505, address: 52.17.146.22:19080, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343404852505, address: 52.17.146.22:19081, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343404853505, address: 52.17.146.22:19082, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343404854505, address: 52.17.146.22:19083, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343404855505, address: 52.17.146.22:19084, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343513164005, address: 3.8.155.72:19080, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343513165005, address: 3.8.155.72:19081, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343513166005, address: 3.8.155.72:19082, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343513167005, address: 3.8.155.72:19083, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343513168005, address: 3.8.155.72:19084, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343597981005, address: 13.37.225.238:19080, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343597982005, address: 13.37.225.238:19081, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343597983005, address: 13.37.225.238:19082, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343597984005, address: 13.37.225.238:19083, final_counter: None }
[2026-08-28T14:00:48.498Z INFO  gresse::network] replica 178792343266888006 discovered network member NetworkMember { pid: 178792343597985005, address: 13.37.225.238:19084, final_counter: None }
[2026-08-28T14:00:48.499Z INFO  gresse::network] replica 178792343266888006 registered bidirectional network channel for replica 178792343266887006
[2026-08-28T14:00:48.499Z INFO  gresse::replica] replica 178792343266888006 established peer replication connection with replica 178792343266887006
[2026-08-28T14:00:48.499Z INFO  gresse::network] replica 178792343266888006 registered bidirectional network channel for replica 178792343266886006
[2026-08-28T14:00:48.499Z INFO  gresse::replica] replica 178792343266888006 established peer replication connection with replica 178792343266886006
[2026-08-28T14:00:48.522Z WARN  gresse::network] replica 178792343266888006 peer connection attempt failed: could not connect to 3.121.180.49:19081: Connection refused (os error 111)
[2026-08-28T14:00:48.522Z WARN  gresse::network] replica 178792343266888006 peer connection attempt failed: could not connect to 3.121.180.49:19080: Connection refused (os error 111)
[2026-08-28T14:00:48.525Z WARN  gresse::network] replica 178792343266888006 peer connection attempt failed: could not connect to 3.121.180.49:19082: Connection refused (os error 111)
[2026-08-28T14:00:48.547Z INFO  gresse::network] replica 178792343266888006 registered bidirectional network channel for replica 178792343327016805
[2026-08-28T14:00:48.547Z INFO  gresse::replica] replica 178792343266888006 established peer replication connection with replica 178792343327016805
[2026-08-28T14:00:48.548Z INFO  gresse::network] replica 178792343266888006 registered bidirectional network channel for replica 178792343327017805
[2026-08-28T14:00:48.548Z INFO  gresse::replica] replica 178792343266888006 established peer replication connection with replica 178792343327017805
[2026-08-28T14:00:48.554Z INFO  gresse::network] replica 178792343266888006 registered bidirectional network channel for replica 178792343513165005
[2026-08-28T14:00:48.554Z INFO  gresse::replica] replica 178792343266888006 established peer replication connection with replica 178792343513165005
[2026-08-28T14:00:48.554Z INFO  gresse::network] replica 178792343266888006 registered bidirectional network channel for replica 178792343513164005
