source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1787926612304069,178792343266889008,,,,,,,,,,,,,,
server,recovered_membership_cleanup,completed,1787926612514921,178792343266889008,178792343266889007,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1787926612373676,178792343266889008,,,,,1787926612304103,1787926612373676,,,"178792343266889008,16.192.159.169:19083,26",,,,,69573
server,membership_directory_read,completed,1787926612444023,178792343266889008,,,,,1787926612373680,1787926612444023,,,init:476 descriptors,,,,,70343
server,persistent_state_fetch,completed,1787926612514979,178792343266889008,,,,,,,,,recovered_from_durability_journal,,,,,
server,replica_init,completed,1787926612514984,178792343266889008,,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612515811,178792343266889008,178792343266889008,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612515921,178792343266889008,178792343266888008,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612516172,178792343266889008,178792343266887008,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612516210,178792343266889008,178792343266886008,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612563176,178792343266889008,178792343327016807,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612563240,178792343266889008,178792343327014807,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612563293,178792343266889008,178792343327015807,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612563348,178792343266889008,178792343327013808,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612563420,178792343266889008,178792343327017807,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612570815,178792343266889008,178792343513167007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612570878,178792343266889008,178792343513164007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612570938,178792343266889008,178792343513165007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612573891,178792343266889008,178792343513166007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612576539,178792343266889008,178792343513168007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612577935,178792343266889008,178792343597983007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612577995,178792343266889008,178792343597985007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612578043,178792343266889008,178792343597982007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612578108,178792343266889008,178792343597981007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612578134,178792343266889008,178792343597984007,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612600422,178792343266889008,178792343404854507,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612600448,178792343266889008,178792343404852507,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612600456,178792343266889008,178792343404853507,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612600465,178792343266889008,178792343404851507,,,,,,,,,,,,,
server,peer_replication_connection,established,1787926612600472,178792343266889008,178792343404855507,,,,,,,,,,,,,
server,client_mutation,completed,1787926612861020,178792343266889008,,,,1787926612858508,1787926612858509,1787926612861020,,,http_data_plane,,,,,2511
server,peer_replication_get_delta,completed,1787926612982828,178792343266889008,178792343513168007,26,,1787926612982512,1787926612982519,1787926612982828,,,"delta_len=1,sent_us=1787926612936387",,,,,309
server,client_mutation,completed,1787926613260174,178792343266889008,,,,1787926613259232,1787926613259233,1787926613260174,,,http_data_plane,,,,,941
server,peer_replication_pull_request,sent,1787926613515967,178792343266889008,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1787926613661667,178792343266889008,,,,1787926613660828,1787926613660829,1787926613661667,,,http_data_plane,,,,,838
server,peer_replication_merge_delta,completed,1787926614041039,178792343266889008,,26,,1787926613687205,1787926614024874,1787926614041039,,,"delta_len=2633,sent_us=1787926613552419",,,,,16165
server,peer_replication_get_delta,completed,1787926614041393,178792343266889008,178792343513166007,26,,1787926614041092,1787926614041099,1787926614041393,,,"delta_len=62,sent_us=1787926613732162",,,,,294
server,client_mutation,completed,1787926614065686,178792343266889008,,,,1787926614060466,1787926614060466,1787926614065686,,,http_data_plane,,,,,5220
server,client_mutation,completed,1787926614462042,178792343266889008,,,,1787926614461086,1787926614461087,1787926614462042,,,http_data_plane,,,,,955
server,peer_replication_pull_request,sent,1787926614516718,178792343266889008,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_connection,established,1787926614570165,178792343266889008,178792343266890008,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1787926614622425,178792343266889008,,26,,1787926614605907,1787926614622291,1787926614622425,,,"delta_len=99,sent_us=1787926614559618",,,,,134
server,client_mutation,completed,1787926614869189,178792343266889008,,,,1787926614868280,1787926614868281,1787926614869189,,,http_data_plane,,,,,908
server,peer_replication_get_delta,completed,1787926615330344,178792343266889008,178792343597982007,26,,1787926615330031,1787926615330035,1787926615330344,,,"delta_len=64,sent_us=1787926615283352",,,,,309
server,client_mutation,completed,1787926615360953,178792343266889008,,,,1787926615359828,1787926615359829,1787926615360953,,,http_data_plane,,,,,1124
server,peer_replication_pull_request,sent,1787926615516334,178792343266889008,,,,,,,,,connected_peers=25,,,,,
server,client_mutation,completed,1787926615859590,178792343266889008,,,,1787926615858629,1787926615858630,1787926615859590,,,http_data_plane,,,,,960
server,client_mutation,completed,1787926616366761,178792343266889008,,,,1787926616365898,1787926616365899,1787926616366761,,,http_data_plane,,,,,862
server,peer_replication_pull_request,sent,1787926616516729,178792343266889008,,,,,,,,,connected_peers=25,,,,,
server,peer_replication_merge_delta,completed,1787926616536254,178792343266889008,,26,,1787926616519108,1787926616536201,1787926616536254,,,"delta_len=36,sent_us=1787926616518003",,,,,53
server,client_mutation,completed,1787926616866100,178792343266889008,,,,1787926616864210,1787926616864211,1787926616866100,,,http_data_plane,,,,,1889
server,peer_replication_merge_delta,completed,1787926617181817,178792343266889008,,26,,1787926617177882,1787926617181786,1787926617181817,,,"delta_len=20,sent_us=1787926617176363",,,,,31
server,peer_replication_get_delta,completed,1787926617182239,178792343266889008,178792343266886008,26,,1787926617181868,1787926617181876,1787926617182239,,,"delta_len=175,sent_us=1787926617176432",,,,,363
server,client_mutation,completed,1787926617361788,178792343266889008,,,,1787926617359713,1787926617359714,1787926617361788,,,http_data_plane,,,,,2074
server,membership_directory_read,completed,1787926617376756,178792343266889008,,,,,1787926617286770,1787926617376756,,,poll:468 descriptors,,,,,89986
server,client_mutation,completed,1787926617859469,178792343266889008,,,,1787926617858269,1787926617858270,1787926617859469,,,http_data_plane,,,,,1199
server,client_mutation,completed,1787926618365703,178792343266889008,,,,1787926618358564,1787926618358565,1787926618365703,,,http_data_plane,,,,,7138
server,client_mutation,completed,1787926618860626,178792343266889008,,,,1787926618858342,1787926618858343,1787926618860626,,,http_data_plane,,,,,2283
server,peer_replication_get_delta,completed,1787926619120949,178792343266889008,178792343597984007,26,,1787926619120625,1787926619120635,1787926619120949,,,"delta_len=48,sent_us=1787926618202810",,,,,314
server,peer_replication_pull_request,sent,1787926619121000,178792343266889008,,,,,,,,,connected_peers=25,,,,,
server,peer_replication_pull_request,sent,1787926619121010,178792343266889008,,,,,,,,,connected_peers=25,,,,,
server,peer_replication_merge_delta,completed,1787926619143404,178792343266889008,,26,,1787926619123779,1787926619143239,1787926619143404,,,"delta_len=117,sent_us=1787926619122227",,,,,165
server,peer_replication_merge_delta,completed,1787926619218150,178792343266889008,,26,,1787926619205482,1787926619218105,1787926619218150,,,"delta_len=125,sent_us=1787926619162204",,,,,45
server,peer_replication_get_delta,completed,1787926619280268,178792343266889008,178792343404852507,26,,1787926619279692,1787926619279699,1787926619280268,,,"delta_len=51,sent_us=1787926619212588",,,,,569
server,peer_replication_get_delta,completed,1787926619333302,178792343266889008,178792343597982007,26,,1787926619331893,1787926619331901,1787926619333302,,,"delta_len=125,sent_us=1787926619283003",,,,,1401
server,client_mutation,completed,1787926619363394,178792343266889008,,,,1787926619360731,1787926619360732,1787926619363394,,,http_data_plane,,,,,2662
server,peer_replication_pull_request,sent,1787926619516046,178792343266889008,,,,,,,,,connected_peers=25,,,,,
