timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788253644227402,ssh_command,,,,,"stockholm: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi; tagged=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then tagged=1; pid=${proc##*/}; kill -TERM ""$pid"" 2>/dev/null || true; fi; done; [ ""$tagged"" -eq 1 ] && sleep 20; remaining=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then remaining=1; pid=${proc##*/}; kill -KILL ""$pid"" 2>/dev/null || true; fi; done; sleep 1; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then echo ""tagged process survived cleanup: ${proc##*/}"" >&2; exit 1; fi; done",,,,,,,,,
1788253645850195,stale_process_cleanup_requested,,,,,stockholm,,,,,,,,,
1788253645850468,ssh_command,,,,,"frankfurt: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi; tagged=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then tagged=1; pid=${proc##*/}; kill -TERM ""$pid"" 2>/dev/null || true; fi; done; [ ""$tagged"" -eq 1 ] && sleep 20; remaining=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then remaining=1; pid=${proc##*/}; kill -KILL ""$pid"" 2>/dev/null || true; fi; done; sleep 1; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then echo ""tagged process survived cleanup: ${proc##*/}"" >&2; exit 1; fi; done",,,,,,,,,
1788253647621464,stale_process_cleanup_requested,,,,,frankfurt,,,,,,,,,
1788253647621733,ssh_command,,,,,"ireland: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi; tagged=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then tagged=1; pid=${proc##*/}; kill -TERM ""$pid"" 2>/dev/null || true; fi; done; [ ""$tagged"" -eq 1 ] && sleep 20; remaining=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then remaining=1; pid=${proc##*/}; kill -KILL ""$pid"" 2>/dev/null || true; fi; done; sleep 1; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then echo ""tagged process survived cleanup: ${proc##*/}"" >&2; exit 1; fi; done",,,,,,,,,
1788253649534871,stale_process_cleanup_requested,,,,,ireland,,,,,,,,,
1788253649535154,ssh_command,,,,,"london: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi; tagged=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then tagged=1; pid=${proc##*/}; kill -TERM ""$pid"" 2>/dev/null || true; fi; done; [ ""$tagged"" -eq 1 ] && sleep 20; remaining=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then remaining=1; pid=${proc##*/}; kill -KILL ""$pid"" 2>/dev/null || true; fi; done; sleep 1; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then echo ""tagged process survived cleanup: ${proc##*/}"" >&2; exit 1; fi; done",,,,,,,,,
1788253651380495,stale_process_cleanup_requested,,,,,london,,,,,,,,,
1788253651380774,ssh_command,,,,,"paris: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi; tagged=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then tagged=1; pid=${proc##*/}; kill -TERM ""$pid"" 2>/dev/null || true; fi; done; [ ""$tagged"" -eq 1 ] && sleep 20; remaining=0; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then remaining=1; pid=${proc##*/}; kill -KILL ""$pid"" 2>/dev/null || true; fi; done; sleep 1; for proc in /proc/[0-9]*; do env_file=""$proc/environ""; [ -r ""$env_file"" ] || continue; if tr '\000' '\n' < ""$env_file"" 2>/dev/null | grep -Eq '^(GRESSE_EXPERIMENT_TAG=geo-churn$|GRESSE_RESULT_DIR_PATH=.*/acm-sec-geo-churn-smoke-)'; then echo ""tagged process survived cleanup: ${proc##*/}"" >&2; exit 1; fi; done",,,,,,,,,
1788253653225987,stale_process_cleanup_requested,,,,,paris,,,,,,,,,
