timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788253676720957,agent_start_received,,,,,1788253721.0,,,,,,,,,
1788253721000888,bootstrap_attempt_started,frankfurt-slot0-g1,eu-central-1,0,178825366664486801,attempt 1/3,,,,,,,,,
1788253721003225,spawn_requested,frankfurt-slot0-g1,eu-central-1,0,178825366664486801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/frankfurt-slot0-g1,,,,,,,,,
1788253721305349,bootstrap_ready,frankfurt-slot0-g1,eu-central-1,0,178825366664486801,,,,,,,,,,
1788253721306079,bootstrap_attempt_started,frankfurt-slot1-g1,eu-central-1,1,178825366664487801,attempt 1/3,,,,,,,,,
1788253721310245,spawn_requested,frankfurt-slot1-g1,eu-central-1,1,178825366664487801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/frankfurt-slot1-g1,,,,,,,,,
1788253721511183,bootstrap_ready,frankfurt-slot1-g1,eu-central-1,1,178825366664487801,,,,,,,,,,
1788253721511639,bootstrap_attempt_started,frankfurt-slot2-g1,eu-central-1,2,178825366664488801,attempt 1/3,,,,,,,,,
1788253721513984,spawn_requested,frankfurt-slot2-g1,eu-central-1,2,178825366664488801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/frankfurt-slot2-g1,,,,,,,,,
1788253721714917,bootstrap_ready,frankfurt-slot2-g1,eu-central-1,2,178825366664488801,,,,,,,,,,
1788253721715307,bootstrap_attempt_started,frankfurt-slot3-g1,eu-central-1,3,178825366664489801,attempt 1/3,,,,,,,,,
1788253721718072,spawn_requested,frankfurt-slot3-g1,eu-central-1,3,178825366664489801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/frankfurt-slot3-g1,,,,,,,,,
1788253721919079,bootstrap_ready,frankfurt-slot3-g1,eu-central-1,3,178825366664489801,,,,,,,,,,
1788253721919582,bootstrap_attempt_started,frankfurt-slot4-g1,eu-central-1,4,178825366664490801,attempt 1/3,,,,,,,,,
