source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788253901135321,178825366664487802,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788253901267709,178825366664487802,,,,,1788253901135357,1788253901267709,,,restored_existing_snapshot,,,,,132352
server,membership_descriptor_write,completed,1788253901250174,178825366664487802,,,,,1788253901135769,1788253901250174,,,"178825366664487802,3.68.220.182:19081,0",,,,,114405
server,membership_directory_read,completed,1788253901289224,178825366664487802,,,,,1788253901250179,1788253901289224,,,init:29 descriptors,,,,,39045
server,replica_init,completed,1788253901293338,178825366664487802,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901293736,178825366664487802,178825366619921101,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1788253901293803,178825366664487802,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_connection,established,1788253901294481,178825366664487802,178825366664488801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901294536,178825366664487802,178825366664486801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901294594,178825366664487802,178825366664489801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901294841,178825366664487802,178825366664490801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901297033,178825366664487802,178825366848207801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901310156,178825366664487802,178825366935159501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901310180,178825366664487802,178825366935158501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901310528,178825366664487802,178825366935156501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901310543,178825366664487802,178825366935160501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901310584,178825366664487802,178825366935157501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901316576,178825366664487802,178825366848206801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901316601,178825366664487802,178825366848208801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901318401,178825366664487802,178825366848209802,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901318473,178825366664487802,178825366848210801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901338362,178825366664487802,178825366738134701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901338465,178825366664487802,178825366738135701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901338477,178825366664487802,178825366738132701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901338484,178825366664487802,178825366738133702,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901338491,178825366664487802,178825366738131701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901341877,178825366664487802,178825366619924101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901341934,178825366664487802,178825366619923101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901342042,178825366664487802,178825366619922101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253901342055,178825366664487802,178825366619920102,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1788253901429225,178825366664487802,,1,,1788253901389169,1788253901429052,1788253901429225,,,"delta_len=592,sent_us=1788253901328882",,,,,173
server,peer_replication_pull_request,sent,1788253902294403,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253902366350,178825366664487802,,1,,1788253902362898,1788253902366337,1788253902366350,,,"delta_len=8,sent_us=1788253902350201",,,,,13
server,client_mutation,completed,1788253903128498,178825366664487802,,,,1788253903126362,1788253903126363,1788253903128498,,,http_data_plane,,,,,2135
server,peer_replication_pull_request,sent,1788253903293917,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253903365522,178825366664487802,,1,,1788253903362715,1788253903365508,1788253903365522,,,"delta_len=5,sent_us=1788253903350078",,,,,14
server,peer_replication_get_delta,completed,1788253903512170,178825366664487802,178825366738135701,1,,1788253903512144,1788253903512147,1788253903512170,,,"delta_len=7,sent_us=1788253903481885",,,,,23
server,peer_replication_get_delta,completed,1788253904140356,178825366664487802,178825366935159501,1,,1788253904140326,1788253904140330,1788253904140356,,,"delta_len=9,sent_us=1788253904127862",,,,,26
server,peer_replication_pull_request,sent,1788253904294406,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253904344654,178825366664487802,,1,,1788253904341776,1788253904344649,1788253904344654,,,"delta_len=1,sent_us=1788253904340340",,,,,5
server,peer_replication_pull_request,sent,1788253905294070,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253905413707,178825366664487802,,1,,1788253905410861,1788253905413689,1788253905413707,,,"delta_len=5,sent_us=1788253905374446",,,,,18
server,membership_directory_read,completed,1788253906173451,178825366664487802,,,,,1788253906135974,1788253906173451,,,poll:29 descriptors,,,,,37477
server,peer_replication_pull_request,sent,1788253906294606,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253906415035,178825366664487802,,1,,1788253906412170,1788253906415020,1788253906415035,,,"delta_len=3,sent_us=1788253906374472",,,,,15
server,peer_replication_pull_request,sent,1788253907294512,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253907414284,178825366664487802,,1,,1788253907410368,1788253907414267,1788253907414284,,,"delta_len=5,sent_us=1788253907374214",,,,,17
server,peer_replication_get_delta,completed,1788253907656358,178825366664487802,178825366619924101,1,,1788253907656329,1788253907656333,1788253907656358,,,"delta_len=2,sent_us=1788253907620451",,,,,25
server,client_mutation,completed,1788253908129230,178825366664487802,,,,1788253908126416,1788253908126417,1788253908129230,,,http_data_plane,,,,,2813
server,peer_replication_pull_request,sent,1788253908294576,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253908379001,178825366664487802,,1,,1788253908374579,1788253908378981,1788253908379001,,,"delta_len=6,sent_us=1788253908356339",,,,,20
server,peer_replication_pull_request,sent,1788253909293806,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253909378454,178825366664487802,,1,,1788253909374854,1788253909378433,1788253909378454,,,"delta_len=7,sent_us=1788253909356573",,,,,21
server,peer_replication_get_delta,completed,1788253909541401,178825366664487802,178825366619923101,1,,1788253909541370,1788253909541373,1788253909541401,,,"delta_len=11,sent_us=1788253909505220",,,,,28
server,peer_replication_get_delta,completed,1788253910189116,178825366664487802,178825366935159501,1,,1788253910188932,1788253910188935,1788253910189116,,,"delta_len=6,sent_us=1788253910127756",,,,,181
server,peer_replication_pull_request,sent,1788253910294705,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253910367207,178825366664487802,,1,,1788253910362337,1788253910367205,1788253910367207,,,"delta_len=0,sent_us=1788253910350077",,,,,2
server,peer_replication_get_delta,completed,1788253910425181,178825366664487802,178825366738133702,1,,1788253910425151,1788253910425154,1788253910425181,,,"delta_len=4,sent_us=1788253910394431",,,,,27
server,membership_directory_read,completed,1788253911174717,178825366664487802,,,,,1788253911136426,1788253911174717,,,poll:29 descriptors,,,,,38291
server,peer_replication_pull_request,sent,1788253911294082,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253911321838,178825366664487802,,1,,1788253911317978,1788253911321830,1788253911321838,,,"delta_len=4,sent_us=1788253911305969",,,,,8
server,peer_replication_pull_request,sent,1788253912294129,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253912405476,178825366664487802,,1,,1788253912402229,1788253912405454,1788253912405476,,,"delta_len=14,sent_us=1788253912372769",,,,,22
server,client_mutation,completed,1788253913131012,178825366664487802,,,,1788253913126634,1788253913126634,1788253913131012,,,http_data_plane,,,,,4378
server,peer_replication_pull_request,sent,1788253913294102,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253913365517,178825366664487802,,1,,1788253913362356,1788253913365511,1788253913365517,,,"delta_len=2,sent_us=1788253913349952",,,,,6
server,peer_replication_get_delta,completed,1788253913593340,178825366664487802,178825366738132701,1,,1788253913593311,1788253913593314,1788253913593340,,,"delta_len=4,sent_us=1788253913563471",,,,,26
server,peer_replication_pull_request,sent,1788253914295773,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253914365928,178825366664487802,,1,,1788253914363345,1788253914365915,1788253914365928,,,"delta_len=4,sent_us=1788253914350261",,,,,13
server,peer_replication_pull_request,sent,1788253915293860,178825366664487802,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253915370497,178825366664487802,,1,,1788253915363297,1788253915370481,1788253915370497,,,"delta_len=5,sent_us=1788253915350735",,,,,16
