timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788253676985835,agent_start_received,,,,,1788253721.0,,,,,,,,,
1788253721001617,bootstrap_attempt_started,ireland-slot0-g1,eu-west-1,0,178825366738131701,attempt 1/3,,,,,,,,,
1788253721004023,spawn_requested,ireland-slot0-g1,eu-west-1,0,178825366738131701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/ireland-slot0-g1,,,,,,,,,
1788253721305159,bootstrap_ready,ireland-slot0-g1,eu-west-1,0,178825366738131701,,,,,,,,,,
1788253721305530,bootstrap_attempt_started,ireland-slot1-g1,eu-west-1,1,178825366738132701,attempt 1/3,,,,,,,,,
1788253721307754,spawn_requested,ireland-slot1-g1,eu-west-1,1,178825366738132701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/ireland-slot1-g1,,,,,,,,,
1788253721608959,bootstrap_ready,ireland-slot1-g1,eu-west-1,1,178825366738132701,,,,,,,,,,
1788253721609321,bootstrap_attempt_started,ireland-slot2-g1,eu-west-1,2,178825366738133701,attempt 1/3,,,,,,,,,
1788253721611441,spawn_requested,ireland-slot2-g1,eu-west-1,2,178825366738133701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/ireland-slot2-g1,,,,,,,,,
1788253721912723,bootstrap_ready,ireland-slot2-g1,eu-west-1,2,178825366738133701,,,,,,,,,,
1788253721913101,bootstrap_attempt_started,ireland-slot3-g1,eu-west-1,3,178825366738134701,attempt 1/3,,,,,,,,,
1788253721915314,spawn_requested,ireland-slot3-g1,eu-west-1,3,178825366738134701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/ireland-slot3-g1,,,,,,,,,
1788253722216511,bootstrap_ready,ireland-slot3-g1,eu-west-1,3,178825366738134701,,,,,,,,,,
1788253722216894,bootstrap_attempt_started,ireland-slot4-g1,eu-west-1,4,178825366738135701,attempt 1/3,,,,,,,,,
1788253722219047,spawn_requested,ireland-slot4-g1,eu-west-1,4,178825366738135701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/ireland-slot4-g1,,,,,,,,,
1788253722520260,bootstrap_ready,ireland-slot4-g1,eu-west-1,4,178825366738135701,,,,,,,,,,
1788253752524974,state_snapshot,ireland-slot0-g1,eu-west-1,0,178825366738131701,,200,,,,,,,,
1788253752525528,state_snapshot,ireland-slot1-g1,eu-west-1,1,178825366738132701,,200,,,,,,,,
1788253752525995,state_snapshot,ireland-slot2-g1,eu-west-1,2,178825366738133701,,200,,,,,,,,
1788253752526444,state_snapshot,ireland-slot3-g1,eu-west-1,3,178825366738134701,,200,,,,,,,,
1788253752526866,client_request,ireland-slot0-g1,eu-west-1,0,178825366738131701,,200,5171,Insert,699,True,,,,
1788253752527091,state_snapshot,ireland-slot4-g1,eu-west-1,4,178825366738135701,,200,,,,,,,,
1788253752628100,state_snapshot,ireland-slot0-g1,eu-west-1,0,178825366738131701,,200,,,,,,,,
1788253752628608,state_snapshot,ireland-slot1-g1,eu-west-1,1,178825366738132701,,200,,,,,,,,
1788253752629047,state_snapshot,ireland-slot2-g1,eu-west-1,2,178825366738133701,,200,,,,,,,,
1788253752629519,state_snapshot,ireland-slot3-g1,eu-west-1,3,178825366738134701,,200,,,,,,,,
1788253752629932,state_snapshot,ireland-slot4-g1,eu-west-1,4,178825366738135701,,200,,,,,,,,
1788253753524570,client_request,ireland-slot1-g1,eu-west-1,1,178825366738132701,,200,2987,Remove,807,True,,,,
1788253754524445,client_request,ireland-slot2-g1,eu-west-1,2,178825366738133701,,200,2880,Insert,848,True,,,,
1788253755524488,client_request,ireland-slot3-g1,eu-west-1,3,178825366738134701,,200,2880,Remove,457,True,,,,
1788253756524617,client_request,ireland-slot4-g1,eu-west-1,4,178825366738135701,,200,2974,Remove,289,True,,,,
1788253757524463,client_request,ireland-slot0-g1,eu-west-1,0,178825366738131701,,200,2849,Insert,772,True,,,,
1788253758524293,client_request,ireland-slot1-g1,eu-west-1,1,178825366738132701,,200,2688,Remove,961,True,,,,
1788253759524387,client_request,ireland-slot2-g1,eu-west-1,2,178825366738133701,,200,2809,Insert,63,True,,,,
1788253760524475,client_request,ireland-slot3-g1,eu-west-1,3,178825366738134701,,200,2874,Remove,111,True,,,,
1788253761524305,client_request,ireland-slot4-g1,eu-west-1,4,178825366738135701,,200,2737,Remove,85,True,,,,
1788253762524320,client_request,ireland-slot0-g1,eu-west-1,0,178825366738131701,,200,2744,Insert,182,True,,,,
1788253763523358,client_request,ireland-slot1-g1,eu-west-1,1,178825366738132701,,200,1735,Insert,602,True,,,,
1788253764523349,client_request,ireland-slot2-g1,eu-west-1,2,178825366738133701,,200,1742,Remove,412,True,,,,
1788253765523440,client_request,ireland-slot3-g1,eu-west-1,3,178825366738134701,,200,1831,Insert,286,True,,,,
1788253766064484,scheduled_event_started,ireland-slot2-g1,eu-west-1,2,178825366738133701,t=45.000s crash,,,,,,,,,
1788253766064550,crash_requested,ireland-slot2-g1,eu-west-1,2,178825366738133701,,,,,,,,,,
1788253766164855,process_stopped,ireland-slot2-g1,eu-west-1,2,178825366738133701,,,,,,,,,,
1788253766164936,scheduled_event_completed,ireland-slot2-g1,eu-west-1,2,178825366738133701,t=45.000s crash,,,,,,,,,
1788253766523658,client_request,ireland-slot3-g1,eu-west-1,3,178825366738134701,,200,2071,Remove,957,True,,,,
1788253767523644,client_request,ireland-slot4-g1,eu-west-1,4,178825366738135701,,200,2060,Remove,850,True,,,,
1788253768524379,client_request,ireland-slot0-g1,eu-west-1,0,178825366738131701,,200,2612,Insert,837,True,,,,
1788253769523598,client_request,ireland-slot1-g1,eu-west-1,1,178825366738132701,,200,2000,Insert,175,True,,,,
1788253770523667,client_request,ireland-slot3-g1,eu-west-1,3,178825366738134701,,200,2047,Insert,299,True,,,,
1788253771524004,client_request,ireland-slot4-g1,eu-west-1,4,178825366738135701,,200,2425,Insert,389,True,,,,
1788253772523515,client_request,ireland-slot0-g1,eu-west-1,0,178825366738131701,,200,1939,Insert,280,True,,,,
1788253773523602,client_request,ireland-slot1-g1,eu-west-1,1,178825366738132701,,200,1913,Insert,795,True,,,,
