source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788253721943785,178825366738134701,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788253722101224,178825366738134701,,,,,1788253721943822,1788253722101224,,,restored_existing_snapshot,,,,,157402
server,membership_descriptor_write,completed,1788253722104772,178825366738134701,,,,,1788253721944036,1788253722104772,,,"178825366738134701,34.245.195.69:19083,0",,,,,160736
server,membership_directory_read,completed,1788253722161658,178825366738134701,,,,,1788253722104776,1788253722161658,,,init:23 descriptors,,,,,56882
server,replica_init,completed,1788253722165527,178825366738134701,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722165739,178825366738134701,178825366664490801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722166015,178825366738134701,178825366935159501,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1788253722166164,178825366738134701,,,,,,,,,connected_peers=2,,,,,
server,peer_replication_connection,established,1788253722166528,178825366738134701,178825366738131701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722166589,178825366738134701,178825366738132701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722166749,178825366738134701,178825366738133701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722185078,178825366738134701,178825366848208801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722185111,178825366738134701,178825366848206801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722185169,178825366738134701,178825366848207801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722185202,178825366738134701,178825366848210801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722185393,178825366738134701,178825366848209801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722200074,178825366738134701,178825366935157501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722200094,178825366738134701,178825366935158501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722200364,178825366738134701,178825366935156501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722204875,178825366738134701,178825366664488801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722205119,178825366738134701,178825366664486801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722205577,178825366738134701,178825366664489801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722205689,178825366738134701,178825366664487801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722250588,178825366738134701,178825366619922101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722250610,178825366738134701,178825366619921101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722250629,178825366738134701,178825366619923101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722250665,178825366738134701,178825366619920101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722250733,178825366738134701,178825366619924101,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1788253722285485,178825366738134701,,,,1788253722282875,1788253722285484,1788253722285485,,,"delta_len=0,sent_us=1788253722195272",,,,,1
server,peer_replication_get_delta,completed,1788253722411464,178825366738134701,178825366848207801,,,1788253722411460,1788253722411462,1788253722411464,,,"delta_len=0,sent_us=1788253722397635",,,,,2
server,peer_replication_connection,established,1788253722449855,178825366738134701,178825366935160501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722480867,178825366738134701,178825366738135701,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1788253722537781,178825366738134701,178825366935157501,,,1788253722537777,1788253722537779,1788253722537781,,,"delta_len=0,sent_us=1788253722512283",,,,,2
server,peer_replication_get_delta,completed,1788253722931557,178825366738134701,178825366664489801,,,1788253722931552,1788253722931556,1788253722931557,,,"delta_len=0,sent_us=1788253722901751",,,,,1
server,peer_replication_get_delta,completed,1788253723013592,178825366738134701,178825366848210801,,,1788253723013589,1788253723013591,1788253723013592,,,"delta_len=0,sent_us=1788253722999715",,,,,1
server,peer_replication_pull_request,sent,1788253723166971,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253723245041,178825366738134701,,,,1788253723242777,1788253723245040,1788253723245041,,,"delta_len=0,sent_us=1788253723181891",,,,,1
server,peer_replication_pull_request,sent,1788253724166923,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253724239819,178825366738134701,,,,1788253724237539,1788253724239818,1788253724239819,,,"delta_len=0,sent_us=1788253724223746",,,,,1
server,peer_replication_pull_request,sent,1788253725166633,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253725277351,178825366738134701,,,,1788253725275162,1788253725277350,1788253725277351,,,"delta_len=0,sent_us=1788253725249293",,,,,1
server,peer_replication_pull_request,sent,1788253726166301,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253726273164,178825366738134701,,,,1788253726270877,1788253726273162,1788253726273164,,,"delta_len=0,sent_us=1788253726241357",,,,,2
server,peer_replication_get_delta,completed,1788253726467960,178825366738134701,178825366619922101,,,1788253726467957,1788253726467959,1788253726467960,,,"delta_len=0,sent_us=1788253726404307",,,,,1
server,peer_replication_get_delta,completed,1788253726510271,178825366738134701,178825366935160501,,,1788253726510265,1788253726510267,1788253726510271,,,"delta_len=0,sent_us=1788253726424813",,,,,4
server,membership_directory_read,completed,1788253727003442,178825366738134701,,,,,1788253726944930,1788253727003442,,,poll:25 descriptors,,,,,58512
server,peer_replication_pull_request,sent,1788253727166784,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253727262253,178825366738134701,,,,1788253727260197,1788253727262252,1788253727262253,,,"delta_len=0,sent_us=1788253727192259",,,,,1
server,peer_replication_pull_request,sent,1788253728167168,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253728169832,178825366738134701,,,,1788253728167667,1788253728169831,1788253728169832,,,"delta_len=0,sent_us=1788253728167442",,,,,1
server,peer_replication_pull_request,sent,1788253729166867,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253729338728,178825366738134701,,,,1788253729336488,1788253729338727,1788253729338728,,,"delta_len=0,sent_us=1788253729272879",,,,,1
server,peer_replication_pull_request,sent,1788253730166486,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253730215654,178825366738134701,,,,1788253730213460,1788253730215653,1788253730215654,,,"delta_len=0,sent_us=1788253730166782",,,,,1
server,peer_replication_get_delta,completed,1788253730241546,178825366738134701,178825366664486801,,,1788253730241542,1788253730241545,1788253730241546,,,"delta_len=0,sent_us=1788253730211530",,,,,1
server,peer_replication_get_delta,completed,1788253730362863,178825366738134701,178825366619921101,,,1788253730362859,1788253730362862,1788253730362863,,,"delta_len=0,sent_us=1788253730299090",,,,,1
server,peer_replication_get_delta,completed,1788253730523856,178825366738134701,178825366664487801,,,1788253730523852,1788253730523855,1788253730523856,,,"delta_len=0,sent_us=1788253730494106",,,,,1
server,peer_replication_get_delta,completed,1788253731013807,178825366738134701,178825366848210801,,,1788253731013804,1788253731013806,1788253731013807,,,"delta_len=0,sent_us=1788253730999878",,,,,1
server,peer_replication_pull_request,sent,1788253731167155,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1788253731258329,178825366738134701,178825366738131701,,,1788253731258326,1788253731258328,1788253731258329,,,"delta_len=0,sent_us=1788253731258046",,,,,1
server,peer_replication_merge_delta,completed,1788253731267439,178825366738134701,,,,1788253731265207,1788253731267438,1788253731267439,,,"delta_len=0,sent_us=1788253731239248",,,,,1
server,peer_replication_get_delta,completed,1788253731515571,178825366738134701,178825366619922101,,,1788253731515567,1788253731515570,1788253731515571,,,"delta_len=0,sent_us=1788253731403974",,,,,1
server,membership_directory_read,completed,1788253732002782,178825366738134701,,,,,1788253731945155,1788253732002782,,,poll:25 descriptors,,,,,57627
server,peer_replication_pull_request,sent,1788253732167132,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253732239689,178825366738134701,,,,1788253732237635,1788253732239687,1788253732239689,,,"delta_len=0,sent_us=1788253732223768",,,,,2
server,peer_replication_pull_request,sent,1788253733166718,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253733239675,178825366738134701,,,,1788253733237600,1788253733239673,1788253733239675,,,"delta_len=0,sent_us=1788253733223828",,,,,2
server,peer_replication_get_delta,completed,1788253733452790,178825366738134701,178825366848207801,,,1788253733452786,1788253733452788,1788253733452790,,,"delta_len=0,sent_us=1788253733397283",,,,,2
server,peer_replication_pull_request,sent,1788253734166503,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1788253734200141,178825366738134701,178825366935159501,,,1788253734200138,1788253734200140,1788253734200141,,,"delta_len=0,sent_us=1788253734127689",,,,,1
server,peer_replication_get_delta,completed,1788253734205864,178825366738134701,178825366848206801,,,1788253734205861,1788253734205863,1788253734205864,,,"delta_len=0,sent_us=1788253734192039",,,,,1
server,peer_replication_merge_delta,completed,1788253734338357,178825366738134701,,,,1788253734336384,1788253734338357,1788253734338357,,,"delta_len=0,sent_us=1788253734272868",,,,,0
server,peer_replication_get_delta,completed,1788253734481380,178825366738134701,178825366738135701,,,1788253734481378,1788253734481379,1788253734481380,,,"delta_len=0,sent_us=1788253734481026",,,,,1
server,peer_replication_pull_request,sent,1788253735166253,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253735270631,178825366738134701,,,,1788253735268570,1788253735270629,1788253735270631,,,"delta_len=0,sent_us=1788253735239503",,,,,2
server,peer_replication_get_delta,completed,1788253735490217,178825366738134701,178825366935160501,,,1788253735490214,1788253735490216,1788253735490217,,,"delta_len=0,sent_us=1788253735424526",,,,,1
server,peer_replication_get_delta,completed,1788253736149830,178825366738134701,178825366664490801,,,1788253736149827,1788253736149828,1788253736149830,,,"delta_len=0,sent_us=1788253736120144",,,,,2
server,peer_replication_pull_request,sent,1788253736167004,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253736266586,178825366738134701,,,,1788253736264524,1788253736266585,1788253736266586,,,"delta_len=0,sent_us=1788253736239053",,,,,1
server,membership_directory_read,completed,1788253737005543,178825366738134701,,,,,1788253736944401,1788253737005543,,,poll:25 descriptors,,,,,61142
server,peer_replication_pull_request,sent,1788253737166865,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253737272235,178825366738134701,,,,1788253737270144,1788253737272234,1788253737272235,,,"delta_len=0,sent_us=1788253737196441",,,,,1
server,peer_replication_pull_request,sent,1788253738167216,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253738225551,178825366738134701,,,,1788253738223413,1788253738225549,1788253738225551,,,"delta_len=0,sent_us=1788253738167501",,,,,2
server,peer_replication_get_delta,completed,1788253738853486,178825366738134701,178825366935158501,,,1788253738853482,1788253738853484,1788253738853486,,,"delta_len=0,sent_us=1788253738827897",,,,,2
server,peer_replication_pull_request,sent,1788253739167020,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253739266547,178825366738134701,,,,1788253739264368,1788253739266545,1788253739266547,,,"delta_len=0,sent_us=1788253739238976",,,,,2
server,peer_replication_pull_request,sent,1788253740166455,178825366738134701,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253740275379,178825366738134701,,,,1788253740273217,1788253740275377,1788253740275379,,,"delta_len=0,sent_us=1788253740197247",,,,,2
