timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788253676851256,agent_start_received,,,,,1788253721.0,,,,,,,,,
1788253721000710,bootstrap_attempt_started,london-slot0-g1,eu-west-2,0,178825366848206801,attempt 1/3,,,,,,,,,
1788253721002818,spawn_requested,london-slot0-g1,eu-west-2,0,178825366848206801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/london-slot0-g1,,,,,,,,,
1788253721203590,bootstrap_ready,london-slot0-g1,eu-west-2,0,178825366848206801,,,,,,,,,,
1788253721203941,bootstrap_attempt_started,london-slot1-g1,eu-west-2,1,178825366848207801,attempt 1/3,,,,,,,,,
1788253721206016,spawn_requested,london-slot1-g1,eu-west-2,1,178825366848207801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/london-slot1-g1,,,,,,,,,
1788253721406814,bootstrap_ready,london-slot1-g1,eu-west-2,1,178825366848207801,,,,,,,,,,
1788253721407158,bootstrap_attempt_started,london-slot2-g1,eu-west-2,2,178825366848208801,attempt 1/3,,,,,,,,,
1788253721409260,spawn_requested,london-slot2-g1,eu-west-2,2,178825366848208801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/london-slot2-g1,,,,,,,,,
1788253721610114,bootstrap_ready,london-slot2-g1,eu-west-2,2,178825366848208801,,,,,,,,,,
1788253721610494,bootstrap_attempt_started,london-slot3-g1,eu-west-2,3,178825366848209801,attempt 1/3,,,,,,,,,
1788253721612592,spawn_requested,london-slot3-g1,eu-west-2,3,178825366848209801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/london-slot3-g1,,,,,,,,,
1788253721813403,bootstrap_ready,london-slot3-g1,eu-west-2,3,178825366848209801,,,,,,,,,,
1788253721813962,bootstrap_attempt_started,london-slot4-g1,eu-west-2,4,178825366848210801,attempt 1/3,,,,,,,,,
1788253721816025,spawn_requested,london-slot4-g1,eu-west-2,4,178825366848210801,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/london-slot4-g1,,,,,,,,,
1788253722016855,bootstrap_ready,london-slot4-g1,eu-west-2,4,178825366848210801,,,,,,,,,,
1788253752021293,state_snapshot,london-slot0-g1,eu-west-2,0,178825366848206801,,200,,,,,,,,
1788253752021839,state_snapshot,london-slot1-g1,eu-west-2,1,178825366848207801,,200,,,,,,,,
1788253752022331,state_snapshot,london-slot2-g1,eu-west-2,2,178825366848208801,,200,,,,,,,,
1788253752022739,state_snapshot,london-slot3-g1,eu-west-2,3,178825366848209801,,200,,,,,,,,
1788253752023292,state_snapshot,london-slot4-g1,eu-west-2,4,178825366848210801,,200,,,,,,,,
1788253752023347,client_request,london-slot0-g1,eu-west-2,0,178825366848206801,,200,5107,Insert,284,True,,,,
1788253752124332,state_snapshot,london-slot0-g1,eu-west-2,0,178825366848206801,,200,,,,,,,,
1788253752124860,state_snapshot,london-slot1-g1,eu-west-2,1,178825366848207801,,200,,,,,,,,
1788253752125274,state_snapshot,london-slot2-g1,eu-west-2,2,178825366848208801,,200,,,,,,,,
1788253752125719,state_snapshot,london-slot3-g1,eu-west-2,3,178825366848209801,,200,,,,,,,,
1788253752126117,state_snapshot,london-slot4-g1,eu-west-2,4,178825366848210801,,200,,,,,,,,
1788253753021034,client_request,london-slot1-g1,eu-west-2,1,178825366848207801,,200,2865,Remove,392,True,,,,
1788253754021093,client_request,london-slot2-g1,eu-west-2,2,178825366848208801,,200,2922,Insert,702,True,,,,
1788253755021150,client_request,london-slot3-g1,eu-west-2,3,178825366848209801,,200,2983,Remove,568,True,,,,
