[2026-09-01T09:08:41.613Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-01T09:08:41.614Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18083
[2026-09-01T09:08:41.642Z INFO  gresse::replica] replica 178825366848209801 initiating runtime at bind_http=0.0.0.0:18083 bind_internal=0.0.0.0:19083 advertised_internal=18.130.228.25:19083
[2026-09-01T09:08:41.752Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260901084800-ec90d0, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/persistent.json
[2026-09-01T09:08:41.801Z INFO  gresse::replica] replica 178825366848209801 discovered 17 membership descriptors during init
[2026-09-01T09:08:41.801Z INFO  gresse::replica] replica 178825366848209801 startup completed
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366619920101, address: 16.170.108.158:19080, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366619921101, address: 16.170.108.158:19081, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366619922101, address: 16.170.108.158:19082, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366619923101, address: 16.170.108.158:19083, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366619924101, address: 16.170.108.158:19084, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366664486801, address: 3.68.220.182:19080, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366664487801, address: 3.68.220.182:19081, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366664488801, address: 3.68.220.182:19082, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366738131701, address: 34.245.195.69:19080, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366738132701, address: 34.245.195.69:19081, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366848206801, address: 18.130.228.25:19080, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366848207801, address: 18.130.228.25:19081, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366848208801, address: 18.130.228.25:19082, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366935156501, address: 13.38.41.188:19080, final_counter: None }
[2026-09-01T09:08:41.801Z INFO  gresse::network] replica 178825366848209801 discovered network member NetworkMember { pid: 178825366935157501, address: 13.38.41.188:19081, final_counter: None }
