timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788253676967327,agent_start_received,,,,,1788253721.0,,,,,,,,,
1788253721001672,bootstrap_attempt_started,paris-slot0-g1,eu-west-3,0,178825366935156501,attempt 1/3,,,,,,,,,
1788253721003908,spawn_requested,paris-slot0-g1,eu-west-3,0,178825366935156501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/paris-slot0-g1,,,,,,,,,
1788253721305222,bootstrap_ready,paris-slot0-g1,eu-west-3,0,178825366935156501,,,,,,,,,,
1788253721305594,bootstrap_attempt_started,paris-slot1-g1,eu-west-3,1,178825366935157501,attempt 1/3,,,,,,,,,
1788253721307715,spawn_requested,paris-slot1-g1,eu-west-3,1,178825366935157501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/paris-slot1-g1,,,,,,,,,
1788253721608882,bootstrap_ready,paris-slot1-g1,eu-west-3,1,178825366935157501,,,,,,,,,,
1788253721609249,bootstrap_attempt_started,paris-slot2-g1,eu-west-3,2,178825366935158501,attempt 1/3,,,,,,,,,
1788253721611279,spawn_requested,paris-slot2-g1,eu-west-3,2,178825366935158501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/paris-slot2-g1,,,,,,,,,
1788253721912661,bootstrap_ready,paris-slot2-g1,eu-west-3,2,178825366935158501,,,,,,,,,,
1788253721913294,bootstrap_attempt_started,paris-slot3-g1,eu-west-3,3,178825366935159501,attempt 1/3,,,,,,,,,
1788253721915494,spawn_requested,paris-slot3-g1,eu-west-3,3,178825366935159501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/paris-slot3-g1,,,,,,,,,
1788253722216765,bootstrap_ready,paris-slot3-g1,eu-west-3,3,178825366935159501,,,,,,,,,,
1788253722217151,bootstrap_attempt_started,paris-slot4-g1,eu-west-3,4,178825366935160501,attempt 1/3,,,,,,,,,
1788253722219308,spawn_requested,paris-slot4-g1,eu-west-3,4,178825366935160501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/paris-slot4-g1,,,,,,,,,
1788253722520856,bootstrap_ready,paris-slot4-g1,eu-west-3,4,178825366935160501,,,,,,,,,,
1788253752525532,state_snapshot,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,,,,,,,,
1788253752526044,state_snapshot,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,,,,,,,,
1788253752526530,state_snapshot,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,,,,,,,,
1788253752526958,state_snapshot,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,,,,,,,,
1788253752527548,state_snapshot,paris-slot4-g1,eu-west-3,4,178825366935160501,,200,,,,,,,,
1788253752527615,client_request,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,5311,Insert,225,True,,,,
1788253752628565,state_snapshot,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,,,,,,,,
1788253752629163,state_snapshot,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,,,,,,,,
1788253752629579,state_snapshot,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,,,,,,,,
1788253752630000,state_snapshot,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,,,,,,,,
1788253752630415,state_snapshot,paris-slot4-g1,eu-west-3,4,178825366935160501,,200,,,,,,,,
1788253753525078,client_request,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,2894,Insert,167,True,,,,
1788253754525169,client_request,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,2997,Remove,984,True,,,,
1788253755525035,client_request,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,2817,Insert,66,True,,,,
1788253756524974,client_request,paris-slot4-g1,eu-west-3,4,178825366935160501,,200,2814,Insert,555,True,,,,
1788253757525084,client_request,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,2906,Remove,48,True,,,,
1788253758525037,client_request,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,2862,Remove,218,True,,,,
1788253759525140,client_request,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,2975,Remove,313,True,,,,
1788253760525068,client_request,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,2871,Remove,44,True,,,,
1788253761525043,client_request,paris-slot4-g1,eu-west-3,4,178825366935160501,,200,2852,Insert,928,True,,,,
1788253762525069,client_request,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,2820,Insert,592,True,,,,
1788253763525169,client_request,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,2930,Remove,292,True,,,,
1788253764524900,client_request,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,2692,Insert,712,True,,,,
1788253765528140,client_request,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,2882,Remove,213,True,,,,
1788253766525053,client_request,paris-slot4-g1,eu-west-3,4,178825366935160501,,200,2899,Remove,638,True,,,,
1788253767525186,client_request,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,2987,Insert,385,True,,,,
1788253768525067,client_request,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,2883,Insert,658,True,,,,
1788253769525274,client_request,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,3090,Remove,148,True,,,,
1788253770525095,client_request,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,2930,Remove,655,True,,,,
1788253771525024,client_request,paris-slot4-g1,eu-west-3,4,178825366935160501,,200,2856,Insert,34,True,,,,
1788253772525148,client_request,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,2977,Remove,309,True,,,,
1788253773525154,client_request,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,2969,Remove,702,True,,,,
1788253774525159,client_request,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,2970,Remove,552,True,,,,
1788253775525106,client_request,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,2900,Insert,167,True,,,,
1788253776525183,client_request,paris-slot4-g1,eu-west-3,4,178825366935160501,,200,3000,Remove,715,True,,,,
1788253777524994,client_request,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,2810,Insert,23,True,,,,
1788253778525070,client_request,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,2920,Remove,59,True,,,,
1788253779525124,client_request,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,2936,Remove,654,True,,,,
1788253780525155,client_request,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,2976,Remove,376,True,,,,
1788253781005126,state_snapshot,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,,,,,,,,
1788253781005646,state_snapshot,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,,,,,,,,
1788253781006068,state_snapshot,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,,,,,,,,
1788253781006483,state_snapshot,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,,,,,,,,
1788253781006885,state_snapshot,paris-slot4-g1,eu-west-3,4,178825366935160501,,200,,,,,,,,
1788253781524991,client_request,paris-slot4-g1,eu-west-3,4,178825366935160501,,200,2830,Remove,999,True,,,,
1788253782525051,client_request,paris-slot0-g1,eu-west-3,0,178825366935156501,,200,2869,Remove,567,True,,,,
1788253783525002,client_request,paris-slot1-g1,eu-west-3,1,178825366935157501,,200,2832,Remove,281,True,,,,
1788253784525468,client_request,paris-slot2-g1,eu-west-3,2,178825366935158501,,200,3255,Remove,586,True,,,,
1788253785525248,client_request,paris-slot3-g1,eu-west-3,3,178825366935159501,,200,3084,Insert,429,True,,,,
