source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788253721943906,178825366935159501,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788253722066016,178825366935159501,,,,,1788253721943936,1788253722066016,,,restored_existing_snapshot,,,,,122080
server,membership_descriptor_write,completed,1788253722073986,178825366935159501,,,,,1788253721944169,1788253722073986,,,"178825366935159501,13.38.41.188:19083,0",,,,,129817
server,membership_directory_read,completed,1788253722123786,178825366935159501,,,,,1788253722073990,1788253722123786,,,init:23 descriptors,,,,,49796
server,replica_init,completed,1788253722127233,178825366935159501,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722128179,178825366935159501,178825366935158501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722128233,178825366935159501,178825366935156501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722128297,178825366935159501,178825366935157501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722130861,178825366935159501,178825366664490801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722141488,178825366935159501,178825366848210801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722143121,178825366935159501,178825366664487801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722143163,178825366935159501,178825366664488801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722143463,178825366935159501,178825366848207801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722143473,178825366935159501,178825366848208801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722143565,178825366935159501,178825366848209801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722144098,178825366935159501,178825366664489801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722144139,178825366935159501,178825366664486801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722145656,178825366935159501,178825366848206801,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722161802,178825366935159501,178825366738131701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722162305,178825366935159501,178825366738132701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722162317,178825366935159501,178825366738133701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722174558,178825366935159501,178825366738134701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722189815,178825366935159501,178825366619923101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722189840,178825366935159501,178825366619920101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722189855,178825366935159501,178825366619924101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722189964,178825366935159501,178825366619922101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722190213,178825366935159501,178825366619921101,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722424870,178825366935159501,178825366935160501,,,,,,,,,,,,,
server,peer_replication_connection,established,1788253722505997,178825366935159501,178825366738135701,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1788253722616168,178825366935159501,178825366848208801,,,1788253722616163,1788253722616166,1788253722616168,,,"delta_len=0,sent_us=1788253722603476",,,,,2
server,peer_replication_pull_request,sent,1788253723127864,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253723231357,178825366935159501,,,,1788253723229140,1788253723231355,1788253723231357,,,"delta_len=0,sent_us=1788253723153676",,,,,2
server,peer_replication_get_delta,completed,1788253723828262,178825366935159501,178825366935158501,,,1788253723828260,1788253723828262,1788253723828262,,,"delta_len=0,sent_us=1788253723827815",,,,,0
server,peer_replication_pull_request,sent,1788253724127733,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253724193904,178825366935159501,,,,1788253724191685,1788253724193902,1788253724193904,,,"delta_len=0,sent_us=1788253724181255",,,,,2
server,peer_replication_get_delta,completed,1788253724660040,178825366935159501,178825366848208801,,,1788253724660037,1788253724660039,1788253724660040,,,"delta_len=0,sent_us=1788253724603294",,,,,1
server,peer_replication_pull_request,sent,1788253725127730,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253725196774,178825366935159501,,,,1788253725194863,1788253725196773,1788253725196774,,,"delta_len=0,sent_us=1788253725182277",,,,,1
server,peer_replication_get_delta,completed,1788253725283990,178825366935159501,178825366738131701,,,1788253725283987,1788253725283989,1788253725283990,,,"delta_len=0,sent_us=1788253725258356",,,,,1
server,peer_replication_pull_request,sent,1788253726128085,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1788253726205003,178825366935159501,178825366848206801,,,1788253726205000,1788253726205002,1788253726205003,,,"delta_len=0,sent_us=1788253726191281",,,,,1
server,peer_replication_merge_delta,completed,1788253726270339,178825366935159501,,,,1788253726268255,1788253726270337,1788253726270339,,,"delta_len=0,sent_us=1788253726221563",,,,,2
server,peer_replication_get_delta,completed,1788253726345774,178825366935159501,178825366619921101,,,1788253726345772,1788253726345774,1788253726345774,,,"delta_len=0,sent_us=1788253726298849",,,,,0
server,peer_replication_get_delta,completed,1788253726507585,178825366935159501,178825366738135701,,,1788253726507582,1788253726507584,1788253726507585,,,"delta_len=0,sent_us=1788253726481872",,,,,1
server,membership_directory_read,completed,1788253726995593,178825366935159501,,,,,1788253726945242,1788253726995593,,,poll:25 descriptors,,,,,50351
server,peer_replication_pull_request,sent,1788253727127945,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253727193858,178825366935159501,,,,1788253727191699,1788253727193856,1788253727193858,,,"delta_len=0,sent_us=1788253727181213",,,,,2
server,peer_replication_pull_request,sent,1788253728127667,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253728202190,178825366935159501,,,,1788253728200144,1788253728202188,1788253728202190,,,"delta_len=0,sent_us=1788253728188071",,,,,2
server,peer_replication_get_delta,completed,1788253728410361,178825366935159501,178825366848207801,,,1788253728410358,1788253728410360,1788253728410361,,,"delta_len=0,sent_us=1788253728397691",,,,,1
server,peer_replication_get_delta,completed,1788253728505727,178825366935159501,178825366664487801,,,1788253728505724,1788253728505726,1788253728505727,,,"delta_len=0,sent_us=1788253728494022",,,,,1
server,peer_replication_pull_request,sent,1788253729127576,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253729201754,178825366935159501,,,,1788253729199602,1788253729201752,1788253729201754,,,"delta_len=0,sent_us=1788253729187851",,,,,2
server,peer_replication_pull_request,sent,1788253730127732,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253730231290,178825366935159501,,,,1788253730229176,1788253730231288,1788253730231290,,,"delta_len=0,sent_us=1788253730153628",,,,,2
server,peer_replication_get_delta,completed,1788253730667258,178825366935159501,178825366619924101,,,1788253730667255,1788253730667257,1788253730667258,,,"delta_len=0,sent_us=1788253730620477",,,,,1
server,peer_replication_pull_request,sent,1788253731127929,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253731202126,178825366935159501,,,,1788253731200047,1788253731202125,1788253731202126,,,"delta_len=0,sent_us=1788253731139375",,,,,1
server,membership_directory_read,completed,1788253731995050,178825366935159501,,,,,1788253731944975,1788253731995050,,,poll:25 descriptors,,,,,50075
server,peer_replication_pull_request,sent,1788253732128361,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253732174439,178825366935159501,,,,1788253732172298,1788253732174437,1788253732174439,,,"delta_len=0,sent_us=1788253732128806",,,,,2
server,peer_replication_get_delta,completed,1788253732329144,178825366935159501,178825366738131701,,,1788253732329141,1788253732329143,1788253732329144,,,"delta_len=0,sent_us=1788253732258816",,,,,1
server,peer_replication_pull_request,sent,1788253733128007,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1788253733179915,178825366935159501,178825366664490801,,,1788253733179912,1788253733179914,1788253733179915,,,"delta_len=0,sent_us=1788253733120938",,,,,1
server,peer_replication_merge_delta,completed,1788253733228175,178825366935159501,,,,1788253733226083,1788253733228174,1788253733228175,,,"delta_len=0,sent_us=1788253733200383",,,,,1
server,peer_replication_get_delta,completed,1788253733451046,178825366935159501,178825366619922101,,,1788253733451043,1788253733451045,1788253733451046,,,"delta_len=0,sent_us=1788253733404360",,,,,1
server,peer_replication_get_delta,completed,1788253733552365,178825366935159501,178825366619923101,,,1788253733552362,1788253733552364,1788253733552365,,,"delta_len=0,sent_us=1788253733505517",,,,,1
server,peer_replication_get_delta,completed,1788253734010379,178825366935159501,178825366848210801,,,1788253734010377,1788253734010378,1788253734010379,,,"delta_len=0,sent_us=1788253733999845",,,,,1
server,peer_replication_pull_request,sent,1788253734127704,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253734227617,178825366935159501,,,,1788253734225525,1788253734227616,1788253734227617,,,"delta_len=0,sent_us=1788253734200141",,,,,1
server,peer_replication_pull_request,sent,1788253735127621,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253735270136,178825366935159501,,,,1788253735268016,1788253735270134,1788253735270136,,,"delta_len=0,sent_us=1788253735221504",,,,,2
server,peer_replication_get_delta,completed,1788253735393078,178825366935159501,178825366619921101,,,1788253735393074,1788253735393077,1788253735393078,,,"delta_len=0,sent_us=1788253735299087",,,,,1
server,peer_replication_get_delta,completed,1788253735815059,178825366935159501,178825366848209801,,,1788253735815055,1788253735815057,1788253735815059,,,"delta_len=0,sent_us=1788253735802397",,,,,2
server,peer_replication_pull_request,sent,1788253736127592,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253736202035,178825366935159501,,,,1788253736199760,1788253736202033,1788253736202035,,,"delta_len=0,sent_us=1788253736188036",,,,,2
server,membership_directory_read,completed,1788253736992140,178825366935159501,,,,,1788253736944729,1788253736992140,,,poll:25 descriptors,,,,,47411
server,peer_replication_pull_request,sent,1788253737128462,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_get_delta,completed,1788253737196441,178825366935159501,178825366738134701,,,1788253737196437,1788253737196439,1788253737196441,,,"delta_len=0,sent_us=1788253737166850",,,,,2
server,peer_replication_merge_delta,completed,1788253737265215,178825366935159501,,,,1788253737263161,1788253737265214,1788253737265215,,,"delta_len=0,sent_us=1788253737175384",,,,,1
server,peer_replication_get_delta,completed,1788253737393034,178825366935159501,178825366619921101,,,1788253737393030,1788253737393033,1788253737393034,,,"delta_len=0,sent_us=1788253737298543",,,,,1
server,peer_replication_get_delta,completed,1788253737894061,178825366935159501,178825366738133701,,,1788253737894057,1788253737894059,1788253737894061,,,"delta_len=0,sent_us=1788253737868339",,,,,2
server,peer_replication_pull_request,sent,1788253738127523,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253738202053,178825366935159501,,,,1788253738199901,1788253738202051,1788253738202053,,,"delta_len=0,sent_us=1788253738139631",,,,,2
server,peer_replication_pull_request,sent,1788253739128127,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253739228274,178825366935159501,,,,1788253739226141,1788253739228272,1788253739228274,,,"delta_len=0,sent_us=1788253739200466",,,,,2
server,peer_replication_get_delta,completed,1788253739238976,178825366935159501,178825366738134701,,,1788253739238973,1788253739238974,1788253739238976,,,"delta_len=0,sent_us=1788253739167004",,,,,2
server,peer_replication_pull_request,sent,1788253740128061,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253740202231,178825366935159501,,,,1788253740200034,1788253740202230,1788253740202231,,,"delta_len=0,sent_us=1788253740139603",,,,,1
server,peer_replication_get_delta,completed,1788253740549903,178825366935159501,178825366664487801,,,1788253740549900,1788253740549902,1788253740549903,,,"delta_len=0,sent_us=1788253740493730",,,,,1
server,peer_replication_pull_request,sent,1788253741127732,178825366935159501,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788253741197498,178825366935159501,,,,1788253741194802,1788253741197496,1788253741197498,,,"delta_len=0,sent_us=1788253741182262",,,,,2
server,membership_directory_read,completed,1788253741992961,178825366935159501,,,,,1788253741944762,1788253741992961,,,poll:25 descriptors,,,,,48199
server,peer_replication_get_delta,completed,1788253742058984,178825366935159501,178825366848210801,,,1788253742058981,1788253742058983,1788253742058984,,,"delta_len=0,sent_us=1788253741999893",,,,,1
