timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788253676657008,agent_start_received,,,,,1788253721.0,,,,,,,,,
1788253721001061,bootstrap_attempt_started,stockholm-slot0-g1,eu-north-1,0,178825366619920101,attempt 1/3,,,,,,,,,
1788253721003563,spawn_requested,stockholm-slot0-g1,eu-north-1,0,178825366619920101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/stockholm-slot0-g1,,,,,,,,,
1788253721204455,bootstrap_ready,stockholm-slot0-g1,eu-north-1,0,178825366619920101,,,,,,,,,,
1788253721204827,bootstrap_attempt_started,stockholm-slot1-g1,eu-north-1,1,178825366619921101,attempt 1/3,,,,,,,,,
1788253721207373,spawn_requested,stockholm-slot1-g1,eu-north-1,1,178825366619921101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/stockholm-slot1-g1,,,,,,,,,
1788253721307978,bootstrap_ready,stockholm-slot1-g1,eu-north-1,1,178825366619921101,,,,,,,,,,
1788253721308369,bootstrap_attempt_started,stockholm-slot2-g1,eu-north-1,2,178825366619922101,attempt 1/3,,,,,,,,,
1788253721310842,spawn_requested,stockholm-slot2-g1,eu-north-1,2,178825366619922101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/stockholm-slot2-g1,,,,,,,,,
1788253721411424,bootstrap_ready,stockholm-slot2-g1,eu-north-1,2,178825366619922101,,,,,,,,,,
1788253721411899,bootstrap_attempt_started,stockholm-slot3-g1,eu-north-1,3,178825366619923101,attempt 1/3,,,,,,,,,
1788253721414288,spawn_requested,stockholm-slot3-g1,eu-north-1,3,178825366619923101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/stockholm-slot3-g1,,,,,,,,,
1788253721514865,bootstrap_ready,stockholm-slot3-g1,eu-north-1,3,178825366619923101,,,,,,,,,,
1788253721515245,bootstrap_attempt_started,stockholm-slot4-g1,eu-north-1,4,178825366619924101,attempt 1/3,,,,,,,,,
1788253721517686,spawn_requested,stockholm-slot4-g1,eu-north-1,4,178825366619924101,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260901T090724Z-9d5f90d9/stockholm-slot4-g1,,,,,,,,,
1788253721718565,bootstrap_ready,stockholm-slot4-g1,eu-north-1,4,178825366619924101,,,,,,,,,,
1788253751723696,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178825366619920101,,200,,,,,,,,
1788253751724337,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178825366619921101,,200,,,,,,,,
1788253751724807,state_snapshot,stockholm-slot2-g1,eu-north-1,2,178825366619922101,,200,,,,,,,,
1788253751725242,state_snapshot,stockholm-slot3-g1,eu-north-1,3,178825366619923101,,200,,,,,,,,
1788253751725651,client_request,stockholm-slot0-g1,eu-north-1,0,178825366619920101,,200,5594,Insert,273,True,,,,
1788253751725922,state_snapshot,stockholm-slot4-g1,eu-north-1,4,178825366619924101,,200,,,,,,,,
1788253751827101,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178825366619920101,,200,,,,,,,,
1788253751827696,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178825366619921101,,200,,,,,,,,
1788253751828160,state_snapshot,stockholm-slot2-g1,eu-north-1,2,178825366619922101,,200,,,,,,,,
1788253751828638,state_snapshot,stockholm-slot3-g1,eu-north-1,3,178825366619923101,,200,,,,,,,,
1788253751829075,state_snapshot,stockholm-slot4-g1,eu-north-1,4,178825366619924101,,200,,,,,,,,
