timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788254818303537,agent_start_received,,,,,1788254862.0,,,,,,,,,
1788254862001393,bootstrap_attempt_started,frankfurt-slot0-g1,eu-central-1,0,178825480759179601,attempt 1/3,,,,,,,,,
1788254862007791,spawn_requested,frankfurt-slot0-g1,eu-central-1,0,178825480759179601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/frankfurt-slot0-g1,,,,,,,,,
1788254862309942,bootstrap_ready,frankfurt-slot0-g1,eu-central-1,0,178825480759179601,,,,,,,,,,
1788254862310457,bootstrap_attempt_started,frankfurt-slot1-g1,eu-central-1,1,178825480759180601,attempt 1/3,,,,,,,,,
1788254862313669,spawn_requested,frankfurt-slot1-g1,eu-central-1,1,178825480759180601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/frankfurt-slot1-g1,,,,,,,,,
1788254862615078,bootstrap_ready,frankfurt-slot1-g1,eu-central-1,1,178825480759180601,,,,,,,,,,
1788254862615470,bootstrap_attempt_started,frankfurt-slot2-g1,eu-central-1,2,178825480759181601,attempt 1/3,,,,,,,,,
1788254862624459,spawn_requested,frankfurt-slot2-g1,eu-central-1,2,178825480759181601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/frankfurt-slot2-g1,,,,,,,,,
1788254862926802,bootstrap_ready,frankfurt-slot2-g1,eu-central-1,2,178825480759181601,,,,,,,,,,
1788254862927274,bootstrap_attempt_started,frankfurt-slot3-g1,eu-central-1,3,178825480759182601,attempt 1/3,,,,,,,,,
1788254862930136,spawn_requested,frankfurt-slot3-g1,eu-central-1,3,178825480759182601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/frankfurt-slot3-g1,,,,,,,,,
1788254863232564,bootstrap_ready,frankfurt-slot3-g1,eu-central-1,3,178825480759182601,,,,,,,,,,
1788254863232947,bootstrap_attempt_started,frankfurt-slot4-g1,eu-central-1,4,178825480759183601,attempt 1/3,,,,,,,,,
