source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788256543202860,178825480759180605,,,,,,,,,,,,,,
server,recovered_membership_cleanup,completed,1788256543434641,178825480759180605,178825480759180604,,,,,,,,,,,,,
server,membership_descriptor_write,completed,1788256543309507,178825480759180605,,,,,1788256543202889,1788256543309507,,,"178825480759180605,3.68.220.182:19081,10",,,,,106618
server,membership_directory_read,completed,1788256543382289,178825480759180605,,,,,1788256543309511,1788256543382289,,,init:117 descriptors,,,,,72778
server,persistent_state_fetch,completed,1788256543434707,178825480759180605,,,,,,,,,recovered_from_durability_journal,,,,,
server,replica_init,completed,1788256543434713,178825480759180605,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543435391,178825480759180605,178825480759180605,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543435485,178825480759180605,178825480759183604,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543435909,178825480759180605,178825480759179605,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543451013,178825480759180605,178825481046241404,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543451031,178825480759180605,178825481046240404,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543451431,178825480759180605,178825481046242404,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543451666,178825480759180605,178825481046243404,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543452224,178825480759180605,178825481046239404,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543457698,178825480759180605,178825480957158904,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543457717,178825480759180605,178825480957160904,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543457751,178825480759180605,178825480957157904,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543457906,178825480759180605,178825480957159904,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543457948,178825480759180605,178825480957161904,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543474099,178825480759180605,178825480843464704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543474302,178825480759180605,178825480843465704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543474437,178825480759180605,178825480843462704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543474490,178825480759180605,178825480843466704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543474753,178825480759180605,178825480843463704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543482119,178825480759180605,178825480714267205,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543482190,178825480759180605,178825480714265205,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543482629,178825480759180605,178825480714264205,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543482721,178825480759180605,178825480714266205,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256543482935,178825480759180605,178825480714263205,,,,,,,,,,,,,
server,client_mutation,completed,1788256543542417,178825480759180605,,,,1788256543540503,1788256543540505,1788256543542417,,,http_data_plane,,,,,1912
server,peer_replication_get_delta,completed,1788256543835698,178825480759180605,178825480714267205,10,,1788256543835399,1788256543835402,1788256543835698,,,"delta_len=843,sent_us=1788256543799797",,,,,296
server,client_mutation,completed,1788256543842394,178825480759180605,,,,1788256543840488,1788256543840489,1788256543842394,,,http_data_plane,,,,,1905
server,peer_replication_get_delta,completed,1788256543851584,178825480759180605,178825480843462704,10,,1788256543851256,1788256543851270,1788256543851584,,,"delta_len=844,sent_us=1788256543821545",,,,,314
server,peer_replication_connection,established,1788256544128709,178825480759180605,178825480759181605,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1788256544129253,178825480759180605,178825480759181605,10,,1788256544129048,1788256544129050,1788256544129253,,,"delta_len=844,sent_us=1788256544128781",,,,,203
server,client_mutation,completed,1788256544142399,178825480759180605,,,,1788256544140401,1788256544140402,1788256544142399,,,http_data_plane,,,,,1997
server,peer_replication_pull_request,sent,1788256544435420,178825480759180605,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1788256544542612,178825480759180605,,,,1788256544540566,1788256544540567,1788256544542612,,,http_data_plane,,,,,2045
server,gc_observed,start,1788256544628905,178825480759180605,,11,,,,,,,,,,,,
server,gc_observed,completed,1788256545309131,178825480759180605,,11,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1788256545656412,178825480759180605,,11,,1788256544628904,1788256545654205,1788256545656412,,,"delta_len=3925,sent_us=1788256544471244",,,,,2207
server,peer_replication_connection,established,1788256545656484,178825480759180605,178825480759182605,,,,,,,,,,,,,
server,client_mutation,completed,1788256545259903,178825480759180605,,,,1788256545249986,1788256545249987,1788256545259903,,,http_data_plane,,,,,9916
server,peer_replication_pull_request,sent,1788256545656537,178825480759180605,,,,,,,,,connected_peers=25,,,,,
server,peer_replication_get_delta,completed,1788256545656797,178825480759180605,178825481046241404,11,,1788256545656542,1788256545656544,1788256545656797,,,"delta_len=871,sent_us=1788256545617731",,,,,253
server,peer_replication_merge_delta,completed,1788256545700863,178825480759180605,,11,,1788256545691128,1788256545700741,1788256545700863,,,"delta_len=89,sent_us=1788256545673713",,,,,122
server,client_mutation,completed,1788256545741761,178825480759180605,,,,1788256545740532,1788256545740533,1788256545741761,,,http_data_plane,,,,,1228
server,peer_replication_get_delta,completed,1788256546233350,178825480759180605,178825480714264205,11,,1788256546233072,1788256546233075,1788256546233350,,,"delta_len=881,sent_us=1788256546197154",,,,,275
server,client_mutation,completed,1788256546242196,178825480759180605,,,,1788256546240242,1788256546240243,1788256546242196,,,http_data_plane,,,,,1953
server,peer_replication_get_delta,completed,1788256546332562,178825480759180605,178825480843465704,11,,1788256546332368,1788256546332372,1788256546332562,,,"delta_len=40,sent_us=1788256546302765",,,,,190
server,peer_replication_pull_request,sent,1788256546436111,178825480759180605,,,,,,,,,connected_peers=25,,,,,
server,peer_replication_merge_delta,completed,1788256546488140,178825480759180605,,11,,1788256546484661,1788256546488128,1788256546488140,,,"delta_len=8,sent_us=1788256546472083",,,,,12
server,client_mutation,completed,1788256546741764,178825480759180605,,,,1788256546740684,1788256546740686,1788256546741764,,,http_data_plane,,,,,1078
server,client_mutation,completed,1788256547241231,178825480759180605,,,,1788256547240094,1788256547240095,1788256547241231,,,http_data_plane,,,,,1136
server,peer_replication_pull_request,sent,1788256547436025,178825480759180605,,,,,,,,,connected_peers=25,,,,,
server,peer_replication_merge_delta,completed,1788256547505473,178825480759180605,,11,,1788256547495691,1788256547505383,1788256547505473,,,"delta_len=115,sent_us=1788256547465691",,,,,90
server,client_mutation,completed,1788256547741004,178825480759180605,,,,1788256547739936,1788256547739937,1788256547741004,,,http_data_plane,,,,,1067
server,client_mutation,completed,1788256548241084,178825480759180605,,,,1788256548239946,1788256548239946,1788256548241084,,,http_data_plane,,,,,1138
server,membership_directory_read,completed,1788256548322949,178825480759180605,,,,,1788256548200073,1788256548322949,,,poll:116 descriptors,,,,,122876
server,client_mutation,completed,1788256548741457,178825480759180605,,,,1788256548740494,1788256548740494,1788256548741457,,,http_data_plane,,,,,963
server,client_mutation,completed,1788256549260605,178825480759180605,,,,1788256549250012,1788256549250013,1788256549260605,,,http_data_plane,,,,,10592
server,client_mutation,completed,1788256549744221,178825480759180605,,,,1788256549743160,1788256549743161,1788256549744221,,,http_data_plane,,,,,1060
server,client_mutation,completed,1788256550242377,178825480759180605,,,,1788256550240781,1788256550240781,1788256550242377,,,http_data_plane,,,,,1596
server,client_mutation,completed,1788256550758299,178825480759180605,,,,1788256550751083,1788256550751084,1788256550758299,,,http_data_plane,,,,,7215
server,client_mutation,completed,1788256551251109,178825480759180605,,,,1788256551247663,1788256551247663,1788256551251109,,,http_data_plane,,,,,3446
server,client_mutation,completed,1788256551742167,178825480759180605,,,,1788256551739925,1788256551739926,1788256551742167,,,http_data_plane,,,,,2241
