[2026-09-01T10:13:42.873Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-01T10:13:42.874Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18083
[2026-09-01T10:13:42.901Z INFO  gresse::replica] replica 178825480759182607 initiating runtime at bind_http=0.0.0.0:18083 bind_internal=0.0.0.0:19083 advertised_internal=3.68.220.182:19083
[2026-09-01T10:13:42.995Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260901084800-ec90d0, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-20260901T092623Z-21106dd4/persistent.json
[2026-09-01T10:13:43.566Z INFO  gresse::replica] replica 178825480759182607 discovered 170 membership descriptors during init
[2026-09-01T10:13:43.566Z INFO  gresse::replica] replica 178825480759182607 startup completed
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480714263207, address: 16.170.108.158:19080, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480714264207, address: 16.170.108.158:19081, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480714265207, address: 16.170.108.158:19082, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480714266207, address: 16.170.108.158:19083, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480714267207, address: 16.170.108.158:19084, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480759179607, address: 3.68.220.182:19080, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046240406
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480759180607, address: 3.68.220.182:19081, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480759181607, address: 3.68.220.182:19082, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480843462706, address: 34.245.195.69:19080, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480843463706, address: 34.245.195.69:19081, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480843464706, address: 34.245.195.69:19082, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480843465706, address: 34.245.195.69:19083, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480843466706, address: 34.245.195.69:19084, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480957157906, address: 18.130.228.25:19080, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480957158906, address: 18.130.228.25:19081, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480957159906, address: 18.130.228.25:19082, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480957160906, address: 18.130.228.25:19083, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480957161906, address: 18.130.228.25:19084, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825481046239406, address: 13.38.41.188:19080, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825481046241406, address: 13.38.41.188:19082, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825481046242406, address: 13.38.41.188:19083, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825481046243406, address: 13.38.41.188:19084, final_counter: None }
[2026-09-01T10:13:43.566Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046240406
[2026-09-01T10:13:43.567Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480843462707
[2026-09-01T10:13:43.567Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714263207
[2026-09-01T10:13:43.567Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480843462707
[2026-09-01T10:13:43.567Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480759179607
[2026-09-01T10:13:43.567Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714263207
[2026-09-01T10:13:43.567Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480759179607
[2026-09-01T10:13:43.567Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480759180607
[2026-09-01T10:13:43.567Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480759180607
[2026-09-01T10:13:43.567Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480759181607
[2026-09-01T10:13:43.567Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480759181607
[2026-09-01T10:13:43.582Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046243406
[2026-09-01T10:13:43.582Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046243406
[2026-09-01T10:13:43.583Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046239406
[2026-09-01T10:13:43.583Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046239406
[2026-09-01T10:13:43.583Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046241406
[2026-09-01T10:13:43.583Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046241406
[2026-09-01T10:13:43.583Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046242406
[2026-09-01T10:13:43.583Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046242406
[2026-09-01T10:13:43.586Z WARN  gresse::network] replica 178825480759182607 peer connection attempt failed: could not connect to 34.245.195.69:19081: Connection refused (os error 111)
[2026-09-01T10:13:43.586Z WARN  gresse::network] replica 178825480759182607 peer connection attempt failed: could not connect to 34.245.195.69:19082: Connection refused (os error 111)
[2026-09-01T10:13:43.589Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957161906
[2026-09-01T10:13:43.589Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957161906
[2026-09-01T10:13:43.589Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957157906
[2026-09-01T10:13:43.589Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957157906
[2026-09-01T10:13:43.589Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957160906
[2026-09-01T10:13:43.589Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957160906
[2026-09-01T10:13:43.589Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957159906
[2026-09-01T10:13:43.589Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957159906
[2026-09-01T10:13:43.590Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957158906
[2026-09-01T10:13:43.590Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957158906
[2026-09-01T10:13:43.606Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480843466706
[2026-09-01T10:13:43.606Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480843466706
[2026-09-01T10:13:43.606Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480843465706
[2026-09-01T10:13:43.606Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480843465706
[2026-09-01T10:13:43.606Z WARN  gresse::network] replica 178825480759182607 rejected peer handshake: expected 178825480843462706, received 178825480843462707
[2026-09-01T10:13:43.614Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714264207
[2026-09-01T10:13:43.614Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714264207
[2026-09-01T10:13:43.614Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714267207
[2026-09-01T10:13:43.614Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714265207
[2026-09-01T10:13:43.614Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714267207
[2026-09-01T10:13:43.614Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714265207
[2026-09-01T10:13:43.615Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714266207
[2026-09-01T10:13:43.615Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714266207
[2026-09-01T10:13:44.267Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480759183607
[2026-09-01T10:13:44.267Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480759183607
[2026-09-01T10:13:45.030Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480843463707
[2026-09-01T10:13:45.030Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480843463707
[2026-09-01T10:13:46.843Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480843464707
[2026-09-01T10:13:46.843Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480843464707
[2026-09-01T10:13:47.961Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480759181606 with final counter Some(1235)
[2026-09-01T10:13:48.541Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480759182606 with final counter Some(919)
[2026-09-01T10:13:49.084Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480759183606 with final counter Some(922)
[2026-09-01T10:14:42.957Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480957157906 with final counter Some(849)
[2026-09-01T10:14:47.961Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480843465706 with final counter Some(1287)
[2026-09-01T10:14:48.623Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480843466706 with final counter Some(1025)
[2026-09-01T10:15:09.567Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T10:15:10.567Z WARN  gresse::replica] replica 178825480759182607 deferred pull request to peer 178825480957158906: channel closed
[2026-09-01T10:15:24.567Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T10:15:42.774Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957157907
[2026-09-01T10:15:42.774Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957157907
[2026-09-01T10:15:42.957Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480843465707, address: 34.245.195.69:19083, final_counter: None }
[2026-09-01T10:15:43.028Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480843465707
[2026-09-01T10:15:43.028Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480843465707
[2026-09-01T10:15:44.204Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480843466707
[2026-09-01T10:15:44.204Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480843466707
[2026-09-01T10:15:44.420Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957158907
[2026-09-01T10:15:44.420Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957158907
[2026-09-01T10:15:45.598Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957159907
[2026-09-01T10:15:45.598Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957159907
[2026-09-01T10:15:46.961Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957160907
[2026-09-01T10:15:46.961Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957160907
[2026-09-01T10:15:49.567Z WARN  gresse::replica] replica 178825480759182607 deferred pull request to peer 178825480957160906: channel closed
[2026-09-01T10:16:42.959Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480957161906 with final counter Some(1552)
[2026-09-01T10:16:43.416Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825481046239406 with final counter Some(845)
[2026-09-01T10:16:47.961Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825481046240406 with final counter Some(847)
[2026-09-01T10:16:50.567Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T10:17:18.567Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T10:17:19.567Z WARN  gresse::replica] replica 178825480759182607 deferred pull request to peer 178825481046242406: channel closed
[2026-09-01T10:17:42.937Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046239407
[2026-09-01T10:17:42.937Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046239407
[2026-09-01T10:17:42.957Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480957161907, address: 18.130.228.25:19084, final_counter: None }
[2026-09-01T10:17:42.965Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480957161907
[2026-09-01T10:17:42.965Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480957161907
[2026-09-01T10:17:44.074Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046240407
[2026-09-01T10:17:44.074Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046240407
[2026-09-01T10:17:46.280Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046241407
[2026-09-01T10:17:46.280Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046241407
[2026-09-01T10:17:47.538Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046242407
[2026-09-01T10:17:47.538Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046242407
[2026-09-01T10:17:49.642Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825481046243407
[2026-09-01T10:17:49.642Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825481046243407
[2026-09-01T10:17:50.567Z WARN  gresse::replica] replica 178825480759182607 deferred pull request to peer 178825481046243406: channel closed
[2026-09-01T10:17:53.567Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T10:18:12.567Z WARN  gresse::replica] replica 178825480759182607 deferred pull request to peer 178825481046241406: channel closed
[2026-09-01T10:18:42.963Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480714263207 with final counter Some(1555)
[2026-09-01T10:18:47.956Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480714264207 with final counter Some(844)
[2026-09-01T10:18:48.473Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480714265207 with final counter Some(827)
[2026-09-01T10:19:05.567Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T10:19:09.567Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T10:19:11.567Z WARN  gresse::replica] replica 178825480759182607 deferred pull request to peer 178825480759179607: channel closed
[2026-09-01T10:19:14.567Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T10:19:18.566Z WARN  gresse::replica] replica 178825480759182607 deferred pull request to peer 178825480714266207: channel closed
[2026-09-01T10:19:31.567Z WARN  gresse::replica] replica 178825480759182607 deferred pull request to peer 178825480714267207: channel closed
[2026-09-01T10:19:42.614Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714263208
[2026-09-01T10:19:42.614Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714263208
[2026-09-01T10:19:42.958Z INFO  gresse::network] replica 178825480759182607 discovered network member NetworkMember { pid: 178825480714264208, address: 16.170.108.158:19081, final_counter: None }
[2026-09-01T10:19:43.303Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714264208
[2026-09-01T10:19:43.303Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714264208
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480759179608
[2026-09-01T10:19:43.321Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480759179608
[2026-09-01T10:19:44.226Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714265208
[2026-09-01T10:19:44.226Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714265208
[2026-09-01T10:19:46.998Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714266208
[2026-09-01T10:19:46.998Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714266208
[2026-09-01T10:19:50.095Z INFO  gresse::network] replica 178825480759182607 registered bidirectional network channel for replica 178825480714267208
[2026-09-01T10:19:50.095Z INFO  gresse::replica] replica 178825480759182607 established peer replication connection with replica 178825480714267208
[2026-09-01T10:20:42.957Z INFO  gresse::replica] replica 178825480759182607 observed shutdown descriptor for replica 178825480759180607 with final counter Some(1284)
[2026-09-01T10:20:43.672Z INFO  gresse::replica] shutdown signal received for replica 178825480759182607
[2026-09-01T10:20:43.672Z INFO  gresse::replica] replica 178825480759182607 shutting down with 24 connected writers
[2026-09-01T10:20:44.518Z INFO  gresse::http_server] http server received shutdown signal
[2026-09-01T10:20:44.518Z INFO  gresse::http_server] http server shutdown complete
