timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788254818481131,agent_start_received,,,,,1788254862.0,,,,,,,,,
1788254862001207,bootstrap_attempt_started,ireland-slot0-g1,eu-west-1,0,178825480843462701,attempt 1/3,,,,,,,,,
1788254862003376,spawn_requested,ireland-slot0-g1,eu-west-1,0,178825480843462701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/ireland-slot0-g1,,,,,,,,,
1788254862304478,bootstrap_ready,ireland-slot0-g1,eu-west-1,0,178825480843462701,,,,,,,,,,
1788254862304846,bootstrap_attempt_started,ireland-slot1-g1,eu-west-1,1,178825480843463701,attempt 1/3,,,,,,,,,
1788254862306939,spawn_requested,ireland-slot1-g1,eu-west-1,1,178825480843463701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/ireland-slot1-g1,,,,,,,,,
1788254862608206,bootstrap_ready,ireland-slot1-g1,eu-west-1,1,178825480843463701,,,,,,,,,,
1788254862608626,bootstrap_attempt_started,ireland-slot2-g1,eu-west-1,2,178825480843464701,attempt 1/3,,,,,,,,,
1788254862610805,spawn_requested,ireland-slot2-g1,eu-west-1,2,178825480843464701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/ireland-slot2-g1,,,,,,,,,
1788254862911966,bootstrap_ready,ireland-slot2-g1,eu-west-1,2,178825480843464701,,,,,,,,,,
1788254862912337,bootstrap_attempt_started,ireland-slot3-g1,eu-west-1,3,178825480843465701,attempt 1/3,,,,,,,,,
1788254862914724,spawn_requested,ireland-slot3-g1,eu-west-1,3,178825480843465701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/ireland-slot3-g1,,,,,,,,,
1788254863215901,bootstrap_ready,ireland-slot3-g1,eu-west-1,3,178825480843465701,,,,,,,,,,
1788254863216291,bootstrap_attempt_started,ireland-slot4-g1,eu-west-1,4,178825480843466701,attempt 1/3,,,,,,,,,
1788254863218347,spawn_requested,ireland-slot4-g1,eu-west-1,4,178825480843466701,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/ireland-slot4-g1,,,,,,,,,
1788254863519452,bootstrap_ready,ireland-slot4-g1,eu-west-1,4,178825480843466701,,,,,,,,,,
1788254893524067,state_snapshot,ireland-slot0-g1,eu-west-1,0,178825480843462701,,200,,,,,,,,
1788254893524627,state_snapshot,ireland-slot1-g1,eu-west-1,1,178825480843463701,,200,,,,,,,,
1788254893525050,state_snapshot,ireland-slot2-g1,eu-west-1,2,178825480843464701,,200,,,,,,,,
1788254893525451,state_snapshot,ireland-slot3-g1,eu-west-1,3,178825480843465701,,200,,,,,,,,
