[2026-09-01T09:27:42.004Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-01T09:27:42.005Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18080
[2026-09-01T09:27:42.031Z INFO  gresse::replica] replica 178825480843462701 initiating runtime at bind_http=0.0.0.0:18080 bind_internal=0.0.0.0:19080 advertised_internal=34.245.195.69:19080
[2026-09-01T09:27:42.215Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260901084800-ec90d0, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-20260901T092623Z-21106dd4/persistent.json
[2026-09-01T09:27:42.279Z INFO  gresse::replica] replica 178825480843462701 discovered 5 membership descriptors during init
[2026-09-01T09:27:42.279Z INFO  gresse::replica] replica 178825480843462701 startup completed
[2026-09-01T09:27:42.279Z INFO  gresse::network] replica 178825480843462701 discovered network member NetworkMember { pid: 178825480714263201, address: 16.170.108.158:19080, final_counter: None }
[2026-09-01T09:27:42.279Z INFO  gresse::network] replica 178825480843462701 discovered network member NetworkMember { pid: 178825480759179601, address: 3.68.220.182:19080, final_counter: None }
[2026-09-01T09:27:42.279Z INFO  gresse::network] replica 178825480843462701 discovered network member NetworkMember { pid: 178825480957157901, address: 18.130.228.25:19080, final_counter: None }
[2026-09-01T09:27:42.279Z INFO  gresse::network] replica 178825480843462701 discovered network member NetworkMember { pid: 178825481046239401, address: 13.38.41.188:19080, final_counter: None }
[2026-09-01T09:27:42.279Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825481046239401
[2026-09-01T09:27:42.279Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825481046239401
[2026-09-01T09:27:42.287Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480759179601
[2026-09-01T09:27:42.287Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480759179601
[2026-09-01T09:27:42.302Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480957157901
[2026-09-01T09:27:42.302Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480957157901
[2026-09-01T09:27:42.364Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714263201
[2026-09-01T09:27:42.364Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714263201
[2026-09-01T09:27:42.378Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714264201
[2026-09-01T09:27:42.378Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714264201
[2026-09-01T09:27:42.507Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480957158901
[2026-09-01T09:27:42.507Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480957158901
[2026-09-01T09:27:42.537Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825481046240401
[2026-09-01T09:27:42.537Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825481046240401
[2026-09-01T09:27:42.589Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480843463701
[2026-09-01T09:27:42.589Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480843463701
[2026-09-01T09:27:42.597Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714265201
[2026-09-01T09:27:42.597Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714265201
[2026-09-01T09:27:42.601Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480759180601
[2026-09-01T09:27:42.601Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480759180601
[2026-09-01T09:27:42.708Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480957159901
[2026-09-01T09:27:42.708Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480957159901
[2026-09-01T09:27:42.789Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714266201
[2026-09-01T09:27:42.789Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714266201
[2026-09-01T09:27:42.856Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825481046241401
[2026-09-01T09:27:42.856Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825481046241401
[2026-09-01T09:27:42.875Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480843464701
[2026-09-01T09:27:42.875Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480843464701
[2026-09-01T09:27:42.878Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480759181601
[2026-09-01T09:27:42.878Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480759181601
[2026-09-01T09:27:42.914Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480957160901
[2026-09-01T09:27:42.914Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480957160901
[2026-09-01T09:27:42.974Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714267201
[2026-09-01T09:27:42.974Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714267201
[2026-09-01T09:27:43.124Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480957161901
[2026-09-01T09:27:43.124Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480957161901
[2026-09-01T09:27:43.173Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825481046242401
[2026-09-01T09:27:43.173Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825481046242401
[2026-09-01T09:27:43.174Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480759182601
[2026-09-01T09:27:43.174Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480759182601
[2026-09-01T09:27:43.185Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480843465701
[2026-09-01T09:27:43.185Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480843465701
[2026-09-01T09:27:43.469Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825481046243401
[2026-09-01T09:27:43.469Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825481046243401
[2026-09-01T09:27:43.478Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480759183601
[2026-09-01T09:27:43.478Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480759183601
[2026-09-01T09:27:43.496Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480843466701
[2026-09-01T09:27:43.496Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480843466701
[2026-09-01T09:28:41.258Z INFO  gresse::replica] replica 178825480843462701 gc departed_pids=None updated_stable=DotSet { set: {178825480957160901: -1, 178825480714265201: -1, 178825480759182601: -1, 178825480759179601: -1, 178825480957157901: -1, 178825480714263201: -1, 178825481046240401: -1, 178825480843464701: -1, 178825481046241401: -1, 178825480759183601: -1, 178825480714267201: -1, 178825480759180601: -1, 178825480714264201: -1, 178825480957161901: -1, 178825480957159901: -1, 178825481046243401: -1, 178825481046242401: -1, 178825480843465701: -1, 178825481046239401: -1, 178825480843462701: -1, 178825480843463701: -1, 178825480714266201: -1, 178825480957158901: -1, 178825480843466701: -1, 178825480759181601: -1} }
[2026-09-01T09:28:41.522Z INFO  gresse::replica] replica 178825480843462701 completed gc round
[2026-09-01T09:28:42.182Z INFO  gresse::replica] replica 178825480843462701 observed shutdown descriptor for replica 178825480714263201 with final counter Some(58)
[2026-09-01T09:28:47.088Z INFO  gresse::replica] replica 178825480843462701 observed shutdown descriptor for replica 178825480714264201 with final counter Some(59)
[2026-09-01T09:28:47.186Z INFO  gresse::replica] replica 178825480843462701 observed shutdown descriptor for replica 178825480714265201 with final counter Some(57)
[2026-09-01T09:29:00.280Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T09:29:20.281Z WARN  gresse::replica] replica 178825480843462701 deferred pull request to peer 178825480759179601: channel closed
[2026-09-01T09:29:41.280Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T09:29:42.225Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714263202
[2026-09-01T09:29:42.225Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714263202
[2026-09-01T09:29:42.336Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480759179602
[2026-09-01T09:29:42.336Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480759179602
[2026-09-01T09:29:42.402Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714264202
[2026-09-01T09:29:42.402Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714264202
[2026-09-01T09:29:42.582Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714265202
[2026-09-01T09:29:42.582Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714265202
[2026-09-01T09:29:42.724Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714266202
[2026-09-01T09:29:42.724Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714266202
[2026-09-01T09:29:42.920Z INFO  gresse::network] replica 178825480843462701 registered bidirectional network channel for replica 178825480714267202
[2026-09-01T09:29:42.920Z INFO  gresse::replica] replica 178825480843462701 established peer replication connection with replica 178825480714267202
[2026-09-01T09:29:57.281Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-01T09:30:08.280Z WARN  gresse::replica] replica 178825480843462701 deferred pull request to peer 178825480714267201: channel closed
