source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788255223337939,178825480843466702,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788255223841099,178825480843466702,,,,,1788255223337986,1788255223841099,,,restored_existing_snapshot,,,,,503113
server,membership_descriptor_write,completed,1788255223501887,178825480843466702,,,,,1788255223338243,1788255223501887,,,"178825480843466702,34.245.195.69:19084,0",,,,,163644
server,membership_directory_read,completed,1788255223604710,178825480843466702,,,,,1788255223501891,1788255223604710,,,init:46 descriptors,,,,,102819
server,replica_init,completed,1788255223848219,178825480843466702,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223848524,178825480843466702,178825480759183602,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1788255223849071,178825480843466702,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_connection,established,1788255223849137,178825480843466702,178825480843464702,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223849166,178825480843466702,178825480843463702,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223849411,178825480843466702,178825480843465702,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223849423,178825480843466702,178825480843462702,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223867626,178825480843466702,178825480957161901,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223867645,178825480843466702,178825480957157902,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223867706,178825480843466702,178825480957158902,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223867732,178825480843466702,178825480957160901,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223867851,178825480843466702,178825480957159902,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223882704,178825480843466702,178825481046241401,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223882797,178825480843466702,178825481046243401,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223882821,178825480843466702,178825481046240401,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223882955,178825480843466702,178825481046239401,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223883113,178825480843466702,178825481046242401,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223887818,178825480843466702,178825480759179602,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223888103,178825480843466702,178825480759181602,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223888904,178825480843466702,178825480759182602,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223888956,178825480843466702,178825480759180602,,,,,,,,,,,,,
server,client_mutation,completed,1788255223923264,178825480843466702,,,,1788255223921065,1788255223921065,1788255223923264,,,http_data_plane,,,,,2199
server,peer_replication_connection,established,1788255223933159,178825480843466702,178825480714263202,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223933200,178825480843466702,178825480714266202,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223933272,178825480843466702,178825480714264202,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223933333,178825480843466702,178825480714267202,,,,,,,,,,,,,
server,peer_replication_connection,established,1788255223933587,178825480843466702,178825480714265202,,,,,,,,,,,,,
