timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788254818368174,agent_start_received,,,,,1788254862.0,,,,,,,,,
1788254862001229,bootstrap_attempt_started,london-slot0-g1,eu-west-2,0,178825480957157901,attempt 1/3,,,,,,,,,
1788254862003343,spawn_requested,london-slot0-g1,eu-west-2,0,178825480957157901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/london-slot0-g1,,,,,,,,,
1788254862304422,bootstrap_ready,london-slot0-g1,eu-west-2,0,178825480957157901,,,,,,,,,,
1788254862304760,bootstrap_attempt_started,london-slot1-g1,eu-west-2,1,178825480957158901,attempt 1/3,,,,,,,,,
1788254862306737,spawn_requested,london-slot1-g1,eu-west-2,1,178825480957158901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/london-slot1-g1,,,,,,,,,
1788254862507571,bootstrap_ready,london-slot1-g1,eu-west-2,1,178825480957158901,,,,,,,,,,
1788254862507943,bootstrap_attempt_started,london-slot2-g1,eu-west-2,2,178825480957159901,attempt 1/3,,,,,,,,,
1788254862509940,spawn_requested,london-slot2-g1,eu-west-2,2,178825480957159901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/london-slot2-g1,,,,,,,,,
1788254862710713,bootstrap_ready,london-slot2-g1,eu-west-2,2,178825480957159901,,,,,,,,,,
1788254862711067,bootstrap_attempt_started,london-slot3-g1,eu-west-2,3,178825480957160901,attempt 1/3,,,,,,,,,
1788254862713179,spawn_requested,london-slot3-g1,eu-west-2,3,178825480957160901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/london-slot3-g1,,,,,,,,,
1788254862914098,bootstrap_ready,london-slot3-g1,eu-west-2,3,178825480957160901,,,,,,,,,,
1788254862914554,bootstrap_attempt_started,london-slot4-g1,eu-west-2,4,178825480957161901,attempt 1/3,,,,,,,,,
1788254862916517,spawn_requested,london-slot4-g1,eu-west-2,4,178825480957161901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/london-slot4-g1,,,,,,,,,
1788254863117289,bootstrap_ready,london-slot4-g1,eu-west-2,4,178825480957161901,,,,,,,,,,
1788254893121712,state_snapshot,london-slot0-g1,eu-west-2,0,178825480957157901,,200,,,,,,,,
1788254893122176,state_snapshot,london-slot1-g1,eu-west-2,1,178825480957158901,,200,,,,,,,,
1788254893122642,state_snapshot,london-slot2-g1,eu-west-2,2,178825480957159901,,200,,,,,,,,
1788254893123051,state_snapshot,london-slot3-g1,eu-west-2,3,178825480957160901,,200,,,,,,,,
1788254893123602,state_snapshot,london-slot4-g1,eu-west-2,4,178825480957161901,,200,,,,,,,,
1788254893123658,client_request,london-slot0-g1,eu-west-2,0,178825480957157901,,200,4967,Insert,160,True,,,,
1788254893221371,client_request,london-slot1-g1,eu-west-2,1,178825480957158901,,200,2777,Insert,172,True,,,,
1788254893224497,state_snapshot,london-slot0-g1,eu-west-2,0,178825480957157901,,200,,,,,,,,
1788254893225016,state_snapshot,london-slot1-g1,eu-west-2,1,178825480957158901,,200,,,,,,,,
1788254893225439,state_snapshot,london-slot2-g1,eu-west-2,2,178825480957159901,,200,,,,,,,,
1788254893225874,state_snapshot,london-slot3-g1,eu-west-2,3,178825480957160901,,200,,,,,,,,
1788254893226273,state_snapshot,london-slot4-g1,eu-west-2,4,178825480957161901,,200,,,,,,,,
1788254893321395,client_request,london-slot2-g1,eu-west-2,2,178825480957159901,,200,2793,Remove,221,True,,,,
1788254893421393,client_request,london-slot3-g1,eu-west-2,3,178825480957160901,,200,2794,Remove,951,True,,,,
1788254893521305,client_request,london-slot4-g1,eu-west-2,4,178825480957161901,,200,2714,Insert,732,True,,,,
1788254893621253,client_request,london-slot0-g1,eu-west-2,0,178825480957157901,,200,2648,Insert,756,True,,,,
1788254893721478,client_request,london-slot1-g1,eu-west-2,1,178825480957158901,,200,2832,Insert,216,True,,,,
1788254893821340,client_request,london-slot2-g1,eu-west-2,2,178825480957159901,,200,2741,Remove,782,True,,,,
1788254893921382,client_request,london-slot3-g1,eu-west-2,3,178825480957160901,,200,2797,Remove,907,True,,,,
1788254894021363,client_request,london-slot4-g1,eu-west-2,4,178825480957161901,,200,2769,Remove,280,True,,,,
