source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788256302068133,178825480957158904,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788256302528997,178825480957158904,,,,,1788256302068158,1788256302528997,,,restored_existing_snapshot,,,,,460839
server,membership_descriptor_write,completed,1788256302180746,178825480957158904,,,,,1788256302068369,1788256302180746,,,"178825480957158904,18.130.228.25:19081,0",,,,,112377
server,membership_directory_read,completed,1788256302253216,178825480957158904,,,,,1788256302180749,1788256302253216,,,init:102 descriptors,,,,,72467
server,replica_init,completed,1788256302549258,178825480957158904,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256302549559,178825480957158904,178825480957157904,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1788256302550167,178825480957158904,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_merge_delta,completed,1788256303477114,178825480957158904,,10,,1788256302572259,1788256303474253,1788256303477114,,,"delta_len=13874,sent_us=1788256302551735",,,,,2861
server,peer_replication_connection,established,1788256303477195,178825480957158904,178825481046241403,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477212,178825480957158904,178825480843462704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477221,178825480957158904,178825480843465704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477229,178825480957158904,178825480843464704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477238,178825480957158904,178825480843466704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477246,178825480957158904,178825480843463704,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477254,178825480957158904,178825480759181604,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477260,178825480957158904,178825480759182604,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477267,178825480957158904,178825480759179604,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477273,178825480957158904,178825480759180604,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477279,178825480957158904,178825480759183604,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477286,178825480957158904,178825481046243403,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477292,178825480957158904,178825481046242403,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477300,178825480957158904,178825480714265204,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477305,178825480957158904,178825480714263204,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477309,178825480957158904,178825480714264204,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477314,178825480957158904,178825480714266204,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477318,178825480957158904,178825480714267204,,,,,,,,,,,,,
server,peer_replication_connection,established,1788256303477323,178825480957158904,178825480957159904,,,,,,,,,,,,,
server,client_mutation,completed,1788256303478267,178825480957158904,,,,1788256302819975,1788256303477186,1788256303478267,,,http_data_plane,,,,,1081
server,client_mutation,completed,1788256303479139,178825480957158904,,,,1788256303019287,1788256303478302,1788256303479139,,,http_data_plane,,,,,837
server,client_mutation,completed,1788256303480086,178825480957158904,,,,1788256303224414,1788256303479180,1788256303480086,,,http_data_plane,,,,,906
server,peer_replication_connection,established,1788256303514092,178825480957158904,178825481046240404,,,,,,,,,,,,,
server,client_mutation,completed,1788256303520653,178825480957158904,,,,1788256303519677,1788256303519677,1788256303520653,,,http_data_plane,,,,,976
server,peer_replication_pull_request,sent,1788256303550061,178825480957158904,,,,,,,,,connected_peers=21,,,,,
server,peer_replication_merge_delta,completed,1788256303611764,178825480957158904,,10,,1788256303605919,1788256303611717,1788256303611764,,,"delta_len=82,sent_us=1788256303592545",,,,,47
server,peer_replication_connection,established,1788256303818319,178825480957158904,178825480957160904,,,,,,,,,,,,,
server,client_mutation,completed,1788256303820088,178825480957158904,,,,1788256303819232,1788256303819232,1788256303820088,,,http_data_plane,,,,,856
server,client_mutation,completed,1788256304035390,178825480957158904,,,,1788256304034395,1788256304034396,1788256304035390,,,http_data_plane,,,,,994
server,client_mutation,completed,1788256304419971,178825480957158904,,,,1788256304418989,1788256304418990,1788256304419971,,,http_data_plane,,,,,981
server,peer_replication_pull_request,sent,1788256304550759,178825480957158904,,,,,,,,,connected_peers=22,,,,,
server,peer_replication_connection,established,1788256304710975,178825480957158904,178825480957161904,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1788256305154442,178825480957158904,,10,,1788256305137244,1788256305154389,1788256305154442,,,"delta_len=73,sent_us=1788256305135480",,,,,53
server,client_mutation,completed,1788256305220311,178825480957158904,,,,1788256305219303,1788256305219304,1788256305220311,,,http_data_plane,,,,,1007
server,peer_replication_pull_request,sent,1788256305550415,178825480957158904,,,,,,,,,connected_peers=23,,,,,
server,peer_replication_merge_delta,completed,1788256305568924,178825480957158904,,10,,1788256305564851,1788256305568901,1788256305568924,,,"delta_len=21,sent_us=1788256305561086",,,,,23
server,client_mutation,completed,1788256305720169,178825480957158904,,,,1788256305718995,1788256305718996,1788256305720169,,,http_data_plane,,,,,1173
server,peer_replication_get_delta,completed,1788256305785478,178825480957158904,178825480714266204,10,,1788256305785290,1788256305785294,1788256305785478,,,"delta_len=55,sent_us=1788256305743158",,,,,184
server,client_mutation,completed,1788256306219925,178825480957158904,,,,1788256306219003,1788256306219003,1788256306219925,,,http_data_plane,,,,,922
server,peer_replication_pull_request,sent,1788256306550688,178825480957158904,,,,,,,,,connected_peers=23,,,,,
server,peer_replication_merge_delta,completed,1788256306578166,178825480957158904,,10,,1788256306574401,1788256306578132,1788256306578166,,,"delta_len=41,sent_us=1788256306568488",,,,,34
server,client_mutation,completed,1788256306719953,178825480957158904,,,,1788256306718958,1788256306718958,1788256306719953,,,http_data_plane,,,,,995
server,membership_directory_read,completed,1788256307114786,178825480957158904,,,,,1788256307069701,1788256307114786,,,poll:104 descriptors,,,,,45085
server,peer_replication_pull_request,sent,1788256309134491,178825480957158904,,,,,,,,,connected_peers=23,,,,,
server,client_mutation,completed,1788256307220058,178825480957158904,,,,1788256307219039,1788256307219040,1788256307220058,,,http_data_plane,,,,,1018
server,peer_replication_connection,established,1788256309134544,178825480957158904,178825481046239404,,,,,,,,,,,,,
server,client_mutation,completed,1788256307720371,178825480957158904,,,,1788256307719300,1788256307719301,1788256307720371,,,http_data_plane,,,,,1070
server,peer_replication_pull_request,sent,1788256309134589,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1788256308224288,178825480957158904,,,,1788256308219132,1788256308219132,1788256308224288,,,http_data_plane,,,,,5156
server,client_mutation,completed,1788256308720342,178825480957158904,,,,1788256308718941,1788256308718941,1788256308720342,,,http_data_plane,,,,,1401
server,peer_replication_get_delta,completed,1788256309134737,178825480957158904,178825480843462704,10,,1788256309134603,1788256309134604,1788256309134737,,,"delta_len=34,sent_us=1788256308820750",,,,,133
server,peer_replication_merge_delta,completed,1788256309184502,178825480957158904,,10,,1788256309154302,1788256309184436,1788256309184502,,,"delta_len=81,sent_us=1788256309139312",,,,,66
server,peer_replication_merge_delta,completed,1788256309207382,178825480957158904,,10,,1788256309184548,1788256309207317,1788256309207382,,,"delta_len=135,sent_us=1788256309146188",,,,,65
server,client_mutation,completed,1788256309220308,178825480957158904,,,,1788256309219402,1788256309219403,1788256309220308,,,http_data_plane,,,,,905
server,peer_replication_pull_request,sent,1788256309550770,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788256309582527,178825480957158904,,10,,1788256309579471,1788256309582518,1788256309582527,,,"delta_len=6,sent_us=1788256309564681",,,,,9
server,client_mutation,completed,1788256309720304,178825480957158904,,,,1788256309719346,1788256309719347,1788256309720304,,,http_data_plane,,,,,957
server,client_mutation,completed,1788256310220404,178825480957158904,,,,1788256310219416,1788256310219416,1788256310220404,,,http_data_plane,,,,,988
server,peer_replication_pull_request,sent,1788256310550544,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788256310610716,178825480957158904,,10,,1788256310606253,1788256310610664,1788256310610716,,,"delta_len=52,sent_us=1788256310592956",,,,,52
server,client_mutation,completed,1788256310719981,178825480957158904,,,,1788256310719097,1788256310719098,1788256310719981,,,http_data_plane,,,,,883
server,peer_replication_get_delta,completed,1788256311173431,178825480957158904,178825480957161904,10,,1788256311173288,1788256311173290,1788256311173431,,,"delta_len=138,sent_us=1788256311172734",,,,,141
server,client_mutation,completed,1788256311220107,178825480957158904,,,,1788256311218941,1788256311218942,1788256311220107,,,http_data_plane,,,,,1165
server,peer_replication_pull_request,sent,1788256311550925,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1788256311719934,178825480957158904,,,,1788256311719025,1788256311719026,1788256311719934,,,http_data_plane,,,,,908
server,peer_replication_get_delta,completed,1788256311935276,178825480957158904,178825480714264204,10,,1788256311935140,1788256311935143,1788256311935276,,,"delta_len=14,sent_us=1788256311893371",,,,,133
server,membership_directory_read,completed,1788256312113968,178825480957158904,,,,,1788256312069571,1788256312113968,,,poll:104 descriptors,,,,,44397
server,client_mutation,completed,1788256312219825,178825480957158904,,,,1788256312219015,1788256312219016,1788256312219825,,,http_data_plane,,,,,809
server,peer_replication_get_delta,completed,1788256312514981,178825480957158904,178825481046240404,10,,1788256312514844,1788256312514846,1788256312514981,,,"delta_len=38,sent_us=1788256312503236",,,,,135
server,peer_replication_pull_request,sent,1788256312550260,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788256312575129,178825480957158904,,10,,1788256312569818,1788256312575070,1788256312575129,,,"delta_len=68,sent_us=1788256312564308",,,,,59
server,client_mutation,completed,1788256312719945,178825480957158904,,,,1788256312718984,1788256312718984,1788256312719945,,,http_data_plane,,,,,961
server,client_mutation,completed,1788256313219883,178825480957158904,,,,1788256313218975,1788256313218976,1788256313219883,,,http_data_plane,,,,,907
server,peer_replication_pull_request,sent,1788256313550638,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,client_mutation,completed,1788256313719890,178825480957158904,,,,1788256313718959,1788256313718960,1788256313719890,,,http_data_plane,,,,,930
server,peer_replication_get_delta,completed,1788256313805902,178825480957158904,178825481046241403,10,,1788256313805770,1788256313805773,1788256313805902,,,"delta_len=50,sent_us=1788256313792030",,,,,129
server,client_mutation,completed,1788256314220166,178825480957158904,,,,1788256314219011,1788256314219012,1788256314220166,,,http_data_plane,,,,,1154
server,peer_replication_pull_request,sent,1788256314550488,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788256314560077,178825480957158904,,10,,1788256314551920,1788256314560004,1788256314560077,,,"delta_len=92,sent_us=1788256314551234",,,,,73
server,peer_replication_get_delta,completed,1788256314560225,178825480957158904,178825481046243403,10,,1788256314560101,1788256314560104,1788256314560225,,,"delta_len=55,sent_us=1788256314541827",,,,,121
server,peer_replication_get_delta,completed,1788256314641776,178825480957158904,178825480957157904,10,,1788256314641639,1788256314641642,1788256314641776,,,"delta_len=72,sent_us=1788256314640998",,,,,134
server,client_mutation,completed,1788256314721212,178825480957158904,,,,1788256314718987,1788256314718988,1788256314721212,,,http_data_plane,,,,,2224
server,client_mutation,completed,1788256315221242,178825480957158904,,,,1788256315219031,1788256315219032,1788256315221242,,,http_data_plane,,,,,2210
server,peer_replication_get_delta,completed,1788256315515633,178825480957158904,178825481046240404,10,,1788256315515500,1788256315515503,1788256315515633,,,"delta_len=28,sent_us=1788256315503887",,,,,130
server,peer_replication_pull_request,sent,1788256315550909,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788256315581107,178825480957158904,,10,,1788256315573944,1788256315581024,1788256315581107,,,"delta_len=80,sent_us=1788256315568135",,,,,83
server,peer_replication_get_delta,completed,1788256315711360,178825480957158904,178825480957161904,10,,1788256315711218,1788256315711221,1788256315711360,,,"delta_len=90,sent_us=1788256315710644",,,,,139
server,client_mutation,completed,1788256315720934,178825480957158904,,,,1788256315718925,1788256315718926,1788256315720934,,,http_data_plane,,,,,2008
server,client_mutation,completed,1788256316221170,178825480957158904,,,,1788256316218982,1788256316218982,1788256316221170,,,http_data_plane,,,,,2188
server,peer_replication_get_delta,completed,1788256316526057,178825480957158904,178825480759179604,10,,1788256316525925,1788256316525928,1788256316526057,,,"delta_len=46,sent_us=1788256316508837",,,,,129
server,peer_replication_pull_request,sent,1788256316550221,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788256316579731,178825480957158904,,10,,1788256316574678,1788256316579687,1788256316579731,,,"delta_len=40,sent_us=1788256316561928",,,,,44
server,client_mutation,completed,1788256316720905,178825480957158904,,,,1788256316718930,1788256316718930,1788256316720905,,,http_data_plane,,,,,1975
server,membership_directory_read,completed,1788256317109570,178825480957158904,,,,,1788256317069721,1788256317109570,,,poll:104 descriptors,,,,,39849
server,client_mutation,completed,1788256317221002,178825480957158904,,,,1788256317218996,1788256317218997,1788256317221002,,,http_data_plane,,,,,2005
server,peer_replication_pull_request,sent,1788256317550801,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788256317557473,178825480957158904,,10,,1788256317551970,1788256317557424,1788256317557473,,,"delta_len=49,sent_us=1788256317551372",,,,,49
server,client_mutation,completed,1788256317721104,178825480957158904,,,,1788256317718965,1788256317718966,1788256317721104,,,http_data_plane,,,,,2138
server,peer_replication_get_delta,completed,1788256317785903,178825480957158904,178825480714266204,10,,1788256317785759,1788256317785762,1788256317785903,,,"delta_len=103,sent_us=1788256317743952",,,,,141
server,client_mutation,completed,1788256318221026,178825480957158904,,,,1788256318219017,1788256318219018,1788256318221026,,,http_data_plane,,,,,2008
server,peer_replication_pull_request,sent,1788256318550890,178825480957158904,,,,,,,,,connected_peers=24,,,,,
server,peer_replication_merge_delta,completed,1788256318580662,178825480957158904,,10,,1788256318575704,1788256318580626,1788256318580662,,,"delta_len=35,sent_us=1788256318569102",,,,,36
