[2026-09-01T09:27:42.621Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-01T09:27:42.622Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18083
[2026-09-01T09:27:42.650Z INFO  gresse::replica] replica 178825480714266201 initiating runtime at bind_http=0.0.0.0:18083 bind_internal=0.0.0.0:19083 advertised_internal=16.170.108.158:19083
[2026-09-01T09:27:42.693Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260901084800-ec90d0, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-20260901T092623Z-21106dd4/persistent.json
[2026-09-01T09:27:42.725Z INFO  gresse::replica] replica 178825480714266201 discovered 13 membership descriptors during init
[2026-09-01T09:27:42.725Z INFO  gresse::replica] replica 178825480714266201 startup completed
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480714263201, address: 16.170.108.158:19080, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480714264201, address: 16.170.108.158:19081, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480714265201, address: 16.170.108.158:19082, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480759179601, address: 3.68.220.182:19080, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480759180601, address: 3.68.220.182:19081, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480843462701, address: 34.245.195.69:19080, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480843463701, address: 34.245.195.69:19081, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480957157901, address: 18.130.228.25:19080, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480957158901, address: 18.130.228.25:19081, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825480957159901, address: 18.130.228.25:19082, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825481046239401, address: 13.38.41.188:19080, final_counter: None }
[2026-09-01T09:27:42.725Z INFO  gresse::network] replica 178825480714266201 discovered network member NetworkMember { pid: 178825481046240401, address: 13.38.41.188:19081, final_counter: None }
[2026-09-01T09:27:42.726Z INFO  gresse::network] replica 178825480714266201 registered bidirectional network channel for replica 178825480714263201
[2026-09-01T09:27:42.726Z INFO  gresse::replica] replica 178825480714266201 established peer replication connection with replica 178825480714263201
[2026-09-01T09:27:42.726Z INFO  gresse::network] replica 178825480714266201 registered bidirectional network channel for replica 178825480714264201
[2026-09-01T09:27:42.726Z INFO  gresse::replica] replica 178825480714266201 established peer replication connection with replica 178825480714264201
[2026-09-01T09:27:42.726Z INFO  gresse::network] replica 178825480714266201 registered bidirectional network channel for replica 178825480714265201
[2026-09-01T09:27:42.726Z INFO  gresse::replica] replica 178825480714266201 established peer replication connection with replica 178825480714265201
