source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788254862855467,178825480714267201,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788254862885795,178825480714267201,,,,,1788254862855498,1788254862885795,,,restored_existing_snapshot,,,,,30297
server,membership_descriptor_write,completed,1788254862889295,178825480714267201,,,,,1788254862855738,1788254862889295,,,"178825480714267201,16.170.108.158:19084,0",,,,,33557
server,membership_directory_read,completed,1788254862906187,178825480714267201,,,,,1788254862889298,1788254862906187,,,init:18 descriptors,,,,,16889
server,replica_init,completed,1788254862910090,178825480714267201,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862911165,178825480714267201,178825480714263201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862911208,178825480714267201,178825480714265201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862911248,178825480714267201,178825480714264201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862911256,178825480714267201,178825480714266201,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862959205,178825480714267201,178825480759181601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862959228,178825480714267201,178825480759179601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862959282,178825480714267201,178825480759180601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862965809,178825480714267201,178825480957158901,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862965843,178825480714267201,178825480957157901,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862965850,178825480714267201,178825480957160901,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862967692,178825480714267201,178825480957159901,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862972793,178825480714267201,178825481046240401,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862972836,178825480714267201,178825481046239401,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862972932,178825480714267201,178825481046241401,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862995290,178825480714267201,178825480843462701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862995315,178825480714267201,178825480843464701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254862995369,178825480714267201,178825480843463701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254863152325,178825480714267201,178825480957161901,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254863180823,178825480714267201,178825480759182601,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254863194596,178825480714267201,178825481046242401,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254863248739,178825480714267201,178825480843465701,,,,,,,,,,,,,
server,peer_replication_connection,established,1788254863484286,178825480714267201,178825480759183601,,,,,,,,,,,,,
