timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788358370074379,agent_start_received,,,,,1788358414.0,,,,,,,,,
1788358414001508,bootstrap_attempt_started,frankfurt-slot0-g1,eu-central-1,0,178835836128988901,attempt 1/3,,,,,,,,,
1788358414003760,spawn_requested,frankfurt-slot0-g1,eu-central-1,0,178835836128988901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/frankfurt-slot0-g1,,,,,,,,,
1788358414205447,bootstrap_ready,frankfurt-slot0-g1,eu-central-1,0,178835836128988901,,,,,,,,,,
1788358414205799,bootstrap_attempt_started,frankfurt-slot1-g1,eu-central-1,1,178835836128989901,attempt 1/3,,,,,,,,,
1788358414207913,spawn_requested,frankfurt-slot1-g1,eu-central-1,1,178835836128989901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/frankfurt-slot1-g1,,,,,,,,,
1788358414409115,bootstrap_ready,frankfurt-slot1-g1,eu-central-1,1,178835836128989901,,,,,,,,,,
1788358414409498,bootstrap_attempt_started,frankfurt-slot2-g1,eu-central-1,2,178835836128990901,attempt 1/3,,,,,,,,,
1788358414411736,spawn_requested,frankfurt-slot2-g1,eu-central-1,2,178835836128990901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/frankfurt-slot2-g1,,,,,,,,,
1788358414612867,bootstrap_ready,frankfurt-slot2-g1,eu-central-1,2,178835836128990901,,,,,,,,,,
1788358414613202,bootstrap_attempt_started,frankfurt-slot3-g1,eu-central-1,3,178835836128991901,attempt 1/3,,,,,,,,,
1788358414615669,spawn_requested,frankfurt-slot3-g1,eu-central-1,3,178835836128991901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/frankfurt-slot3-g1,,,,,,,,,
1788358414816871,bootstrap_ready,frankfurt-slot3-g1,eu-central-1,3,178835836128991901,,,,,,,,,,
1788358414817218,bootstrap_attempt_started,frankfurt-slot4-g1,eu-central-1,4,178835836128992901,attempt 1/3,,,,,,,,,
1788358414819394,spawn_requested,frankfurt-slot4-g1,eu-central-1,4,178835836128992901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/frankfurt-slot4-g1,,,,,,,,,
1788358415020686,bootstrap_ready,frankfurt-slot4-g1,eu-central-1,4,178835836128992901,,,,,,,,,,
1788358445025327,state_snapshot,frankfurt-slot0-g1,eu-central-1,0,178835836128988901,,200,,,,,,,,
1788358445025871,state_snapshot,frankfurt-slot1-g1,eu-central-1,1,178835836128989901,,200,,,,,,,,
1788358445026316,state_snapshot,frankfurt-slot2-g1,eu-central-1,2,178835836128990901,,200,,,,,,,,
1788358445026719,state_snapshot,frankfurt-slot3-g1,eu-central-1,3,178835836128991901,,200,,,,,,,,
1788358445027337,client_request,frankfurt-slot0-g1,eu-central-1,0,178835836128988901,,200,5351,Remove,772,True,,,,
1788358445027437,state_snapshot,frankfurt-slot4-g1,eu-central-1,4,178835836128992901,,200,,,,,,,,
1788358445124912,client_request,frankfurt-slot1-g1,eu-central-1,1,178835836128989901,,200,2985,Remove,795,True,,,,
1788358445128273,state_snapshot,frankfurt-slot0-g1,eu-central-1,0,178835836128988901,,200,,,,,,,,
1788358445128758,state_snapshot,frankfurt-slot1-g1,eu-central-1,1,178835836128989901,,200,,,,,,,,
1788358445129149,state_snapshot,frankfurt-slot2-g1,eu-central-1,2,178835836128990901,,200,,,,,,,,
1788358445129592,state_snapshot,frankfurt-slot3-g1,eu-central-1,3,178835836128991901,,200,,,,,,,,
1788358445129985,state_snapshot,frankfurt-slot4-g1,eu-central-1,4,178835836128992901,,200,,,,,,,,
1788358445224860,client_request,frankfurt-slot2-g1,eu-central-1,2,178835836128990901,,200,2905,Remove,652,True,,,,
1788358445324772,client_request,frankfurt-slot3-g1,eu-central-1,3,178835836128991901,,200,2863,Remove,45,True,,,,
1788358445425001,client_request,frankfurt-slot4-g1,eu-central-1,4,178835836128992901,,200,3056,Remove,362,True,,,,
1788358445524744,client_request,frankfurt-slot0-g1,eu-central-1,0,178835836128988901,,200,2804,Remove,144,True,,,,
1788358445625678,client_request,frankfurt-slot1-g1,eu-central-1,1,178835836128989901,,200,3739,Insert,221,True,,,,
1788358445725385,client_request,frankfurt-slot2-g1,eu-central-1,2,178835836128990901,,200,3468,Insert,33,True,,,,
1788358445824596,client_request,frankfurt-slot3-g1,eu-central-1,3,178835836128991901,,200,2697,Remove,819,True,,,,
1788358445924757,client_request,frankfurt-slot4-g1,eu-central-1,4,178835836128992901,,200,2822,Remove,875,True,,,,
1788358446024805,client_request,frankfurt-slot0-g1,eu-central-1,0,178835836128988901,,200,2782,Insert,307,True,,,,
1788358446124798,client_request,frankfurt-slot1-g1,eu-central-1,1,178835836128989901,,200,2868,Remove,888,True,,,,
1788358446224910,client_request,frankfurt-slot2-g1,eu-central-1,2,178835836128990901,,200,3012,Insert,701,True,,,,
