timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788358370236565,agent_start_received,,,,,1788358414.0,,,,,,,,,
1788358414001386,bootstrap_attempt_started,ireland-slot0-g1,eu-west-1,0,178835836195159501,attempt 1/3,,,,,,,,,
1788358414003487,spawn_requested,ireland-slot0-g1,eu-west-1,0,178835836195159501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/ireland-slot0-g1,,,,,,,,,
1788358414305580,bootstrap_ready,ireland-slot0-g1,eu-west-1,0,178835836195159501,,,,,,,,,,
1788358414305907,bootstrap_attempt_started,ireland-slot1-g1,eu-west-1,1,178835836195160501,attempt 1/3,,,,,,,,,
1788358414308026,spawn_requested,ireland-slot1-g1,eu-west-1,1,178835836195160501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/ireland-slot1-g1,,,,,,,,,
1788358414609651,bootstrap_ready,ireland-slot1-g1,eu-west-1,1,178835836195160501,,,,,,,,,,
1788358414609989,bootstrap_attempt_started,ireland-slot2-g1,eu-west-1,2,178835836195161501,attempt 1/3,,,,,,,,,
1788358414611985,spawn_requested,ireland-slot2-g1,eu-west-1,2,178835836195161501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/ireland-slot2-g1,,,,,,,,,
1788358414913550,bootstrap_ready,ireland-slot2-g1,eu-west-1,2,178835836195161501,,,,,,,,,,
1788358414913901,bootstrap_attempt_started,ireland-slot3-g1,eu-west-1,3,178835836195162501,attempt 1/3,,,,,,,,,
1788358414915911,spawn_requested,ireland-slot3-g1,eu-west-1,3,178835836195162501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/ireland-slot3-g1,,,,,,,,,
1788358415217487,bootstrap_ready,ireland-slot3-g1,eu-west-1,3,178835836195162501,,,,,,,,,,
1788358415217832,bootstrap_attempt_started,ireland-slot4-g1,eu-west-1,4,178835836195163501,attempt 1/3,,,,,,,,,
1788358415219875,spawn_requested,ireland-slot4-g1,eu-west-1,4,178835836195163501,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/ireland-slot4-g1,,,,,,,,,
1788358415521490,bootstrap_ready,ireland-slot4-g1,eu-west-1,4,178835836195163501,,,,,,,,,,
1788358445525777,state_snapshot,ireland-slot0-g1,eu-west-1,0,178835836195159501,,200,,,,,,,,
1788358445526256,state_snapshot,ireland-slot1-g1,eu-west-1,1,178835836195160501,,200,,,,,,,,
1788358445526728,state_snapshot,ireland-slot2-g1,eu-west-1,2,178835836195161501,,200,,,,,,,,
1788358445527130,state_snapshot,ireland-slot3-g1,eu-west-1,3,178835836195162501,,200,,,,,,,,
1788358445527529,state_snapshot,ireland-slot4-g1,eu-west-1,4,178835836195163501,,200,,,,,,,,
1788358445527780,client_request,ireland-slot0-g1,eu-west-1,0,178835836195159501,,200,5069,Remove,447,True,,,,
1788358445625560,client_request,ireland-slot1-g1,eu-west-1,1,178835836195160501,,200,2861,Remove,815,True,,,,
1788358445628340,state_snapshot,ireland-slot0-g1,eu-west-1,0,178835836195159501,,200,,,,,,,,
1788358445628788,state_snapshot,ireland-slot1-g1,eu-west-1,1,178835836195160501,,200,,,,,,,,
1788358445629256,state_snapshot,ireland-slot2-g1,eu-west-1,2,178835836195161501,,200,,,,,,,,
1788358445629652,state_snapshot,ireland-slot3-g1,eu-west-1,3,178835836195162501,,200,,,,,,,,
1788358445630054,state_snapshot,ireland-slot4-g1,eu-west-1,4,178835836195163501,,200,,,,,,,,
1788358445725742,client_request,ireland-slot2-g1,eu-west-1,2,178835836195161501,,200,3048,Insert,90,True,,,,
1788358445825565,client_request,ireland-slot3-g1,eu-west-1,3,178835836195162501,,200,2878,Remove,335,True,,,,
1788358445925551,client_request,ireland-slot4-g1,eu-west-1,4,178835836195163501,,200,2783,Insert,543,True,,,,
1788358446025437,client_request,ireland-slot0-g1,eu-west-1,0,178835836195159501,,200,2732,Remove,185,True,,,,
1788358446125513,client_request,ireland-slot1-g1,eu-west-1,1,178835836195160501,,200,2806,Remove,417,True,,,,
1788358446225542,client_request,ireland-slot2-g1,eu-west-1,2,178835836195161501,,200,2864,Remove,642,True,,,,
1788358446325552,client_request,ireland-slot3-g1,eu-west-1,3,178835836195162501,,200,2860,Remove,45,True,,,,
1788358446425529,client_request,ireland-slot4-g1,eu-west-1,4,178835836195163501,,200,2822,Insert,144,True,,,,
