source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1788361776166311,178835836195162508,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1788361777127785,178835836195162508,,,,,1788361776166343,1788361777127785,,,restored_existing_snapshot,,,,,961442
server,membership_descriptor_write,completed,1788361776330746,178835836195162508,,,,,1788361776166562,1788361776330746,,,"178835836195162508,63.33.67.241:19083,0",,,,,164184
server,membership_directory_read,completed,1788361776496563,178835836195162508,,,,,1788361776330750,1788361776496563,,,init:287 descriptors,,,,,165813
server,replica_init,completed,1788361778216674,178835836195162508,,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778217045,178835836195162508,178835836089859608,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778217064,178835836195162508,178835836128991908,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778217083,178835836195162508,178835836195160505,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778217335,178835836195162508,178835836374681604,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778217352,178835836195162508,178835836297160906,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1788361778217892,178835836195162508,,,,,,,,,connected_peers=5,,,,,
server,peer_replication_connection,established,1788361778217907,178835836195162508,178835836195159506,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778217932,178835836195162508,178835836195161508,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778236501,178835836195162508,178835836297162904,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778236672,178835836195162508,178835836297163907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778236891,178835836195162508,178835836297159907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778251796,178835836195162508,178835836374680605,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778251854,178835836195162508,178835836374677607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778251907,178835836195162508,178835836374679606,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778251936,178835836195162508,178835836374678607,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778256576,178835836195162508,178835836128990908,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778256794,178835836195162508,178835836128988905,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778257049,178835836195162508,178835836128989908,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778257283,178835836195162508,178835836128992907,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778301681,178835836195162508,178835836089858608,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778301722,178835836195162508,178835836089861606,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778301754,178835836195162508,178835836089857608,,,,,,,,,,,,,
server,peer_replication_connection,established,1788361778301912,178835836195162508,178835836089860607,,,,,,,,,,,,,
server,client_mutation,completed,1788361778324375,178835836195162508,,,,1788361778323331,1788361778323331,1788361778324375,,,http_data_plane,,,,,1044
server,peer_replication_get_delta,completed,1788361778370640,178835836195162508,178835836374680605,29,,1788361778370472,1788361778370476,1788361778370640,,,"delta_len=1,sent_us=1788361778344438",,,,,164
server,peer_replication_merge_delta,completed,1788361778694654,178835836195162508,,29,,1788361778517539,1788361778693744,1788361778694654,,,"delta_len=3069,sent_us=1788361778281142",,,,,910
server,client_mutation,completed,1788361778725302,178835836195162508,,,,1788361778723958,1788361778723958,1788361778725302,,,http_data_plane,,,,,1344
server,peer_replication_get_delta,completed,1788361778911874,178835836195162508,178835836128992907,29,,1788361778911702,1788361778911706,1788361778911874,,,"delta_len=7,sent_us=1788361778881417",,,,,168
server,peer_replication_connection,established,1788361778930814,178835836195162508,178835836297161905,,,,,,,,,,,,,
server,client_mutation,completed,1788361779124292,178835836195162508,,,,1788361779123221,1788361779123221,1788361779124292,,,http_data_plane,,,,,1071
server,peer_replication_pull_request,sent,1788361779217984,178835836195162508,,,,,,,,,connected_peers=23,,,,,
