timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788358370270434,agent_start_received,,,,,1788358414.0,,,,,,,,,
1788358414001318,bootstrap_attempt_started,london-slot0-g1,eu-west-2,0,178835836297159901,attempt 1/3,,,,,,,,,
1788358414003513,spawn_requested,london-slot0-g1,eu-west-2,0,178835836297159901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/london-slot0-g1,,,,,,,,,
1788358414205213,bootstrap_ready,london-slot0-g1,eu-west-2,0,178835836297159901,,,,,,,,,,
1788358414205550,bootstrap_attempt_started,london-slot1-g1,eu-west-2,1,178835836297160901,attempt 1/3,,,,,,,,,
1788358414207971,spawn_requested,london-slot1-g1,eu-west-2,1,178835836297160901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/london-slot1-g1,,,,,,,,,
1788358414409071,bootstrap_ready,london-slot1-g1,eu-west-2,1,178835836297160901,,,,,,,,,,
1788358414409409,bootstrap_attempt_started,london-slot2-g1,eu-west-2,2,178835836297161901,attempt 1/3,,,,,,,,,
1788358414411720,spawn_requested,london-slot2-g1,eu-west-2,2,178835836297161901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/london-slot2-g1,,,,,,,,,
1788358414613053,bootstrap_ready,london-slot2-g1,eu-west-2,2,178835836297161901,,,,,,,,,,
1788358414613396,bootstrap_attempt_started,london-slot3-g1,eu-west-2,3,178835836297162901,attempt 1/3,,,,,,,,,
1788358414615552,spawn_requested,london-slot3-g1,eu-west-2,3,178835836297162901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/london-slot3-g1,,,,,,,,,
1788358414816621,bootstrap_ready,london-slot3-g1,eu-west-2,3,178835836297162901,,,,,,,,,,
1788358414816934,bootstrap_attempt_started,london-slot4-g1,eu-west-2,4,178835836297163901,attempt 1/3,,,,,,,,,
1788358414819047,spawn_requested,london-slot4-g1,eu-west-2,4,178835836297163901,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/london-slot4-g1,,,,,,,,,
1788358415020147,bootstrap_ready,london-slot4-g1,eu-west-2,4,178835836297163901,,,,,,,,,,
1788358445024587,state_snapshot,london-slot0-g1,eu-west-2,0,178835836297159901,,200,,,,,,,,
1788358445025143,state_snapshot,london-slot1-g1,eu-west-2,1,178835836297160901,,200,,,,,,,,
1788358445025580,state_snapshot,london-slot2-g1,eu-west-2,2,178835836297161901,,200,,,,,,,,
1788358445026022,state_snapshot,london-slot3-g1,eu-west-2,3,178835836297162901,,200,,,,,,,,
1788358445026556,client_request,london-slot0-g1,eu-west-2,0,178835836297159901,,200,5104,Insert,379,True,,,,
1788358445026656,state_snapshot,london-slot4-g1,eu-west-2,4,178835836297163901,,200,,,,,,,,
1788358445124090,client_request,london-slot1-g1,eu-west-2,1,178835836297160901,,200,2723,Insert,836,True,,,,
1788358445127373,state_snapshot,london-slot0-g1,eu-west-2,0,178835836297159901,,200,,,,,,,,
1788358445127804,state_snapshot,london-slot1-g1,eu-west-2,1,178835836297160901,,200,,,,,,,,
1788358445128219,state_snapshot,london-slot2-g1,eu-west-2,2,178835836297161901,,200,,,,,,,,
1788358445128633,state_snapshot,london-slot3-g1,eu-west-2,3,178835836297162901,,200,,,,,,,,
1788358445129041,state_snapshot,london-slot4-g1,eu-west-2,4,178835836297163901,,200,,,,,,,,
1788358445224135,client_request,london-slot2-g1,eu-west-2,2,178835836297161901,,200,2767,Insert,689,True,,,,
1788358445324202,client_request,london-slot3-g1,eu-west-2,3,178835836297162901,,200,2836,Remove,688,True,,,,
1788358445424231,client_request,london-slot4-g1,eu-west-2,4,178835836297163901,,200,2847,Remove,292,True,,,,
1788358445524100,client_request,london-slot0-g1,eu-west-2,0,178835836297159901,,200,2747,Insert,290,True,,,,
1788358445624194,client_request,london-slot1-g1,eu-west-2,1,178835836297160901,,200,2848,Remove,904,True,,,,
1788358445724276,client_request,london-slot2-g1,eu-west-2,2,178835836297161901,,200,2871,Insert,787,True,,,,
1788358445824122,client_request,london-slot3-g1,eu-west-2,3,178835836297162901,,200,2768,Insert,306,True,,,,
1788358445924150,client_request,london-slot4-g1,eu-west-2,4,178835836297163901,,200,2738,Remove,712,True,,,,
1788358446024265,client_request,london-slot0-g1,eu-west-2,0,178835836297159901,,200,2840,Remove,588,True,,,,
1788358446124250,client_request,london-slot1-g1,eu-west-2,1,178835836297160901,,200,2889,Insert,156,True,,,,
1788358446224237,client_request,london-slot2-g1,eu-west-2,2,178835836297161901,,200,2792,Insert,926,True,,,,
1788358446324344,client_request,london-slot3-g1,eu-west-2,3,178835836297162901,,200,2939,Remove,566,True,,,,
1788358446424328,client_request,london-slot4-g1,eu-west-2,4,178835836297163901,,200,2951,Insert,952,True,,,,
1788358446524352,client_request,london-slot0-g1,eu-west-2,0,178835836297159901,,200,2971,Insert,342,True,,,,
1788358446624286,client_request,london-slot1-g1,eu-west-2,1,178835836297160901,,200,2912,Insert,866,True,,,,
1788358446724285,client_request,london-slot2-g1,eu-west-2,2,178835836297161901,,200,2913,Insert,907,True,,,,
1788358446824441,client_request,london-slot3-g1,eu-west-2,3,178835836297162901,,200,3088,Insert,868,True,,,,
1788358446924208,client_request,london-slot4-g1,eu-west-2,4,178835836297163901,,200,2819,Insert,560,True,,,,
1788358447024290,client_request,london-slot0-g1,eu-west-2,0,178835836297159901,,200,2849,Insert,888,True,,,,
1788358447124214,client_request,london-slot1-g1,eu-west-2,1,178835836297160901,,200,2814,Remove,751,True,,,,
1788358447224350,client_request,london-slot2-g1,eu-west-2,2,178835836297161901,,200,2899,Insert,612,True,,,,
1788358447324246,client_request,london-slot3-g1,eu-west-2,3,178835836297162901,,200,2901,Remove,686,True,,,,
1788358447424195,client_request,london-slot4-g1,eu-west-2,4,178835836297163901,,200,2853,Insert,907,True,,,,
1788358447524361,client_request,london-slot0-g1,eu-west-2,0,178835836297159901,,200,2987,Remove,282,True,,,,
1788358447624214,client_request,london-slot1-g1,eu-west-2,1,178835836297160901,,200,2837,Insert,599,True,,,,
1788358447724292,client_request,london-slot2-g1,eu-west-2,2,178835836297161901,,200,2826,Remove,765,True,,,,
1788358447824255,client_request,london-slot3-g1,eu-west-2,3,178835836297162901,,200,2911,Remove,340,True,,,,
1788358447924103,client_request,london-slot4-g1,eu-west-2,4,178835836297163901,,200,2724,Remove,349,True,,,,
1788358448024311,client_request,london-slot0-g1,eu-west-2,0,178835836297159901,,200,2803,Insert,340,True,,,,
1788358448124129,client_request,london-slot1-g1,eu-west-2,1,178835836297160901,,200,2757,Remove,723,True,,,,
1788358448224223,client_request,london-slot2-g1,eu-west-2,2,178835836297161901,,200,2838,Remove,226,True,,,,
1788358448324278,client_request,london-slot3-g1,eu-west-2,3,178835836297162901,,200,2822,Remove,149,True,,,,
1788358448424209,client_request,london-slot4-g1,eu-west-2,4,178835836297163901,,200,2843,Remove,621,True,,,,
1788358448524396,client_request,london-slot0-g1,eu-west-2,0,178835836297159901,,200,3015,Remove,36,True,,,,
1788358448624328,client_request,london-slot1-g1,eu-west-2,1,178835836297160901,,200,2953,Insert,343,True,,,,
